obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 25911, 29701, 1811, 3957, 813, 914, 545, 204, NA, NA, NA, 63856,  N*
2, 7.0, 40213, 23231, 15516, 2210, 4662, 2557, 4047, 2064, NA, NA, NA, 94500,  N*
3, 9.0, 158148, 127379, 7029, 2633, 5557, 2738, 2580, 1439, 30, 30, NA, 307503,  N*
4, 10.0, 1046451, 1056575, 47978, 34250, 14771, 9359, 45467, 6500, 14, 23, NA, 2261351,  N*
5, 11.9, 302389, 161968, 26733, 17765, 3509, 5947, 5428, 723, 11, 27, NA, 524462,  N*
6, 12.9, 777065, 117113, 22311, 35095, 14431, 6366, 4880, 2039, 16, 43, NA, 979300,  N*
7, 14.9, 36999, 16729, 1744, 1565, 1734, 922, 1451, 460, 35, 50, NA, 61604,  N*
8, 17.9, 133820, 37974, 1553, 830, 3945, 1431, 1072, 504, 29, 34, NA, 181129,  N*
9, 19.9, 314779, 27416, 42908, 24391, 20514, 13856, 6737, 12054, 50, 70, NA, 462655,  N*
10, 20.9, 50695, 6558, 2626, 1773, 2135, 1861, 1310, 351, 74, 97, NA, 67309,  N*
11, 22.9, 282910, 33183, 36481, 7828, 42962, 11197, 12889, 5882, 90, 87, NA, 433332,  N*
12, 25.9, 742329, 77086, 24746, 21351, 12645, 11946, 7307, 6015, 84, 77, NA, 903425,  N*
13, 26.9, 43796, 18336, 2022, 5789, 3146, 1035, 768, 1650, 69, 78, NA, 76542,  N*
14, 28.9, 1807315, 167534, 23234, 3569, 6994, 8575, 9367, 5562, 64, 74, NA, 2032150,  N*
15, 29.9, 996921, 313216, 116586, 31800, 21915, 7820, 8103, 3674, 37, 57, NA, 1500035,  N*
16, 31.9, 66106, 93302, 10898, 4999, 2038, 2755, 3858, 1005, 29, 50, NA, 184961,  N*
17, 32.9, 116436, 7766, 5717, 839, 1570, 1085, 757, 393, 44, 75, NA, 134563,  N*
18, 37.9, 234055, 261448, 7272, 9858, 12604, 4887, 5847, 2492, 44, 54, NA, 538463,  N*
19, 39.8, 721180, 143851, 61888, 73258, 15325, 7881, 9098, 4064, 54, 81, NA, 1036545,  N*
20, 40.8, 1818284, 199729, 29235, 33138, 23204, 34614, 10038, 12018, 47, 66, NA, 2160260,  N*
21, 42.8, 317286, 22005, 7236, 1870, 8684, 1176, 3887, 1051, 47, 63, NA, 363195,  N*
22, 43.8, 646803, 448647, 98223, 92498, 52863, 26816, 83205, 41317, 50, 74, NA, 1490372,  N*
23, 45.8, 332045, 40800, 40342, 3339, 6332, 6472, 4135, 3351, 43, 84, NA, 436816,  N*
24, 46.8, 244706, 44527, 49219, 6353, 5503, 5473, 11068, 2312, 57, 78, NA, 369161,  N*
25, 48.8, 1032791, 304871, 32559, 22390, 8387, 9566, 3055, 3641, 54, 74, NA, 1417260,  N*
26, 49.8, 1565249, 370636, 18629, 66847, 35720, 28517, 14315, 9722, 47, 60, NA, 2109635,  N*
27, 51.8, 693347, 141887, 45702, 23180, 24718, 9260, 5161, 4202, 47, 51, NA, 947457,  N*
28, 52.8, 255680, 74075, 9880, 2317, 3943, 2619, 1972, 996, 41, 44, NA, 351482,  N*
29, 54.8, 714692, 135424, 78706, 20161, 17898, 32833, 19749, 6056, 50, 54, NA, 1025519,  N*
30, 57.8, 189318, 59987, 3004, 4320, 6815, 7075, 15232, 1221, 63, 44, NA, 286972,  N*
31, 59.8, 191046, 149904, 16492, 9738, 5492, 4112, 7244, 2509, 78, 64, NA, 386537,  N*
32, 60.8, 1395049, 143253, 43200, 22425, 26135, 7346, 8460, 7130, 53, 74, NA, 1652998,  N
33, 62.8, 1421231, 643119, 206418, 90610, 45063, 51396, 56604, 8922, 38, 66, NA, 2523363,  N
34, 63.8, 618911, 80670, 1384, 9160, 12440, 6418, 3466, 2447, 56, 69, NA, 734896,  N
35, 65.8, 869136, 197894, 15852, 18163, 17619, 13889, 27434, 7852, 61, 60, NA, 1167839,  N
36, 66.7, 1610788, 132278, 21230, 45537, 11911, 6653, 12116, 5171, 47, 43, NA, 1845684,  N
37, 68.7, 555612, 29250, 31818, 4448, 18399, 4650, 5870, 2345, 47, 63, NA, 652392,  N
38, 69.7, 1535387, 359012, 68266, 48836, 36018, 28126, 18233, 11314, 41, 75, NA, 2105192,  N
39, 71.7, 1518260, 522103, 69848, 70287, 19817, 32999, 17910, 5156, 48, 67, NA, 2256380,  N
40, 72.8, 1056615, 123755, 34178, 40172, 23754, 21935, 10803, 6207, 64, 77, NA, 1317419,  N
41, 74.7, 234308, 50190, 9819, 12327, 3532, 7151, 6663, 1244, 69, 78, NA, 325234,  N
42, 77.7, 1578669, 44837, 3386, 5036, 5640, 3698, 2961, 1912, 84, 64, NA, 1646139,  N
43, 79.7, 119760, 34811, 6285, 3899, 3311, 2744, 2782, 797, 94, 61, NA, 174389,  N
44, 80.7, 108083, 14948, 2474, 3518, 2186, 968, 1170, 249, 80, 64, NA, 133596,  N
45, 82.7, 27463, 26762, 48196, 17032, 11231, 22832, 21220, 12425, 80, 77, NA, 187161,  N
46, 83.7, 640795, 43104, 9915, 3057, 6451, 8431, 2446, 1375, 97, 81, NA, 715574,  N
47, 85.7, 77499, 16516, 4637, 6879, 2164, 4017, 1833, 2128, 100, 84, NA, 115673,  N
48, 86.7, 1185881, 439584, 37692, 12037, 7740, 9862, 5498, 2933, 87, 53, NA, 1701227,  N
49, 88.6, 123393, 28123, 19375, 18173, 8754, 10867, 8263, 3495, 83, 66, NA, 220443,  N
50, 89.7, 78702, 16517, 5900, 4237, 4086, 3649, 2903, 484, 70, 75, NA, 116478,  N
51, 91.6, 336979, 92718, 3560, 11484, 32195, 10482, 17548, 3833, 88, 74, NA, 508799,  N
52, 92.6, 398343, 136456, 17568, 5978, 20046, 4440, 2762, 1566, 54, 37, NA, 587159,  N
