obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 362662, 82930, 131619, 65685, 30607, 21523, 8836, 2312, NA, NA, NA, 706174,  N*
2, 7.0, 245151, 45619, 11974, 8924, 4228, 2759, 1435, 745, NA, NA, NA, 320835,  N*
3, 9.0, 721593, 19376, 1231, 3486, 11425, 8939, 10727, 5772, NA, NA, NA, 782549,  N*
4, 10.0, 2113695, 154295, 50316, 13344, 19883, 26657, 23129, 7652, 37, 30, NA, 2408971,  N*
5, 12.0, 1503747, 96183, 30696, 3294, 31265, 13903, 25958, 18006, 38, 29, NA, 1723052,  N*
6, 12.9, 39861, 20247, 6681, 6014, 2630, 3224, 6069, 2541, 57, 40, NA, 87267,  N*
7, 15.0, 33354, 17998, 6557, 8761, 6181, 5689, 4080, 3661, 61, 43, NA, 86281,  N*
8, 17.9, 54805, 30862, 27443, 7544, 7688, 4399, 5040, 2711, 56, 56, NA, 140492,  N*
9, 19.9, 9797, 5425, 5728, 9674, 3140, 5011, 4550, 1699, 66, 64, NA, 45024,  N*
10, 20.9, 10638, 7266, 14979, 2106, 3465, 3931, 7727, 2913, 81, 67, NA, 53025,  N*
11, 22.9, 30444, 11048, 11499, 1478, 6422, 7809, 11057, 4000, 74, 69, NA, 83757,  N*
12, 23.9, 344518, 37382, 7884, 3579, 12078, 12596, 16825, 6134, 64, 43, NA, 440996,  N*
13, 25.9, 211468, 328747, 27646, 22327, 5012, 9461, 13764, 2021, 48, 24, NA, 620446,  N*
14, 26.9, 11727, 8885, 2627, 2461, 402, 6464, 4252, 2811, 56, 34, NA, 39629,  N*
15, 28.9, 3283, 9175, 12306, 2016, 2363, 4968, 2947, 2571, 53, 47, NA, 39629,  N*
16, 29.9, 9119, 38326, 6301, 5869, 6046, 8865, 2169, 1204, 91, 38, NA, 77899,  N*
17, 31.9, 20765, 15780, 10813, 7821, 8450, 7975, 8522, 1800, 84, 44, NA, 81926,  N*
18, 32.9, 7574, 34771, 9071, 18670, 4897, 6656, 3815, 4062, 66, 60, NA, 89516,  N*
19, 34.9, 18059, 7349, 7202, 9113, 3680, 8268, 10260, 3947, 74, 69, NA, 67878,  N*
20, 37.8, 12447, 21837, 10205, 14672, 3356, 8166, 2840, 1989, 67, 61, NA, 75512,  N*
21, 39.8, 5545, 32375, 6173, 8064, 3759, 8101, 3577, 2072, 64, 41, NA, 69666,  N*
22, 40.8, 2055, 6423, 7792, 3787, 1840, 10881, 5788, 2191, 70, 47, NA, 40757,  N*
23, 42.8, 18172, 25221, 9479, 6555, 8631, 5264, 3777, 4081, 75, 50, NA, 81180,  N*
24, 43.8, 17263, 26478, 22805, 12256, 4579, 5050, 2352, 3268, 75, 47, NA, 94051,  N*
25, 45.8, 16393, 26496, 2382, 4608, 10925, 9847, 4463, 3515, 67, 35, NA, 78629,  N*
26, 46.8, 7377, 20151, 5872, 8207, 8141, 6789, 7985, 2164, 67, 41, NA, 66686,  N*
27, 48.8, 30736, 35807, 38410, 19525, 13069, 7497, 8548, 3038, 69, 43, NA, 156630,  N*
28, 49.8, 20054, 21369, 1177, 4689, 2992, 5514, 2198, 5693, 61, 63, NA, 63686,  N*
29, 51.8, 8536, 17670, 4862, 6844, 9501, 9797, 5724, 3284, 66, 60, NA, 66218,  N*
30, 52.8, 26079, 20166, 3350, 11460, 10991, 10096, 3855, 3322, 70, 29, NA, 89319,  N*
31, 54.8, 24821, 27037, 1315, 5223, 10775, 6389, 7360, 2769, 69, 27, NA, 85689,  N*
32, 57.8, 213823, 21403, 5003, 2573, 1554, 903, 802, 904, 53, 37, NA, 246965,  N*
33, 59.8, 48808, 20726, 4447, 4272, 4568, 14847, 2351, 7745, 37, 30, NA, 107764,  N*
34, 60.8, 6387, 22313, 4898, 2333, 8678, 9029, 12739, 6579, 77, 30, NA, 72956,  N
35, 62.8, 15650, 6795, 8220, 9396, 8748, 10498, 8010, 2480, 88, 34, NA, 69797,  N
36, 63.8, 108980, 32581, 11601, 22061, 5923, 14134, 5286, 3740, 70, 54, NA, 204306,  N
37, 65.8, 22578, 8706, 3071, 4015, 4617, 9517, 4286, 3011, 77, 57, NA, 59801,  N
38, 66.8, 4667, 5808, 14119, 1502, 2460, 6910, 5369, 4785, 88, 60, NA, 45620,  N
39, 68.7, 102633, 25154, 6845, 9723, 22822, 8987, 4154, 3617, 88, 51, NA, 183935,  N
40, 69.7, 25921, 5576, 4700, 6670, 7884, 7898, 21850, 5491, 96, 53, NA, 85990,  N
41, 71.7, 28251, 15627, 11491, 8620, 6257, 8867, 6613, 6976, 94, 48, NA, 92702,  N
42, 72.7, 8588, 11913, 1912, 6367, 5732, 4331, 4208, 3170, 83, 51, NA, 46221,  N
43, 74.7, 22514, 9557, 5992, 17491, 10810, 12156, 12031, 10732, 80, 54, NA, 101283,  N
44, 77.7, 12759, 19125, 6241, 4009, 4030, 11725, 9751, 3915, 84, 47, NA, 71555,  N
45, 79.7, 9802, 12750, 5416, 4615, 5754, 20969, 19347, 5798, 100, 50, NA, 84451,  N
46, 80.7, 91796, 38989, 14829, 8938, 14983, 17232, 16787, 3682, 96, 44, NA, 207236,  N
47, 82.7, 33773, 2362, 4276, 2288, 8606, 6775, 8710, 8894, 97, 43, NA, 75684,  N
48, 83.7, 1967224, 81681, 15561, 7694, 8752, 24482, 11640, 3169, 90, 34, NA, 2120203,  N
49, 85.7, 334668, 78841, 66133, 22929, 3413, 3513, 11527, 7484, 66, 43, NA, 528508,  N
50, 86.7, 8704, 7448, 4252, 3011, 5733, 14780, 8958, 19563, 61, 37, NA, 72449,  N
51, 88.7, 4153, 31778, 9213, 5550, 12979, 27510, 14415, 9183, 69, 37, NA, 114781,  N
52, 89.7, 19653, 11502, 1657, 5175, 8989, 9249, 9075, 9285, 100, 38, NA, 74585,  N
53, 91.7, 29489, 22447, 3549, 13253, 8917, 13222, 33319, 9719, 100, 41, NA, 133915,  N
54, 92.6, 4976, 29823, 5959, 8338, 10779, 8225, 8762, 1798, 70, 34, NA, 78660,  N
55, 94.6, 14035, 5558, 8918, 13223, 6636, 10539, 6828, 4143, 67, 44, NA, 69880,  N
56, 97.6, 18004, 7434, 2513, 5946, 2751, 5184, 8065, 5969, 80, 50, NA, 55866,  N
57, 99.6, 12452, 35438, 6214, 10139, 2108, 13300, 7515, 4352, 80, 51, NA, 91518,  N
58, 100.6, 474929, 109985, 9634, 9140, 15787, 10707, 4797, 8185, 41, 37, NA, 643164,  N
59, 100.6, 256753, 18761, 2713, 1753, 3613, 3034, 4716, 2348, 41, 21, NA, 293691,  N
