obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
57, 100.6, 399290, 60599, 32729, 37908, 16772, 25553, 11680, 13632, 24, 63, NA, 598163,  M
58, 102.6, 107312, 32169, 8125, 30491, 15397, 18530, 13019, 3841, 47, 78, NA, 228884,  M
59, 103.6, 19681, 12985, 1085, 6869, 6073, 15426, 15877, 7465, 77, 64, NA, 85461,  M
60, 105.6, 6540, 11638, 9086, 14179, 2405, 26372, 8821, 4644, 91, 63, NA, 83685,  M
61, 106.6, 21335, 12791, 15209, 13697, 13721, 21043, 12542, 6038, 91, 61, NA, 116376,  M
62, 108.6, 46168, 15753, 19558, 6848, 15437, 17688, 13266, 11702, 84, 74, NA, 146420,  M
63, 109.6, 62231, 30943, 10645, 1791, 3600, 5967, 4697, 6181, 74, 84, NA, 126055,  M
64, 111.6, 48539, 15522, 8208, 9746, 28156, 24470, 12673, 5007, 77, 74, NA, 152321,  M
65, 112.5, 154218, 98379, 20374, 45579, 40615, 40626, 30705, 18408, 63, 67, NA, 448904,  M
66, 114.5, 779624, 45023, 6208, 2075, 18329, 17215, 15135, 5494, 74, 54, NA, 889103,  M
67, 114.5, 178152, 222560, 31641, 11339, 10210, 28086, 14207, 4292, 47, 48, NA, 500487,  M
