obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 419537, 254753, 123251, 51097, 40587, 68330, 17275, 32288, NA, NA, NA, 1007118,  T*
2, 6.0, 63687, 31815, 7953, 15903, 9482, 4072, 2225, 1119, NA, NA, NA, 136256,  T*
3, 7.0, 87388, 79934, 6664, 3213, 7291, 5100, 5783, 463, 34, 38, NA, 195836,  T*
4, 9.0, 154732, 16017, 7352, 7321, 3001, 4805, 5200, 2929, 48, 54, NA, 201357,  T*
5, 10.0, 111146, 50040, 23935, 15648, 21461, 9256, 3612, 3014, 77, 91, NA, 238112,  T*
6, 11.9, 499372, 37848, 787, 8363, 16850, 11091, 5226, 1519, 100, 93, NA, 581056,  T*
7, 12.9, 1973650, 30665, 18272, 28500, 9875, 5671, 4709, 1605, 61, 78, NA, 2072947,  T*
8, 14.9, 77139, 99029, 6365, 24217, 6226, 7444, 10922, 6757, 48, 74, NA, 238099,  T*
9, 17.9, 743922, 44646, 6839, 15336, 16573, 14085, 38172, 5132, 60, 88, NA, 884705,  T*
10, 19.9, 211680, 136492, 24256, 3307, 3897, 10315, 1335, 972, 66, 69, NA, 392254,  T*
11, 20.9, 236083, 13535, 4138, 5114, 2575, 11534, 5226, 1591, 78, 63, NA, 279796,  T*
12, 22.9, 216685, 68087, 10064, 7191, 8940, 17456, 20764, 3166, 87, 64, NA, 352353,  T*
13, 23.9, 104349, 96586, 6187, 11074, 2799, 4400, 1464, 1109, 61, 63, NA, 227968,  T*
14, 25.9, 386378, 116448, 19484, 11316, 5905, 9745, 21060, 9198, 34, 57, NA, 579534,  T*
15, 26.9, 849000, 53330, 110221, 25764, 8520, 16786, 19225, 8973, 1, 75, NA, 1091819,  T*
16, 28.9, 172808, 21502, 726, 2181, 4222, 1779, 1520, 1445, 8, 67, NA, 206183,  T*
17, 29.9, 741054, 60295, 62988, 30503, 26401, 10263, 4831, 6986, 4, 100, NA, 943321,  T*
18, 31.9, 243623, 13601, 903, 1671, 2162, 3152, 3798, 2782, 14, 77, NA, 271692,  T*
19, 32.9, 168721, 25920, 6739, 1323, 1635, 2137, 1086, 2083, 51, 75, NA, 209644,  T*
