obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 14604, 18528, 10440, 13641, 14593, 11403, 10541, 6045, NA, NA, NA, 99795,  A*
2, 7.0, 9353, 27855, 10832, 14499, 8883, 7850, 7923, 2768, NA, NA, NA, 89963,  A*
3, 9.0, 85382, 6617, 1333, 2889, 1136, 1479, 3178, 1259, 30, 30, NA, 103273,  A*
4, 10.0, 33947, 12758, 2759, 9345, 6824, 3694, 1781, 1073, 14, 30, NA, 72181,  A*
5, 11.9, 20067, 96609, 25721, 39113, 6847, 17572, 6983, 10938, 13, 53, NA, 223850,  A*
6, 12.9, 38785, 24848, 2337, 9270, 28909, 10125, 15760, 5475, 47, 88, NA, 135509,  A*
7, 14.9, 343590, 66179, 19387, 3545, 22811, 7792, 32023, 4794, 40, 70, NA, 500121,  A*
8, 17.9, 70062, 31999, 35185, 12082, 8569, 19357, 3254, 3304, 44, 67, NA, 183812,  A*
9, 19.9, 6050, 3705, 12618, 16349, 28444, 12306, 10941, 3364, 67, 64, NA, 93777,  A*
10, 20.9, 17030, 21989, 22998, 16030, 5584, 15120, 3934, 5867, 64, 75, NA, 108552,  A*
11, 22.9, 562799, 63818, 37577, 20722, 5211, 9968, 6177, 2114, 57, 78, NA, 708386,  A*
12, 23.9, 170994, 105839, 14890, 44097, 31700, 9550, 8039, 5089, 27, 75, NA, 390198,  A*
13, 25.9, 199233, 64657, 4693, 4635, 2753, 6241, 11418, 1652, 11, 47, NA, 295282,  A*
14, 26.9, 60757, 12581, 5447, 1564, 8170, 3211, 7209, 2893, 20, 7, NA, 101832,  A*
15, 28.9, 33513, 10418, 7898, 11726, 8507, 18115, 13082, 13724, 54, 8, NA, 116983,  A*
16, 29.9, 7959, 1552, 6381, 12327, 31338, 19379, 8302, 3078, 100, 27, NA, 90316,  A*
17, 31.9, 20759, 39029, 21428, 4757, 6704, 5425, 10323, 10011, 100, 35, NA, 118436,  A*
18, 32.9, 43951, 27312, 3937, 3802, 3741, 4813, 4823, 840, 56, 29, NA, 93219,  A*
19, 34.8, 18512, 5385, 944, 5098, 5099, 9636, 20264, 5658, 54, 26, NA, 70596,  A*
