obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 484053, 41898, 5809, 37662, 10246, 5337, 3497, 1424, NA, NA, NA, 589926,  N*
2, 7.0, 131617, 39049, 7396, 5179, 9532, 1783, 2998, 631, NA, NA, NA, 198185,  N*
3, 9.0, 226346, 63233, 1990, 4678, 4592, 4582, 3038, 3498, 41, 30, NA, 311957,  N*
4, 10.0, 966205, 106738, 7827, 11226, 15079, 8734, 4647, 2258, 27, 20, NA, 1122714,  N*
5, 11.9, 137132, 29670, 4806, 3259, 2764, 1154, 2256, 304, 21, 20, NA, 181345,  N*
6, 12.9, 694053, 102775, 17486, 11411, 3115, 5333, 6199, 1539, 43, 57, NA, 841911,  N*
7, 14.9, 241920, 140370, 30182, 12877, 14129, 13137, 11779, 6312, 43, 63, NA, 470706,  N*
8, 17.9, 11677, 26588, 2636, 3870, 10970, 14477, 18164, 6151, 75, 50, NA, 94533,  N*
9, 19.9, 585689, 44252, 17381, 8659, 11614, 9630, 15653, 7059, 100, 38, NA, 699937,  N*
10, 20.9, 69882, 21026, 5958, 4547, 16476, 7367, 18359, 13598, 100, 51, NA, 157213,  N*
11, 22.9, 11276, 16628, 6080, 9233, 10458, 10712, 19559, 8027, 100, 57, NA, 91973,  N*
12, 23.9, 58154, 39965, 9510, 14340, 7920, 16200, 10291, 6592, 97, 44, NA, 162972,  N*
13, 25.9, 1574917, 214199, 65129, 5179, 21028, 43156, 11889, 5222, 93, 44, NA, 1940719,  N*
14, 26.9, 136958, 69006, 10182, 4935, 3404, 8594, 2508, 1360, 93, 51, NA, 236947,  N*
15, 28.9, 11684, 5217, 27655, 8836, 35578, 23497, 12263, 12642, 97, 54, NA, 137372,  N*
16, 29.9, 4583, 5001, 24776, 16604, 16624, 45463, 18526, 5488, 100, 56, NA, 137065,  N*
17, 31.9, 8299, 24629, 8978, 19839, 3140, 19461, 17146, 4455, 100, 67, NA, 105947,  N*
18, 32.9, 158598, 29954, 2753, 684, 4632, 5874, 5063, 723, 90, 57, NA, 208281,  N*
19, 34.9, 34521, 30574, 12640, 12487, 12328, 29109, 10284, 13057, 84, 53, NA, 155000,  N*
20, 37.8, 801959, 37679, 2296, 15395, 21078, 24516, 21183, 2943, 80, 40, NA, 927049,  N*
21, 39.8, 203717, 29216, 21622, 32293, 25885, 31321, 26291, 6838, 100, 56, NA, 377183,  N*
22, 40.8, 57770, 35256, 28029, 21833, 15594, 53400, 14655, 9005, 100, 61, NA, 235542,  N*
23, 42.8, 38504, 24328, 6976, 5432, 10806, 12843, 12671, 4796, 94, 60, NA, 116356,  N*
24, 43.8, 6302, 14083, 3116, 2540, 8496, 10453, 9756, 5360, 100, 48, NA, 60106,  N*
25, 45.8, 17634, 25098, 12476, 5082, 18056, 16003, 8921, 9119, 97, 43, NA, 112389,  N*
26, 46.8, 187737, 25331, 1546, 4125, 3780, 6576, 2853, 4634, 80, 37, NA, 236582,  N*
27, 48.8, 410919, 118679, 1891, 7957, 14797, 26636, 74888, 5788, 69, 27, NA, 661555,  N*
28, 49.8, 84393, 15283, 2803, 15611, 1427, 8383, 2906, 2325, 57, 30, NA, 133131,  N*
29, 51.8, 154043, 17723, 17360, 7771, 10292, 32974, 14228, 4553, 74, 40, NA, 258944,  N*
30, 52.8, 49588, 5256, 1978, 1235, 3298, 5714, 2379, 4940, 100, 61, NA, 74388,  N*
31, 54.8, 48502, 47492, 13986, 28275, 27999, 14742, 38291, 15263, 100, 57, NA, 234550,  N*
32, 57.8, 32812, 20371, 8433, 9556, 5910, 15134, 16130, 8538, 77, 50, NA, 116884,  N*
33, 59.8, 46500, 64906, 11561, 9912, 12155, 18350, 9358, 4336, 88, 57, NA, 177078,  N*
34, 60.8, 22837, 35471, 7920, 42411, 22403, 27621, 12417, 4992, 87, 64, NA, 176072,  N
35, 62.7, 8731, 7583, 27640, 12721, 20362, 17874, 11432, 22413, 84, 67, NA, 128756,  N
36, 63.8, 17410, 46467, 4576, 6453, 8075, 23573, 37130, 9692, 94, 44, NA, 153376,  N
37, 65.7, 10621, 9927, 13027, 12364, 6260, 10478, 6368, 10162, 87, 48, NA, 79207,  N
38, 66.7, 510236, 24406, 3479, 2384, 8376, 13341, 16092, 6670, 66, 38, NA, 584984,  N
39, 68.7, 443698, 34676, 8029, 11416, 2688, 24352, 12690, 8649, 67, 47, NA, 546198,  N
40, 69.7, 221097, 77508, 6900, 11424, 2423, 4447, 4110, 2510, 34, 29, NA, 330419,  N
41, 71.7, 52261, 15451, 4533, 14234, 7917, 21250, 26943, 6482, 37, 41, NA, 149071,  N
42, 72.7, 26189, 40522, 12934, 8909, 21155, 50858, 10283, 19237, 56, 41, NA, 190087,  N
43, 74.7, 109933, 8886, 9199, 3386, 11391, 28195, 14519, 16504, 81, 44, NA, 202013,  N
44, 77.7, 81796, 18687, 1778, 4776, 5956, 7061, 4800, 883, 75, 47, NA, 125737,  N
45, 79.7, 54108, 20509, 25144, 17479, 16513, 20458, 21492, 13119, 53, 44, NA, 188822,  N
46, 80.7, 90461, 122824, 30773, 14920, 10398, 26017, 22165, 7926, 44, 50, NA, 325484,  N
47, 82.7, 36729, 48635, 2277, 7001, 1578, 5897, 4392, 1834, 34, 56, NA, 108343,  N
48, 83.7, 30413, 12689, 3370, 10348, 16796, 16045, 23823, 5894, 47, 60, NA, 119378,  N
49, 85.7, 23669, 47410, 3271, 14090, 10125, 23690, 12144, 4142, 53, 56, NA, 138541,  N
50, 86.7, 75038, 15823, 11569, 13872, 17198, 19304, 16903, 11122, 67, 51, NA, 180829,  N
51, 88.6, 3025, 4168, 9569, 2918, 6070, 29376, 28301, 9856, 75, 51, NA, 93283,  N
52, 89.6, 118864, 13663, 1085, 4708, 5776, 9257, 3953, 3415, 77, 43, NA, 160721,  N
53, 91.6, 21408, 12917, 12752, 34836, 23998, 30901, 5496, 4992, 78, 44, NA, 147300,  N
54, 92.7, 10152, 16632, 2491, 8346, 18085, 38601, 7282, 4676, 78, 53, NA, 106265,  N
55, 94.6, 19590, 42128, 2738, 30273, 6732, 13801, 15986, 18137, 69, 61, NA, 149385,  N
56, 97.6, 1104562, 295394, 60073, 5431, 34854, 28683, 24986, 3566, 48, 34, NA, 1557549,  N
57, 99.6, 91625, 42934, 2849, 6709, 2026, 7800, 2763, 2324, 35, 50, NA, 159030,  N
58, 100.6, 266316, 21605, 1880, 6118, 9076, 12018, 2670, 3069, 47, 57, NA, 322752,  N
59, 102.6, 16154, 20505, 1852, 5950, 20588, 35308, 16064, 13041, 63, 40, NA, 129462,  N
60, 103.6, 901931, 97681, 28750, 24667, 9059, 36532, 13733, 4845, 74, 37, NA, 1117198,  N
61, 105.6, 10558, 16096, 109779, 3749, 12024, 13193, 14836, 7168, 63, 60, NA, 187403,  N
62, 106.6, 454037, 85446, 51897, 7831, 6909, 27542, 8932, 4137, 40, 93, NA, 646731,  N
63, 108.6, 15018, 8780, 3994, 6882, 5406, 21820, 8177, 12321, 53, 91, NA, 82398,  N
64, 109.6, 85951, 24011, 33371, 36698, 15766, 25532, 11584, 7837, 63, 66, NA, 240750,  N
65, 111.6, 283632, 33200, 35882, 12449, 5489, 26065, 16903, 11631, 67, 69, NA, 425251,  N
66, 112.6, 85137, 2782, 4122, 4549, 2392, 8016, 4191, 2789, 63, 75, NA, 113978,  N
67, 112.6, 8229, 19728, 16040, 2640, 5244, 13585, 13371, 8909, 64, 66, NA, 87746,  N
