obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 83514, 49959, 2845, 5463, 2046, 2566, 2745, 2837, NA, NA, NA, 151975,  A*
2, 7.0, 1341524, 87638, 97578, 10723, 18945, 15062, 9868, 6716, NA, NA, NA, 1588054,  A*
3, 9.0, 404336, 25507, 9450, 1926, 1719, 3070, 2508, 533, 51, 41, NA, 449049,  A*
4, 9.9, 226447, 34993, 27699, 10558, 5547, 7375, 4475, 4202, 84, 56, NA, 321296,  A*
5, 11.9, 608582, 58060, 47636, 8280, 3631, 9675, 9622, 3648, 88, 67, NA, 749134,  A*
6, 12.9, 846167, 138013, 130986, 2473, 5944, 24230, 34355, 6095, 61, 70, NA, 1188263,  A*
7, 14.9, 1999227, 484394, 50287, 76980, 38102, 30968, 31821, 14051, 44, 56, NA, 2725830,  A*
8, 17.9, 569713, 70300, 12172, 18621, 12474, 17492, 14002, 2666, 60, 30, NA, 717440,  A*
9, 19.9, 64765, 63911, 20128, 20819, 9842, 10312, 38229, 5040, 96, 40, NA, 233046,  A*
10, 20.9, 239078, 79042, 30815, 5215, 11639, 3223, 2367, 3138, 48, 35, NA, 374517,  A*
11, 22.9, 323346, 225827, 3674, 21383, 15862, 8651, 5868, 7376, 10, 29, NA, 611987,  A*
12, 23.9, 198195, 98236, 27093, 7257, 12746, 19044, 7375, 5852, 29, 17, NA, 375798,  A*
13, 25.9, 71982, 15104, 708, 1701, 4108, 4623, 2796, 3040, 66, 1, NA, 104062,  A*
14, 26.9, 531308, 42219, 8802, 8305, 6135, 7194, 4678, 2406, 74, 11, NA, 611047,  A*
15, 28.9, 114812, 12867, 721, 2979, 7765, 4163, 4353, 3806, 81, 3, NA, 151466,  A*
16, 29.9, 579885, 89070, 22869, 12783, 25694, 42516, 53825, 16052, 96, 23, NA, 842694,  A*
17, 31.9, 1206428, 168683, 10922, 42324, 9524, 19244, 43032, 8744, 90, 20, NA, 1508901,  A*
18, 32.9, 524404, 18182, 11580, 15005, 5269, 13376, 3464, 3829, 83, 44, NA, 595109,  A*
19, 34.8, 165713, 21068, 1566, 8117, 7440, 3652, 4635, 3766, 66, 48, NA, 215957,  A*
20, 37.9, 13637, 12753, 18207, 21874, 11636, 35752, 27525, 3502, 93, 50, NA, 144886,  A*
21, 39.8, 80563, 16961, 5148, 4186, 7474, 8257, 3378, 3846, 100, 29, NA, 129813,  A*
22, 40.8, 172484, 154196, 15292, 25705, 5030, 7355, 12560, 2294, 64, 23, NA, 394916,  A*
23, 42.8, 1315321, 53243, 41655, 12985, 14181, 6245, 6974, 4200, 50, 40, NA, 1454804,  A*
24, 43.8, 38128, 23121, 4349, 5766, 15352, 17100, 22709, 5978, 27, 44, NA, 132503,  A*
25, 45.8, 33901, 27593, 7283, 10799, 9594, 15803, 11943, 9010, 51, 48, NA, 125926,  A*
26, 46.8, 35998, 25517, 45894, 52651, 23319, 45729, 31924, 6552, 87, 51, NA, 267584,  A*
27, 48.8, 60399, 16190, 2799, 3245, 4297, 4469, 5319, 1604, 77, 54, NA, 98322,  A*
28, 49.8, 36621, 56020, 30046, 22665, 19246, 20594, 22969, 10803, 78, 56, NA, 218964,  A*
29, 51.8, 475035, 93309, 60433, 35993, 13046, 41278, 25628, 19006, 74, 48, NA, 763728,  A*
30, 52.8, 793449, 493087, 47468, 21991, 13213, 17292, 20741, 14506, 24, 37, NA, 1421747,  A*
31, 54.8, 57794, 24999, 2692, 2467, 1722, 4162, 2836, 5008, 21, 21, NA, 101680,  A*
32, 57.8, 53364, 39560, 27239, 5821, 4624, 27062, 8200, 5220, 38, 38, NA, 171090,  A*
33, 59.8, 110549, 8943, 13289, 11532, 19172, 7140, 2808, 837, 30, 47, NA, 174270,  A*
34, 60.7, 69291, 21670, 4735, 1924, 1706, 3622, 2531, 2133, 40, 51, NA, 107612,  A
35, 62.7, 86812, 19194, 12583, 16332, 24498, 18134, 19697, 8404, 60, 56, NA, 205654,  A
36, 63.7, 644585, 165958, 4903, 18646, 17638, 14703, 30105, 4040, 56, 30, NA, 900578,  A
37, 65.7, 1884394, 136951, 10274, 33369, 30466, 21528, 17495, 10220, 54, 30, NA, 2144697,  A
38, 66.7, 182187, 45256, 1823, 2228, 5293, 10636, 2980, 548, 29, 1, NA, 250951,  A
39, 68.7, 61200, 14521, 2092, 4657, 5296, 12199, 17083, 11936, 50, 7, NA, 128984,  A
40, 69.7, 103360, 123209, 9128, 10555, 32909, 22340, 38606, 9632, 61, 14, NA, 349739,  A
41, 71.7, 28166, 17228, 3212, 1809, 1608, 1194, 2242, 816, 48, 29, NA, 56275,  A
42, 72.8, 271825, 116907, 17688, 24034, 35663, 33602, 11798, 21679, 37, 27, NA, 533196,  A
43, 74.7, 230434, 59754, 13965, 8236, 3740, 4873, 4720, 7797, 24, 40, NA, 333519,  A
44, 77.7, 74655, 27736, 6140, 40714, 12384, 13684, 40787, 7512, 40, 35, NA, 223612,  A
45, 79.7, 581948, 94844, 43573, 33681, 32835, 19021, 10449, 12855, 43, 54, NA, 829206,  A
46, 80.7, 220552, 29638, 6983, 28286, 22929, 22403, 10358, 16057, 60, 50, NA, 357206,  A
47, 82.7, 1415200, 218231, 8017, 34062, 101806, 19598, 43842, 23964, 47, 30, NA, 1864720,  A
48, 83.6, 347823, 36974, 5381, 6266, 11665, 5457, 2921, 2093, 35, 35, NA, 418580,  A
49, 83.6, 1414332, 313660, 45950, 62628, 46090, 27267, 51068, 26635, 17, 27, NA, 1987630,  A
