obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 609161, 297855, 62733, 80487, 101930, 10464, 21925, 28030, NA, NA, NA, 1212585,  A*
2, 6.0, 18415, 36932, 10895, 8602, 10586, 29754, 16049, 6640, NA, NA, NA, 137873,  A*
3, 7.0, 56368, 88097, 22394, 33095, 32174, 15918, 9339, 1886, 41, 53, NA, 259271,  A*
4, 9.0, 32671, 16867, 4057, 8008, 19541, 21438, 3687, 3937, 56, 54, NA, 110206,  A*
5, 10.0, 116952, 84018, 38981, 16492, 13611, 18988, 5554, 2303, 66, 90, NA, 296899,  A*
6, 12.0, 529841, 232522, 44966, 41502, 83362, 7967, 6291, 2861, 56, 80, NA, 949312,  A*
7, 13.0, 96640, 19219, 9741, 4909, 3984, 2726, 982, 650, 30, 70, NA, 138851,  A*
8, 14.9, 21406, 3859, 2208, 7395, 8812, 9668, 2812, 3064, 43, 70, NA, 59224,  1*
9, 19.9, 500752, 115973, 23149, 24080, 14602, 19589, 15079, 1552, 57, 81, NA, 714776,  1*
10, 20.9, 126976, 42352, 1677, 8632, 6858, 8698, 4449, 10085, 44, 67, NA, 209727,  1*
11, 22.9, 143971, 8140, 4073, 1028, 2133, 4225, 3388, 987, 56, 60, NA, 167945,  1*
12, 23.9, 153253, 71038, 39679, 6714, 1781, 13517, 6004, 11513, 56, 70, NA, 303499,  1*
13, 25.9, 164042, 62635, 2975, 18927, 11496, 11920, 10292, 1735, 54, 78, NA, 284022,  1*
14, 26.9, 264330, 60966, 6662, 5728, 14209, 8015, 7820, 4379, 47, 40, NA, 372109,  1*
15, 28.9, 138398, 47997, 52724, 26443, 16693, 47332, 20653, 4017, 53, 44, NA, 354257,  1*
16, 29.9, 276300, 40320, 13572, 5513, 1782, 9676, 6914, 4432, 57, 77, NA, 358509,  1*
17, 31.9, 10414, 29084, 4535, 7624, 7161, 24711, 27229, 10751, 67, 80, NA, 121509,  1*
18, 32.9, 111633, 21935, 4102, 3180, 2695, 2933, 6038, 2338, 64, 74, NA, 154854,  1*
19, 34.9, 1191178, 45749, 82114, 12419, 12126, 12063, 6169, 12581, 60, 83, NA, 1374399,  1*
20, 37.9, 1837134, 91276, 14692, 45216, 25690, 9612, 8636, 7047, 43, 100, NA, 2039303,  1*
21, 39.9, 298684, 64567, 16644, 8245, 9119, 6437, 3115, 1995, 35, 75, NA, 408806,  1*
22, 40.9, 513285, 21632, 1015, 2117, 5756, 2775, 1912, 509, 41, 53, NA, 549001,  1*
23, 42.8, 29706, 45166, 16478, 23015, 11500, 7482, 2098, 2771, 43, 63, NA, 138216,  1*
24, 43.8, 589079, 57228, 4540, 30239, 19958, 27592, 11684, 13794, 48, 63, NA, 754114,  1*
25, 45.8, 77232, 23418, 25608, 11996, 11222, 18097, 7155, 11449, 54, 87, NA, 186177,  1*
26, 46.8, 102476, 1052, 1309, 1941, 715, 1341, 866, 345, 66, 100, NA, 110045,  1*
