obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 666166, 136824, 30504, 5111, 4186, 5684, 1492, 1218, NA, NA, NA, 851185,  T*
2, 6.9, 99541, 18452, 1361, 268, 2058, 1103, 1176, 312, NA, NA, NA, 124271,  T*
3, 8.9, 2535970, 427169, 96413, 69503, 62080, 24409, 47263, 13217, 30, 43, NA, 3276024,  T*
4, 9.9, 782449, 38120, 89717, 25263, 23940, 34900, 15337, 6290, 41, 53, NA, 1016016,  T*
5, 11.9, 142528, 118573, 56235, 12259, 32504, 9756, 8284, 4730, 38, 60, NA, 384869,  T*
6, 12.9, 1233344, 604787, 40019, 26295, 21996, 44244, 34474, 20956, 44, 53, NA, 2026115,  T*
7, 14.9, 68952, 18599, 5636, 8623, 3117, 2157, 811, 507, 30, 48, NA, 108402,  T*
8, 17.9, 500232, 462906, 10135, 5033, 8669, 6878, 3600, 5343, 17, 27, NA, 1002796,  T*
9, 22.9, 393893, 306770, 48666, 21792, 22710, 18679, 8880, 6981, 14, 35, NA, 828371,  T*
10, 23.9, 1133351, 90006, 20142, 12569, 9247, 7224, 1345, 1266, 13, 41, NA, 1275150,  T*
11, 25.9, 2538995, 567695, 31849, 48521, 35346, 22978, 10589, 1271, 10, 34, NA, 3257244,  T*
12, 26.9, 1392795, 87949, 28990, 11528, 5263, 8219, 2782, 5899, 17, 50, NA, 1543425,  T*
13, 28.9, 219496, 80411, 13851, 9422, 1397, 7484, 3285, 2373, 20, 48, NA, 337719,  T*
14, 29.9, 386417, 65832, 11739, 8577, 7514, 3484, 1864, 380, 21, 51, NA, 485807,  T*
15, 31.8, 46880, 126719, 31867, 3188, 10597, 37832, 14606, 9519, 35, 47, NA, 281208,  T*
16, 32.8, 385321, 113805, 101935, 35981, 18596, 28007, 10524, 4632, 63, 54, NA, 698801,  T*
17, 34.8, 24430, 29418, 1996, 8885, 15508, 27103, 11714, 19380, 91, 50, NA, 138434,  T*
18, 37.8, 95723, 30831, 8242, 2259, 4118, 1118, 1150, 314, 63, 51, NA, 143755,  T*
19, 39.8, 119449, 23315, 3210, 5936, 3390, 5404, 2521, 1899, 37, 47, NA, 165124,  T*
20, 40.8, 57512, 150168, 20391, 5048, 18141, 10933, 33487, 5232, 51, 30, NA, 300912,  T*
21, 42.8, 202275, 206409, 34271, 16459, 18905, 14653, 5892, 5893, 56, 37, NA, 504757,  T*
22, 43.8, 58745, 42499, 37228, 34559, 14632, 15739, 12106, 6186, 56, 47, NA, 221694,  T*
23, 45.8, 275269, 61714, 7067, 5285, 3652, 1256, 2738, 949, 43, 48, NA, 357930,  T*
24, 46.8, 20450, 1606, 1100, 4918, 3238, 10145, 2768, 1084, 61, 48, NA, 45309,  T*
25, 48.8, 216275, 40840, 10758, 9905, 5106, 5074, 2213, 1670, 51, 41, NA, 291841,  T*
26, 49.8, 1508454, 163978, 57467, 8086, 20513, 5671, 4077, 1721, 40, 48, NA, 1769967,  T*
27, 51.8, 2333788, 404563, 14868, 41919, 25810, 34811, 3236, 4630, 14, 38, NA, 2863625,  T*
28, 52.8, 322939, 39288, 10194, 8223, 8007, 4692, 2179, 1487, 13, 38, NA, 397009,  T*
29, 54.8, 415709, 28312, 36676, 66792, 39756, 23562, 20598, 5369, 29, 47, NA, 636774,  T*
30, 57.7, 169245, 47382, 39653, 50861, 54948, 30488, 10308, 5930, 41, 66, NA, 408815,  T*
31, 59.7, 399697, 28402, 9686, 1524, 5269, 7095, 1833, 704, 27, 56, NA, 454210,  T*
32, 60.7, 1231466, 77069, 9988, 4729, 4142, 8758, 4066, 4200, 21, 51, NA, 1344418,  T
33, 62.7, 2055752, 44857, 14756, 12988, 14261, 5666, 1740, 518, 37, 51, NA, 2150538,  T
34, 63.7, 1325766, 310137, 9397, 21456, 17768, 9101, 8564, 1947, 21, 43, NA, 1704136,  T
35, 65.7, 62456, 5135, 941, 244, 483, 253, 110, 95, 13, 44, NA, 69717,  T
36, 66.7, 7217, 15954, 9351, 19707, 16819, 13288, 4779, 3013, 38, 44, NA, 90128,  T
37, 68.7, 89613, 32593, 14109, 6187, 5343, 1817, 1944, 1184, 41, 57, NA, 152790,  T
38, 69.7, 1606533, 222800, 24603, 35988, 5306, 7518, 3852, 1192, 35, 53, NA, 1907792,  T
39, 71.7, 691147, 45431, 6623, 4110, 2015, 3143, 896, 855, 21, 44, NA, 754220,  T
40, 72.7, 339228, 28833, 7474, 12271, 7231, 14359, 10725, 3319, 26, 48, NA, 423440,  T
