obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 22906, 40882, 155645, 4700, 7077, 14095, 6280, 10016, NA, NA, NA, 261601,  T*
2, 7.0, 1111717, 797511, 270432, 48024, 49539, 40969, 9407, 21225, NA, NA, NA, 2348824,  T*
3, 8.9, 626749, 180948, 11102, 42378, 4502, 3858, 2358, 1540, 30, 30, NA, 873435,  T*
4, 10.0, 108785, 11129, 5350, 5089, 3599, 1763, 1939, 2855, 29, 23, NA, 140509,  T*
5, 11.9, 6077, 28983, 4155, 15047, 14536, 29016, 7522, 5593, 51, 14, NA, 110929,  T*
6, 12.9, 326493, 277604, 27865, 25700, 1814, 16876, 15535, 8035, 84, 7, NA, 699922,  T*
7, 14.9, 1182872, 213762, 7351, 27105, 21053, 54566, 36401, 18914, 93, 1, NA, 1562024,  T*
8, 17.9, 158678, 45409, 347, 994, 5412, 3996, 2209, 1152, 75, 1, NA, 218197,  T*
9, 19.9, 46046, 16890, 3030, 4599, 1540, 1449, 874, 366, 78, 14, NA, 74794,  T*
10, 20.9, 32517, 38050, 53497, 3105, 40185, 16020, 5282, 6682, 80, 56, NA, 195338,  T*
11, 22.9, 11267, 14010, 3683, 16015, 1667, 9071, 8279, 3124, 80, 64, NA, 67116,  T*
12, 23.9, 9849, 15424, 3140, 10200, 2911, 15550, 17341, 5586, 100, 54, NA, 80001,  T*
13, 25.9, 7962, 33934, 23747, 19670, 4855, 20432, 13990, 7240, 100, 56, NA, 131830,  T*
14, 26.9, 11250, 19424, 22243, 9366, 20972, 12789, 7446, 3518, 88, 63, NA, 107008,  T*
15, 28.9, 10396, 15888, 54908, 9468, 17644, 21095, 16068, 5892, 83, 70, NA, 151359,  T*
16, 29.9, 187592, 58011, 36755, 3293, 4824, 18495, 6424, 7646, 91, 69, NA, 323040,  T*
17, 31.9, 9867, 6941, 80876, 4254, 9781, 25226, 5561, 3237, 93, 78, NA, 145743,  T*
18, 32.9, 7197, 10020, 3853, 5747, 6024, 14309, 8181, 2297, 94, 66, NA, 57628,  T*
19, 34.8, 42464, 29231, 5367, 17159, 13095, 10028, 6391, 2148, 93, 66, NA, 125883,  T*
20, 37.8, 34860, 40939, 31132, 15124, 12821, 10412, 4950, 4229, 96, 57, NA, 154467,  T*
21, 39.8, 24126, 14242, 17244, 2312, 12598, 20884, 4976, 1519, 100, 56, NA, 97901,  T*
22, 40.8, 243693, 50177, 23376, 1823, 2018, 7178, 1604, 670, 91, 48, NA, 330539,  T*
23, 42.8, 124430, 102168, 78074, 11219, 15379, 39507, 9521, 3634, 83, 54, NA, 383932,  T*
24, 43.8, 25424, 5969, 2421, 6158, 8239, 17165, 35014, 10602, 96, 56, NA, 110992,  T*
25, 45.8, 545749, 16827, 9805, 31622, 7900, 48189, 18573, 6088, 100, 57, NA, 684753,  T*
26, 46.8, 16719, 13407, 5667, 22537, 9806, 32443, 8251, 11733, 100, 50, NA, 120563,  T*
27, 48.8, 10921, 6217, 80783, 17542, 10567, 72193, 7166, 10743, 100, 61, NA, 216132,  T*
28, 49.8, 17339, 23529, 3279, 5460, 11259, 15888, 10076, 5492, 100, 53, NA, 92322,  T*
29, 51.8, 8488, 14295, 78853, 4932, 6816, 19103, 16175, 5852, 100, 64, NA, 154514,  T*
30, 52.8, 33791, 11272, 20234, 1214, 11786, 47400, 11850, 4553, 100, 57, NA, 142100,  T*
31, 54.8, 5182, 7512, 5374, 6165, 4426, 37176, 23437, 4559, 100, 60, NA, 93831,  T*
32, 57.8, 16703, 7651, 22406, 5502, 5091, 18412, 10547, 13963, 100, 48, NA, 100275,  T*
33, 59.7, 17094, 10448, 7761, 7824, 8618, 27555, 25703, 2424, 90, 60, NA, 107427,  T*
34, 60.7, 17158, 12125, 136582, 2632, 17532, 32057, 13139, 9588, 91, 64, NA, 240813,  T
35, 62.8, 18478, 7798, 46632, 7586, 14669, 55955, 13322, 3204, 97, 64, NA, 167644,  T
36, 63.7, 512208, 282482, 23151, 11123, 15726, 47768, 7194, 4361, 91, 51, NA, 904013,  T
37, 65.7, 1850790, 233185, 17298, 15235, 12400, 15894, 17803, 5807, 80, 29, NA, 2168412,  T
38, 66.7, 169980, 127098, 34413, 9382, 16862, 31764, 37927, 5132, 56, 30, NA, 432558,  T
39, 68.7, 13174, 22708, 118768, 5923, 18263, 26480, 54752, 5161, 56, 53, NA, 265229,  T
40, 69.7, 21447, 16916, 8596, 5150, 4163, 18933, 18763, 11439, 77, 61, NA, 105407,  T
41, 71.7, 24268, 14731, 39590, 7412, 11302, 26613, 14268, 6843, 81, 70, NA, 145027,  T
42, 72.7, 83991, 37751, 66797, 14586, 8524, 28431, 25635, 23855, 83, 51, NA, 289570,  T
43, 74.7, 107116, 72497, 62750, 48825, 10317, 17147, 20568, 16148, 69, 60, NA, 355368,  T
44, 77.7, 263176, 120785, 52419, 19755, 5943, 31444, 27399, 13228, 53, 66, NA, 534149,  T
45, 79.7, 73331, 73867, 23255, 17903, 14703, 13575, 9182, 6584, 87, 44, NA, 232400,  T
46, 80.7, 1354026, 43656, 33719, 7488, 16349, 67922, 61043, 2594, 84, 56, NA, 1586797,  T
47, 82.7, 20589, 6544, 11164, 11377, 11406, 63728, 31786, 3663, 90, 57, NA, 160257,  T
48, 83.7, 64036, 48912, 60729, 37701, 3138, 32848, 16269, 10847, 100, 60, NA, 274480,  T
49, 85.7, 246727, 57873, 9598, 25594, 11962, 32614, 33900, 4569, 94, 61, NA, 422837,  T
50, 86.7, 90425, 24289, 3858, 1812, 4307, 4647, 3775, 3631, 75, 60, NA, 136744,  T
51, 88.7, 9187, 5637, 8052, 5593, 7302, 33858, 4884, 6532, 88, 50, NA, 81045,  T
52, 89.6, 291187, 75416, 166713, 10830, 24134, 50497, 9750, 5958, 75, 44, NA, 634485,  T
53, 91.6, 99208, 67063, 81848, 18613, 47590, 24207, 39044, 6381, 75, 54, NA, 383954,  T
54, 92.6, 30533, 7117, 43798, 5419, 7426, 39926, 11555, 11611, 77, 75, NA, 157385,  T
55, 94.6, 12326, 43940, 33110, 1877, 6742, 52073, 8689, 3755, 84, 66, NA, 162512,  T
56, 97.6, 11728, 19615, 47156, 6659, 24284, 42642, 14839, 3966, 96, 54, NA, 170889,  T
57, 99.6, 331434, 105998, 326, 6332, 6887, 35886, 15301, 5473, 88, 37, NA, 507637,  T
