obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 42089, 82786, 1411, 15291, 3871, 15181, 5342, 964, NA, NA, NA, 166935,  X*
2, 6.9, 834137, 31101, 14265, 9177, 8711, 5066, 3710, 1382, NA, NA, NA, 907549,  X*
3, 8.9, 1201500, 132373, 54574, 23321, 23906, 17978, 8757, 3878, 30, 50, NA, 1466287,  4*
4, 9.9, 78917, 38746, 1689, 7486, 9269, 8441, 6498, 2283, 24, 56, NA, 153329,  4*
5, 11.9, 556791, 201199, 10711, 17487, 8832, 53016, 22057, 22795, 30, 38, NA, 892888,  4*
6, 12.9, 1664261, 100560, 17724, 8166, 18063, 5791, 5387, 2122, 27, 8, NA, 1822074,  4*
7, 14.9, 83837, 16464, 9903, 2875, 4664, 1467, 2570, 1318, 4, 30, NA, 123098,  4*
8, 17.9, 1788043, 144772, 57382, 57141, 69931, 20297, 26218, 21796, 1, 63, NA, 2185580,  4*
9, 19.9, 996557, 273877, 25223, 83084, 24547, 59462, 20447, 14491, 38, 57, NA, 1497688,  4*
10, 20.9, 954424, 40518, 11981, 6114, 1708, 11707, 6399, 2730, 35, 23, NA, 1035581,  4*
11, 22.9, 110268, 39429, 4214, 7004, 7860, 8230, 3290, 1432, 41, 29, NA, 181727,  4*
12, 23.9, 1166603, 239605, 76072, 49410, 40979, 33529, 47775, 18326, 35, 64, NA, 1672299,  4*
13, 25.9, 254914, 112965, 6253, 8270, 11423, 17531, 8844, 4484, 29, 47, NA, 424684,  4*
14, 26.9, 173408, 38922, 25641, 9034, 4963, 7390, 3141, 1144, 26, 40, NA, 263643,  4*
15, 28.9, 860278, 149478, 23659, 35144, 18589, 31693, 37864, 8568, 35, 34, NA, 1165273,  4*
16, 29.9, 64653, 33431, 16598, 11215, 10268, 5235, 2614, 1308, 26, 63, NA, 145322,  4*
17, 31.8, 90132, 12640, 11393, 5677, 4757, 6152, 4056, 2591, 38, 66, NA, 137398,  4*
