obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 10.0, 186072, 38927, 7532, 33351, 7931, 18837, 17251, 9374, NA, NA, NA, 319275,  N*
2, 14.9, 38327, 4456, 1962, 6526, 1735, 2173, 2802, 424, NA, NA, NA, 58405,  N*
3, 17.9, 559088, 178811, 40845, 28774, 25017, 16260, 5359, 2809, 20, 44, NA, 856963,  N*
4, 19.9, 70413, 30298, 7371, 19632, 15263, 8738, 9315, 4771, 30, 13, NA, 165801,  N*
5, 20.9, 1583814, 1274464, 172843, 37810, 28105, 13392, 12478, 2862, 14, 20, NA, 3125768,  N*
6, 22.9, 1560600, 986170, 23050, 21392, 11881, 13187, 16736, 2878, 7, 17, NA, 2635894,  N*
7, 23.9, 127980, 29278, 5364, 8617, 4429, 3380, 2719, 448, 29, 4, NA, 182215,  N*
8, 25.9, 419152, 40149, 2293, 20778, 6615, 17433, 6893, 4338, 64, 27, NA, 517651,  N*
9, 26.9, 170216, 132703, 7291, 21790, 19703, 6596, 12085, 7117, 69, 57, NA, 377501,  N*
10, 28.9, 135270, 67677, 2287, 1472, 2615, 1374, 1082, 767, 54, 37, NA, 212544,  N*
11, 29.9, 70232, 16416, 1842, 1336, 2494, 4625, 2936, 1509, 41, 11, NA, 101390,  N*
12, 34.9, 1087710, 151755, 12137, 5867, 13142, 6332, 9041, 9831, 40, 4, NA, 1295815,  N*
13, 37.9, 1345740, 302142, 14413, 59741, 5835, 8914, 8586, 1623, 48, 35, NA, 1746994,  N*
14, 39.9, 38466, 24189, 22701, 12691, 20398, 11261, 13034, 6111, 47, 83, NA, 148851,  N*
15, 40.8, 212603, 75293, 46317, 10624, 18528, 24428, 11681, 5425, 80, 90, NA, 404899,  N*
16, 42.8, 1181863, 90942, 7781, 60478, 12476, 17924, 4059, 5471, 87, 80, NA, 1380994,  N*
17, 43.8, 488275, 50028, 10487, 1864, 5063, 7349, 4959, 1916, 81, 66, NA, 569941,  N*
18, 45.8, 391581, 258340, 29095, 21089, 12619, 24391, 20166, 8888, 69, 53, NA, 766169,  N*
19, 46.8, 594924, 45590, 3086, 6903, 9129, 38989, 22522, 7362, 96, 34, NA, 728505,  N*
20, 48.8, 83220, 22950, 15759, 11912, 9524, 20030, 15093, 11354, 100, 44, NA, 189842,  N*
21, 49.8, 17257, 11670, 36150, 2011, 10387, 16635, 8188, 2234, 100, 64, NA, 104532,  N*
22, 51.8, 459735, 24792, 17558, 3487, 31391, 28011, 16308, 10013, 100, 74, NA, 591295,  N*
23, 52.8, 73128, 14031, 12033, 9256, 2090, 9959, 9515, 10466, 100, 74, NA, 140478,  N*
24, 54.8, 337896, 33641, 3953, 7511, 4590, 3669, 4264, 835, 96, 57, NA, 396359,  N*
25, 57.8, 42828, 42145, 414, 8914, 16491, 14458, 15087, 5591, 84, 50, NA, 145928,  N*
26, 59.8, 52914, 23404, 13560, 5070, 8924, 3651, 3446, 1084, 94, 64, NA, 112053,  N*
27, 60.8, 13619, 27433, 6325, 10379, 3003, 11009, 16550, 5546, 78, 63, NA, 93864,  N
28, 62.8, 229879, 108220, 42894, 25500, 33116, 41039, 34317, 11929, 69, 66, NA, 526894,  N
29, 63.8, 180032, 14210, 11179, 23829, 8854, 13853, 12153, 5378, 88, 67, NA, 269488,  N
30, 65.7, 102104, 7646, 760, 1239, 1988, 1858, 1268, 645, 87, 57, NA, 117508,  N
31, 66.7, 323351, 22187, 27281, 23477, 12950, 17912, 9406, 7719, 97, 75, NA, 444283,  N
32, 68.7, 270084, 6026, 2189, 510, 856, 1732, 810, 207, 94, 63, NA, 282414,  N
33, 69.7, 62464, 16372, 7998, 21711, 12747, 21201, 15005, 10561, 93, 75, NA, 168059,  N
34, 71.7, 45040, 27779, 21927, 7059, 15626, 13993, 8693, 5483, 93, 66, NA, 145600,  N
35, 72.7, 144397, 20095, 984, 1611, 1564, 2277, 2009, 947, 87, 67, NA, 173884,  N
36, 74.7, 497616, 57640, 24015, 21669, 32440, 48384, 7801, 5796, 88, 61, NA, 695361,  N
37, 77.7, 27309, 12662, 8970, 5872, 3765, 5539, 2558, 2506, 77, 66, NA, 69181,  N
38, 79.7, 179289, 57774, 8152, 6233, 3377, 5703, 2997, 971, 81, 66, NA, 264496,  N
39, 80.7, 70476, 102492, 5338, 52748, 23194, 7745, 6232, 4356, 53, 38, NA, 272581,  N
40, 82.7, 35331, 71825, 13211, 1416, 4472, 11132, 3344, 2778, 48, 34, NA, 143509,  N
41, 83.7, 207016, 80364, 42803, 16669, 7479, 14444, 12458, 5811, 69, 61, NA, 387044,  N
42, 85.7, 6347, 10870, 6857, 3523, 9913, 14585, 6459, 1489, 96, 57, NA, 60043,  N
43, 86.7, 5537, 11494, 29230, 2627, 2809, 11228, 3942, 2748, 100, 70, NA, 69615,  N
44, 88.7, 35621, 12078, 10830, 10284, 7614, 22076, 28319, 2986, 100, 67, NA, 129808,  N
45, 89.7, 71732, 61424, 10056, 18019, 8622, 16190, 9350, 3520, 94, 78, NA, 198913,  N
46, 91.7, 146172, 8289, 403, 1020, 1197, 856, 439, 415, 84, 53, NA, 158791,  N
47, 92.6, 1680669, 77224, 41783, 20622, 11047, 11163, 2564, 1762, 60, 56, NA, 1846834,  N
48, 94.6, 35329, 34992, 35975, 9814, 10026, 18369, 9054, 5861, 61, 64, NA, 159420,  N
49, 97.6, 85826, 27508, 20134, 25027, 9787, 4308, 9021, 2322, 53, 100, NA, 183933,  N
50, 99.6, 20033, 41852, 8686, 10870, 17880, 12218, 8124, 8455, 88, 51, NA, 128118,  N
51, 100.6, 669766, 277084, 220609, 66546, 17937, 28715, 15031, 15211, 70, 63, NA, 1310899,  N
52, 102.6, 69879, 58886, 11453, 13670, 20499, 30220, 37180, 5694, 61, 64, NA, 247481,  N
53, 103.6, 17243, 12871, 4264, 14758, 14823, 16746, 8603, 7207, 84, 70, NA, 96515,  N
54, 105.6, 38712, 20237, 1781, 2377, 7291, 18414, 12303, 5828, 100, 47, NA, 106943,  N
