obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 31827, 48242, 29388, 8828, 10629, 6644, 7865, 9144, NA, NA, NA, 152567,  A*
2, 5.9, 443259, 234603, 17323, 39845, 51248, 24305, 24433, 12054, NA, NA, NA, 847070,  A*
3, 7.0, 58788, 32856, 10267, 10788, 17092, 24845, 10069, 12975, 53, 38, NA, 177680,  A*
4, 8.9, 97222, 38025, 6511, 5779, 5716, 5292, 5479, 1042, 50, 38, NA, 165066,  A*
5, 10.0, 573931, 110391, 17862, 15749, 16123, 10596, 12619, 10405, 37, 17, NA, 767676,  A*
6, 11.9, 1804889, 146957, 71724, 32577, 18684, 10074, 21227, 9467, 7, 34, NA, 2115599,  A*
7, 12.9, 2394231, 308613, 41552, 24919, 3585, 14015, 32895, 4257, 1, 48, NA, 2824067,  A*
8, 14.9, 1252408, 55049, 39412, 3195, 8474, 3532, 3393, 3677, 1, 63, NA, 1369140,  A*
9, 17.9, 475104, 150531, 7271, 22025, 29866, 10149, 24697, 6728, 1, 29, NA, 726371,  A*
10, 19.9, 109707, 18845, 1325, 3105, 5383, 4180, 4043, 2172, 1, 1, NA, 148760,  A*
11, 20.9, 15830, 13403, 2064, 13136, 9778, 8354, 21275, 8882, 48, 37, NA, 92722,  A*
12, 22.9, 14770, 24044, 10393, 12469, 15075, 17222, 17984, 7595, 77, 56, NA, 119552,  A*
13, 23.9, 38048, 66933, 7552, 8363, 11503, 13482, 13189, 7191, 60, 63, NA, 166261,  A*
14, 25.9, 180563, 12830, 6191, 6037, 4109, 3740, 2392, 2117, 51, 64, NA, 217979,  A*
15, 26.9, 362848, 25903, 13912, 16743, 14253, 9920, 10004, 3376, 44, 61, NA, 456959,  A*
16, 28.9, 240276, 191310, 4872, 43352, 34982, 22850, 12152, 4384, 38, 61, NA, 554178,  A*
17, 29.9, 28040, 33399, 10582, 11787, 6690, 10937, 20527, 8768, 27, 66, NA, 130730,  A*
18, 31.8, 35572, 42979, 7649, 16139, 8345, 8124, 8953, 4494, 23, 60, NA, 132255,  A*
19, 32.8, 86515, 94509, 24464, 27348, 20976, 5391, 14397, 6590, 40, 53, NA, 280190,  A*
20, 34.8, 50288, 122303, 27726, 21492, 27415, 17383, 6506, 7565, 30, 48, NA, 280678,  A*
21, 37.8, 32665, 9423, 5256, 5081, 2911, 4388, 2201, 3106, 14, 56, NA, 65031,  A*
22, 39.8, 67027, 67848, 14577, 22468, 8161, 21155, 10817, 3633, 69, 61, NA, 215686,  A*
23, 40.8, 155113, 84900, 76712, 18729, 26733, 14237, 7223, 6429, 47, 75, NA, 390076,  A*
24, 42.8, 524997, 144912, 38171, 9936, 10741, 13130, 13691, 4985, 29, 80, NA, 760563,  A*
25, 43.8, 91160, 12495, 7267, 5264, 8913, 14241, 31111, 2395, 34, 66, NA, 172846,  A*
26, 45.8, 1055693, 662249, 103118, 88287, 41221, 83704, 26692, 13532, 37, 48, NA, 2074496,  A*
27, 46.8, 505638, 13717, 8038, 4603, 3328, 5684, 4937, 1961, 56, 56, NA, 547906,  A*
28, 48.8, 259390, 32496, 8749, 11848, 2652, 5867, 3893, 1574, 37, 63, NA, 326469,  A*
29, 49.8, 35220, 75934, 6564, 11183, 34296, 18024, 17830, 3343, 50, 67, NA, 202394,  A*
30, 51.8, 564467, 89777, 12614, 25208, 6049, 20910, 36235, 6559, 44, 60, NA, 761819,  A*
31, 52.8, 109123, 8044, 3877, 1218, 2600, 3513, 4596, 1569, 53, 37, NA, 134540,  A*
32, 54.8, 463353, 118568, 8320, 4683, 6812, 6099, 8602, 3312, 34, 29, NA, 619749,  A*
33, 57.7, 1008331, 61079, 10181, 14841, 14500, 31950, 36144, 5398, 40, 24, NA, 1182424,  A*
34, 59.7, 607308, 57122, 18183, 9870, 9864, 21386, 22452, 6157, 35, 41, NA, 752342,  A*
35, 60.7, 150385, 86474, 32758, 14375, 12224, 19423, 30731, 8436, 30, 54, NA, 354806,  A
36, 62.7, 328461, 21172, 2131, 4979, 1099, 4057, 9007, 1605, 48, 50, NA, 372511,  A
37, 63.7, 221586, 22702, 9966, 10945, 14185, 38973, 27798, 13930, 64, 48, NA, 360085,  A
38, 65.7, 1075769, 84061, 61342, 12237, 21869, 26101, 20111, 10791, 66, 53, NA, 1312281,  A
39, 66.7, 371813, 219622, 11803, 17918, 14189, 23032, 31953, 19636, 47, 21, NA, 709966,  A
40, 68.7, 2027404, 116481, 4241, 37424, 34372, 29606, 98167, 18378, 27, 20, NA, 2366073,  A
41, 69.7, 249214, 4736, 3458, 2847, 2711, 1411, 1303, 1675, 17, 40, NA, 267355,  A
42, 71.7, 561062, 101593, 26195, 22672, 11057, 10973, 14731, 9047, 14, 57, NA, 757330,  A
43, 72.7, 2057273, 492399, 28964, 30262, 30762, 39921, 34977, 14328, 10, 69, NA, 2728886,  A
44, 74.7, 71439, 84379, 17332, 6171, 8814, 5737, 4184, 2420, 1, 50, NA, 200476,  A
45, 77.7, 711588, 31362, 4105, 3335, 1121, 7604, 7479, 3890, 20, 11, NA, 770484,  A
46, 79.7, 487586, 96014, 48712, 25845, 76117, 22391, 17418, 13668, 17, 41, NA, 787751,  A
47, 80.7, 764844, 122932, 19638, 15223, 13761, 8264, 10618, 3197, 8, 51, NA, 958477,  A
48, 82.7, 763584, 27720, 67064, 9415, 20434, 19484, 46222, 5566, 20, 88, NA, 959489,  A
49, 83.6, 629225, 64142, 17361, 11434, 10059, 7434, 16105, 4240, 21, 63, NA, 760000,  A
50, 85.6, 240734, 14037, 34700, 9038, 4358, 6158, 9055, 4388, 27, 88, NA, 322468,  A
51, 86.6, 73602, 28565, 10999, 8394, 2136, 6172, 14099, 2811, 29, 87, NA, 146778,  A
52, 88.6, 365401, 113195, 2370, 30508, 19172, 31009, 100075, 17945, 43, 77, NA, 679675,  A
53, 89.7, 419577, 27287, 5514, 9375, 2301, 6586, 6177, 1493, 44, 54, NA, 478310,  A
54, 91.6, 270626, 47582, 5611, 8399, 9185, 5123, 6775, 3617, 40, 43, NA, 356918,  A
55, 92.6, 18512, 9334, 4431, 12307, 4687, 23698, 15940, 6169, 43, 40, NA, 95078,  A
56, 94.6, 936552, 640131, 29408, 79323, 28775, 20857, 35701, 8258, 23, 27, NA, 1779005,  A
57, 97.6, 532868, 174865, 76931, 659, 6676, 8697, 18980, 3990, 11, 29, NA, 823666,  A
58, 99.6, 320150, 38135, 3420, 19000, 3463, 8667, 5744, 1900, 1, 57, NA, 400479,  A
