obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 3621023, 603681, 125718, 76465, 86303, 36314, 8690, 22467, NA, NA, NA, 4580661,  A*
2, 6.0, 125082, 9482, 770, 3766, 4660, 1612, 1605, 775, NA, NA, NA, 147752,  A*
3, 7.0, 939181, 90393, 11937, 19526, 21347, 15901, 9288, 4733, 53, 30, NA, 1112306,  A*
4, 11.9, 1042946, 583232, 60155, 35801, 23869, 25001, 15613, 6107, 41, 13, NA, 1792724,  A*
5, 12.9, 731970, 171757, 34914, 30336, 40628, 30970, 10443, 2811, 54, 24, NA, 1053829,  A*
6, 14.9, 731185, 616725, 153288, 147216, 32694, 75590, 9652, 6343, 47, 56, NA, 1772693,  A*
7, 19.9, 1135623, 42433, 41152, 32543, 15305, 15826, 2976, 1981, 74, 97, NA, 1287839,  A*
8, 26.9, 107427, 58025, 23698, 10257, 31215, 11308, 2364, 3215, 57, 97, NA, 247509,  A*
9, 28.9, 779238, 218805, 67970, 19216, 9119, 7004, 6124, 2981, 34, 75, NA, 1110457,  A*
10, 29.9, 231411, 206107, 27832, 28057, 8723, 10045, 11433, 3291, 10, 44, NA, 526899,  A*
11, 31.9, 1364175, 71535, 75907, 31576, 27086, 9341, 3908, 2517, 24, 56, NA, 1586045,  A*
12, 32.8, 381604, 17045, 6154, 8475, 11205, 11229, 13945, 6270, 44, 57, NA, 455927,  A*
13, 37.9, 35535, 64919, 14818, 1101, 10086, 13081, 25584, 8216, 66, 53, NA, 173340,  A*
14, 39.8, 857031, 23934, 2048, 7085, 2148, 1602, 1297, 181, 3, 38, NA, 895326,  A*
15, 42.8, 1389771, 36898, 78438, 18525, 23587, 11810, 5277, 2081, 24, 69, NA, 1566387,  A*
16, 43.8, 2436304, 143871, 17415, 21152, 6941, 5214, 15866, 5928, 24, 61, NA, 2652691,  A*
17, 45.8, 1265350, 104827, 18402, 9066, 15959, 35961, 26258, 5182, 53, 48, NA, 1481005,  A*
18, 46.8, 845284, 12178, 16766, 1560, 3615, 4583, 2375, 2720, 63, 37, NA, 889081,  A*
19, 49.8, 192517, 101624, 37165, 6432, 5433, 6950, 8021, 5243, 70, 44, NA, 363385,  A*
20, 51.8, 1612245, 766716, 108694, 18956, 33876, 64575, 16360, 10745, 47, 54, NA, 2632167,  A*
21, 52.8, 862281, 38326, 6967, 10586, 640, 2932, 4928, 2229, 21, 24, NA, 928889,  A*
22, 54.8, 283555, 5692, 1951, 1122, 133, 522, 377, 170, 21, 21, NA, 293522,  A*
23, 57.8, 246399, 22673, 8786, 4069, 3132, 11110, 6630, 1420, 74, 37, NA, 304219,  A*
24, 59.7, 275636, 156812, 17710, 59084, 18613, 6679, 15156, 18727, 50, 84, NA, 568417,  A*
25, 60.7, 1157748, 31630, 21796, 2399, 6305, 6329, 5564, 5116, 47, 67, NA, 1236887,  A
26, 62.7, 1118580, 48015, 2426, 16757, 12464, 26914, 27563, 48776, 64, 57, NA, 1301495,  A
27, 63.7, 172187, 17275, 2298, 2647, 1417, 548, 323, 308, 56, 60, NA, 197003,  A
28, 65.7, 1778733, 93736, 55588, 23345, 8753, 56141, 24059, 12242, 70, 57, NA, 2052597,  A
29, 66.7, 122296, 18755, 24978, 12835, 12424, 16964, 13422, 11889, 81, 74, NA, 233563,  A
30, 68.7, 139168, 32927, 1090, 1252, 4588, 2228, 945, 527, 94, 54, NA, 182725,  A
31, 69.7, 599022, 53608, 24551, 18770, 13698, 15454, 27131, 5506, 74, 57, NA, 757740,  A
32, 72.7, 237494, 82908, 21599, 11135, 18044, 34746, 17466, 3936, 70, 40, NA, 427328,  A
33, 74.7, 775411, 27952, 6817, 6518, 3424, 3072, 2462, 816, 96, 70, NA, 826472,  A
34, 77.7, 87102, 11136, 20382, 18282, 8203, 6510, 20692, 26743, 78, 83, NA, 199050,  A
35, 79.7, 2237495, 437822, 71549, 37020, 23246, 42102, 25715, 27205, 24, 61, NA, 2902154,  A
36, 80.7, 847125, 257905, 57778, 64624, 35739, 30260, 21990, 38272, 21, 43, NA, 1353693,  A
37, 82.7, 290786, 21256, 6342, 6148, 3600, 2817, 710, 1316, 34, 51, NA, 332975,  A
38, 83.7, 581922, 175523, 16503, 8590, 14237, 6159, 11829, 5203, 21, 43, NA, 819966,  A
39, 85.7, 278201, 56277, 4291, 6096, 7335, 10286, 8183, 4317, 29, 29, NA, 374986,  A
40, 86.7, 669466, 62537, 2951, 734, 1262, 4229, 7423, 3552, 47, 10, NA, 752154,  A
41, 88.6, 25366, 79097, 42296, 15183, 6795, 38391, 42842, 6730, 80, 24, NA, 256700,  A
42, 89.7, 1462367, 44658, 30653, 7776, 3137, 2561, 2529, 1593, 34, 47, NA, 1555274,  A
43, 91.6, 1883606, 264987, 51269, 19747, 26208, 24134, 71653, 7541, 34, 64, NA, 2349145,  A
44, 92.6, 1683972, 231775, 55650, 65521, 22429, 27363, 18201, 2786, 21, 66, NA, 2107697,  A
45, 92.6, 212694, 40358, 12158, 10020, 3505, 3200, 4795, 723, 27, 60, NA, 287453,  A
