obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 417010, 356575, 61890, 11183, 10463, 21812, 10514, 4631, NA, NA, NA, 894078,  T*
2, 6.9, 510353, 20116, 6321, 7323, 3626, 7708, 562, 488, NA, NA, NA, 556497,  T*
3, 8.9, 705672, 102438, 3882, 7653, 9673, 3806, 3510, 1064, 34, 30, NA, 837698,  T*
4, 9.9, 48103, 34430, 1747, 3295, 11234, 4937, 3387, 2301, 38, 43, NA, 109434,  T*
5, 11.9, 156646, 42212, 12751, 5106, 6655, 4501, 860, 722, 41, 53, NA, 229453,  T*
6, 13.0, 58400, 1750, 379, 2160, 417, 495, 530, 244, 53, 78, NA, 64375,  T*
7, 14.9, 209430, 2415, 1962, 2190, 1095, 483, 298, 117, 48, 100, NA, 217990,  T*
8, 19.9, 542097, 3512, 2643, 686, 2242, 891, 287, 75, 70, 100, NA, 552433,  T*
9, 20.9, 1196902, 119391, 7632, 35924, 12043, 5900, 5766, 1259, 61, 91, NA, 1384817,  T*
10, 22.9, 1298780, 47068, 23794, 6590, 3463, 8194, 5267, 4427, 60, 90, NA, 1397583,  T*
11, 23.9, 635990, 154616, 26863, 9385, 9192, 10144, 8648, 2291, 40, 51, NA, 857129,  T*
12, 25.9, 34407, 13535, 4524, 5427, 2290, 2949, 1591, 577, 53, 60, NA, 65300,  T*
13, 26.9, 334495, 248177, 90237, 111830, 17703, 20639, 12635, 3294, 38, 69, NA, 839010,  T*
14, 28.9, 231876, 54881, 5347, 9279, 7417, 6181, 4096, 801, 43, 69, NA, 319878,  T*
15, 29.9, 94959, 52432, 7904, 10807, 6302, 13793, 10531, 1951, 57, 75, NA, 198679,  T*
16, 31.9, 14527, 84903, 33211, 20678, 17655, 9530, 3056, 3747, 61, 69, NA, 187307,  T*
17, 32.8, 72929, 135148, 24648, 24715, 12938, 6197, 4073, 2842, 61, 70, NA, 283490,  T*
18, 34.8, 30301, 69073, 27146, 2137, 17961, 3922, 4925, 1113, 47, 74, NA, 156578,  T*
19, 37.8, 186749, 111164, 22301, 12242, 8375, 7251, 4818, 2442, 29, 78, NA, 355342,  T*
20, 39.8, 129156, 66306, 21529, 30376, 33607, 4306, 2949, 4185, 30, 56, NA, 292414,  T*
21, 40.8, 64089, 33959, 41883, 16165, 4751, 7615, 2408, 3155, 53, 97, NA, 174025,  T*
22, 42.8, 325997, 70086, 5705, 25368, 8890, 4506, 10675, 2175, 50, 100, NA, 453402,  T*
23, 43.8, 109577, 83054, 12413, 2546, 4328, 3835, 1482, 383, 41, 77, NA, 217618,  T*
24, 45.8, 246046, 215615, 11420, 12316, 15512, 5189, 4602, 2106, 27, 43, NA, 512806,  T*
25, 46.8, 319775, 90234, 9429, 10556, 12800, 7448, 2573, 2172, 29, 30, NA, 454987,  T*
26, 48.8, 63594, 18083, 20736, 4555, 2181, 4117, 5662, 1864, 38, 54, NA, 120792,  T*
27, 49.8, 96216, 94882, 35061, 5417, 10110, 5410, 2517, 3546, 44, 63, NA, 253159,  T*
28, 51.8, 128623, 26610, 11874, 25386, 13222, 9875, 3392, 1387, 51, 81, NA, 220369,  T*
29, 52.8, 1313890, 271007, 64667, 20095, 12274, 18022, 17969, 2492, 30, 63, NA, 1720416,  T*
30, 54.8, 731914, 48984, 11431, 7745, 7077, 2867, 6028, 1661, 30, 61, NA, 817707,  T*
31, 57.8, 107342, 28552, 4841, 5397, 4368, 10343, 6218, 6169, 50, 53, NA, 173230,  T*
32, 59.7, 20771, 20361, 26903, 11323, 7820, 3189, 5222, 1966, 64, 77, NA, 97555,  T*
33, 60.7, 47914, 23550, 17945, 6323, 22724, 7295, 3891, 4580, 67, 81, NA, 134222,  T
34, 62.7, 68007, 68811, 8283, 12707, 8387, 12095, 4400, 2757, 70, 74, NA, 185447,  T
35, 63.7, 51629, 21795, 12104, 19635, 6740, 14050, 6691, 3547, 88, 78, NA, 136191,  T
36, 65.7, 24555, 22036, 7498, 10640, 8653, 7809, 1712, 4230, 90, 80, NA, 87133,  T
37, 66.7, 208332, 57424, 13596, 12377, 34892, 8105, 7960, 4430, 87, 74, NA, 347116,  T
38, 68.7, 50555, 32435, 38983, 8177, 19566, 5557, 5301, 1241, 74, 74, NA, 161815,  T
39, 69.7, 94390, 92960, 11993, 9833, 7935, 7225, 4592, 1023, 43, 60, NA, 229951,  T
40, 71.7, 56624, 42941, 1844, 2212, 1994, 1863, 1810, 702, 35, 47, NA, 109990,  T
41, 72.7, 72101, 46104, 341, 3603, 7216, 5482, 4115, 1579, 53, 13, NA, 140541,  T
42, 74.7, 131495, 26288, 4248, 1078, 2976, 3598, 1236, 2128, 57, 10, NA, 173047,  T
43, 77.7, 24657, 45043, 27310, 17976, 8002, 16376, 5710, 3650, 67, 38, NA, 148724,  T
44, 79.7, 618450, 43362, 37170, 16239, 10769, 11144, 10615, 2387, 75, 100, NA, 750136,  T
45, 80.7, 13259, 112824, 4984, 15670, 7790, 11023, 4983, 1832, 64, 91, NA, 172365,  T
46, 82.7, 88981, 47855, 10799, 29122, 12064, 10000, 4870, 4719, 61, 83, NA, 208410,  T
47, 83.7, 58959, 67971, 18472, 8496, 4729, 5173, 6871, 2803, 48, 47, NA, 173474,  T
48, 85.7, 7993, 40340, 12212, 27132, 7139, 9927, 5013, 2157, 51, 64, NA, 111913,  T
49, 86.7, 217211, 41874, 20280, 3512, 10018, 1205, 1416, 941, 29, 74, NA, 296457,  T
50, 88.6, 17757, 86168, 12608, 4274, 9253, 10147, 5760, 1878, 34, 63, NA, 147845,  T
51, 89.6, 41788, 96595, 8134, 17353, 15796, 8722, 3454, 3570, 40, 54, NA, 195412,  T
52, 91.6, 20997, 46532, 4189, 14678, 1415, 8307, 1649, 3411, 61, 51, NA, 101178,  T
53, 92.6, 63209, 31532, 10373, 8965, 8436, 11707, 3751, 1143, 64, 63, NA, 139116,  T
54, 94.6, 91588, 32676, 13884, 9005, 13096, 13355, 6143, 1693, 77, 70, NA, 181440,  T
55, 97.6, 96335, 125165, 23869, 18608, 5173, 7939, 4294, 2132, 66, 44, NA, 283515,  T
56, 99.6, 292428, 84359, 45474, 64297, 59657, 10281, 5489, 3645, 50, 78, NA, 565630,  T
57, 103.6, 490765, 210779, 152731, 236023, 52842, 108148, 25736, 2685, 51, 77, NA, 1279709,  T
58, 105.6, 63506, 6738, 5015, 11325, 11412, 7567, 4358, 2881, 61, 81, NA, 112802,  T
59, 106.6, 137077, 85675, 29144, 31765, 16784, 9831, 3404, 2711, 67, 100, NA, 316391,  T
60, 108.6, 79558, 46817, 38099, 3414, 3827, 11714, 1574, 3333, 66, 94, NA, 188336,  T
61, 109.6, 98863, 183424, 12093, 11081, 5122, 10219, 4464, 5158, 41, 69, NA, 330424,  T
62, 111.5, 122696, 21709, 11398, 6448, 19611, 13017, 4421, 1844, 57, 63, NA, 201144,  T
63, 112.5, 16099, 60423, 14047, 6351, 6519, 18778, 6621, 4048, 69, 56, NA, 132886,  T
64, 114.6, 84620, 45636, 7770, 16168, 5582, 13489, 3763, 4385, 83, 69, NA, 181413,  T
65, 117.5, 79431, 9920, 3005, 13699, 6569, 6049, 1278, 520, 88, 69, NA, 120471,  T
66, 119.5, 177801, 77059, 14074, 2258, 8599, 17956, 4989, 1903, 66, 61, NA, 304639,  T
67, 120.5, 242123, 170427, 15251, 3247, 8752, 13669, 13637, 3947, 48, 27, NA, 471053,  T
68, 122.5, 481116, 138301, 23485, 18901, 13333, 12043, 7412, 3088, 50, 37, NA, 697679,  T
69, 123.5, 149752, 35157, 49232, 23522, 11456, 10361, 6198, 2331, 41, 50, NA, 288009,  T
70, 125.5, 58835, 56288, 9963, 5927, 6257, 12573, 9136, 2685, 50, 60, NA, 161664,  T
71, 126.5, 263007, 80499, 58407, 39161, 20577, 14093, 12158, 2946, 61, 78, NA, 490848,  T
72, 128.5, 65403, 53296, 7312, 10156, 7884, 8160, 10252, 3059, 63, 57, NA, 165522,  T
73, 129.5, 18434, 17140, 7976, 5294, 5939, 21283, 7182, 2008, 91, 64, NA, 85256,  T
74, 131.5, 112067, 23250, 1608, 5717, 8275, 17756, 5018, 1173, 100, 44, NA, 174864,  T
75, 132.5, 21863, 17708, 19078, 3785, 10604, 10759, 8540, 5938, 100, 57, NA, 98275,  T
76, 134.5, 277661, 193179, 15817, 23174, 27836, 19773, 7514, 4761, 91, 50, NA, 569715,  T
77, 137.4, 3178747, 109067, 21526, 35656, 34427, 25009, 5086, 2867, 63, 40, NA, 3412385,  T
78, 139.4, 1030820, 139341, 56033, 12512, 28475, 19283, 7299, 6178, 53, 77, NA, 1299941,  T
79, 139.4, 176098, 74883, 29734, 23702, 10582, 5620, 2688, 1330, 44, 93, NA, 324637,  T
