obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 34381, 13712, 6983, 622, 2072, 2258, 1265, 575, NA, NA, NA, 61868,  T*
2, 7.0, 642134, 116073, 50816, 14735, 21664, 16318, 10144, 5006, NA, NA, NA, 876890,  T*
3, 9.0, 140648, 49238, 42757, 13348, 7799, 11356, 6472, 2882, 35, 53, NA, 274500,  T*
4, 10.0, 1405973, 254953, 47050, 145228, 40723, 23936, 28995, 16014, 23, 74, NA, 1962872,  T*
5, 11.9, 916220, 56149, 23258, 39237, 15063, 12861, 34897, 5496, 16, 88, NA, 1103181,  T*
6, 13.0, 121354, 17153, 2892, 1203, 3136, 1196, 970, 135, 1, 69, NA, 148039,  T*
7, 14.9, 69312, 8183, 6336, 3700, 3239, 1817, 2099, 993, 8, 74, NA, 95679,  T*
8, 17.9, 360825, 87708, 18550, 23886, 7326, 3481, 4497, 945, 4, 54, NA, 507218,  T*
9, 19.9, 75632, 13837, 2857, 1267, 702, 518, 880, 287, 1, 40, NA, 95980,  T*
10, 20.9, 7759, 28546, 4757, 6212, 9336, 7352, 10308, 3062, 23, 29, NA, 77332,  T*
11, 22.9, 4901, 7586, 12494, 11325, 10825, 20368, 7837, 5616, 41, 30, NA, 80952,  T*
12, 23.9, 16135, 17522, 15769, 3940, 2514, 5577, 7426, 3030, 57, 50, NA, 71913,  T*
13, 25.9, 17802, 25998, 9594, 11477, 4783, 8812, 1341, 2466, 57, 61, NA, 82273,  T*
14, 26.9, 47518, 27977, 13536, 3242, 2161, 3694, 1600, 473, 64, 78, NA, 100201,  T*
15, 28.9, 53287, 10098, 3592, 19755, 9457, 11915, 11279, 2355, 74, 77, NA, 121738,  T*
16, 29.9, 52961, 30328, 16894, 11845, 3519, 1333, 2592, 561, 38, 83, NA, 120033,  T*
17, 31.9, 34801, 6439, 3424, 5152, 7351, 8778, 5552, 4521, 60, 80, NA, 76018,  T*
18, 32.9, 458281, 319618, 44219, 41151, 10007, 12362, 7117, 5261, 38, 57, NA, 898016,  T*
19, 34.9, 11951, 14649, 6723, 5226, 8118, 7131, 7469, 1578, 64, 48, NA, 62845,  T*
20, 37.9, 1408972, 139507, 45006, 28827, 39393, 21515, 4478, 5034, 38, 43, NA, 1692732,  T*
21, 39.8, 148528, 9731, 1244, 1103, 911, 700, 528, 360, 23, 60, NA, 163105,  T*
22, 40.9, 158329, 14165, 7838, 4578, 4945, 1098, 970, 1296, 27, 70, NA, 193219,  T*
