obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 566577, 102469, 75144, 57111, 28282, 12303, 15231, 7475, NA, NA, NA, 864592,  A*
2, 7.0, 27858, 44467, 5484, 7091, 10966, 13758, 8048, 1907, NA, NA, NA, 119579,  A*
3, 8.9, 1302461, 345084, 67064, 184190, 213291, 154968, 20920, 12801, 51, 40, NA, 2300779,  A*
4, 10.0, 78083, 195039, 33113, 6177, 7877, 9296, 6167, 4537, 44, 27, NA, 340289,  A*
5, 11.9, 1268986, 72695, 6707, 10998, 9926, 7432, 2399, 852, 43, 23, NA, 1379995,  A*
6, 12.9, 793904, 324688, 39840, 13735, 7664, 8203, 7729, 2702, 1, 13, NA, 1198465,  A*
7, 14.9, 1667772, 452570, 25000, 89964, 31540, 23249, 15902, 9909, 1, 14, NA, 2315906,  A*
8, 17.9, 620654, 446281, 61075, 89533, 133581, 98906, 29144, 15327, 8, 29, NA, 1494501,  A*
9, 19.9, 370607, 34720, 9986, 15551, 9941, 2537, 2858, 686, 35, 23, NA, 446886,  A*
10, 20.9, 20779, 45831, 16249, 3844, 7840, 5173, 1932, 645, 24, 24, NA, 102293,  A*
11, 22.9, 1570433, 285733, 155844, 9604, 53444, 43219, 19740, 3577, 26, 47, NA, 2141594,  A*
12, 23.9, 218078, 10331, 3761, 4649, 9962, 3182, 2290, 423, 44, 51, NA, 252676,  A*
13, 26.9, 1660192, 309318, 122093, 56963, 35632, 21326, 22901, 11533, 38, 56, NA, 2239958,  A*
14, 28.9, 99720, 23113, 12535, 3395, 2454, 1261, 1099, 1049, 20, 38, NA, 144626,  A*
15, 29.9, 681336, 24177, 13890, 14543, 24122, 15242, 4228, 609, 29, 21, NA, 778147,  A*
16, 31.9, 569309, 39689, 2475, 9385, 6109, 3475, 788, 535, 26, 29, NA, 631765,  A*
17, 32.9, 1186551, 199983, 81595, 46171, 58692, 23483, 9699, 5569, 30, 30, NA, 1611743,  A*
18, 34.8, 443765, 5546, 1992, 2242, 2596, 2078, 896, 153, 27, 30, NA, 459268,  A*
19, 37.8, 1145382, 64719, 41247, 3618, 32678, 15307, 3914, 4905, 61, 43, NA, 1311770,  A*
20, 39.9, 41877, 27050, 13678, 6425, 3775, 9191, 4151, 4154, 56, 40, NA, 110301,  A*
21, 40.8, 105861, 9290, 239, 2582, 1901, 5075, 1322, 527, 87, 38, NA, 126797,  A*
22, 42.8, 338478, 115923, 15747, 19257, 22590, 9346, 12592, 3197, 75, 37, NA, 537130,  A*
23, 43.8, 50608, 41606, 5707, 10162, 15864, 12266, 7140, 4275, 61, 20, NA, 147628,  A*
24, 45.8, 62973, 115974, 30036, 8969, 9750, 15817, 5039, 1908, 43, 24, NA, 250466,  A*
25, 46.8, 53700, 10364, 25830, 9652, 28629, 10566, 11190, 2741, 67, 50, NA, 152672,  A*
26, 48.8, 37373, 12835, 6664, 15572, 7891, 8777, 5831, 2682, 70, 63, NA, 97625,  A*
27, 49.8, 11456, 43033, 6743, 17882, 16953, 9840, 5053, 1828, 69, 69, NA, 112788,  A*
28, 51.8, 15836, 13292, 16406, 8621, 4492, 5401, 2447, 1191, 63, 77, NA, 67686,  A*
29, 52.8, 59268, 31075, 15961, 15313, 4654, 11793, 6695, 2779, 48, 81, NA, 147538,  A*
30, 54.8, 84152, 43503, 5124, 16259, 8298, 8346, 3658, 5066, 48, 81, NA, 174406,  A*
31, 57.8, 105037, 36229, 5781, 6705, 12112, 7876, 4719, 2468, 61, 60, NA, 180927,  A*
32, 59.7, 76516, 11070, 2036, 1022, 1094, 4641, 2255, 509, 74, 27, NA, 99143,  A*
33, 60.7, 2008182, 36383, 24683, 1639, 3112, 1727, 1354, 542, 54, 38, NA, 2077622,  A
34, 62.7, 1363153, 57120, 13459, 20780, 9476, 6817, 2585, 1620, 48, 48, NA, 1475010,  A
35, 63.8, 11943, 27507, 6459, 7683, 4906, 4552, 4790, 1422, 24, 74, NA, 69262,  A
36, 65.7, 113187, 198867, 67885, 27916, 11207, 11482, 3539, 4846, 30, 69, NA, 438929,  A
37, 66.8, 87505, 124694, 35265, 19305, 20147, 14983, 4845, 5933, 50, 40, NA, 312677,  A
38, 68.7, 84145, 32766, 12991, 13029, 5091, 4828, 6094, 2943, 44, 47, NA, 161887,  A
39, 69.7, 81371, 12204, 9833, 10183, 3468, 4873, 3721, 5631, 47, 57, NA, 131284,  A
40, 71.7, 127790, 112397, 4647, 7449, 5290, 6684, 813, 1004, 40, 38, NA, 266074,  A
41, 72.7, 31207, 11609, 5273, 10428, 9582, 7988, 5117, 3661, 30, 43, NA, 84865,  A
42, 74.7, 9165, 12636, 6442, 11288, 4456, 10357, 3972, 1834, 43, 40, NA, 60150,  A
43, 77.7, 120239, 4425, 4489, 7504, 1123, 3411, 1859, 771, 91, 80, NA, 143821,  A
44, 79.7, 25835, 28104, 2506, 1284, 1587, 5125, 637, 491, 80, 53, NA, 65569,  A
45, 80.7, 23678, 51702, 10181, 8371, 7744, 6527, 9685, 3244, 57, 43, NA, 121132,  A
46, 82.7, 241080, 39114, 8570, 1343, 3040, 2217, 1171, 937, 41, 24, NA, 297472,  A
47, 83.7, 26615, 7860, 11764, 16519, 19669, 6606, 2575, 2922, 30, 30, NA, 94530,  A
48, 85.7, 117094, 6926, 3134, 10912, 4879, 1854, 2395, 462, 30, 50, NA, 147656,  A
49, 86.7, 16773, 43312, 11247, 11409, 6672, 17465, 6730, 5784, 74, 69, NA, 119392,  A
50, 88.6, 13829, 13546, 1466, 15815, 16234, 11366, 5170, 1768, 83, 61, NA, 79194,  A
51, 89.6, 34997, 6561, 8015, 13819, 7892, 5108, 3956, 6557, 84, 61, NA, 86905,  A
52, 91.6, 221950, 22743, 9579, 4662, 13929, 4307, 2584, 784, 75, 61, NA, 280538,  A
53, 92.6, 223268, 79958, 1713, 8555, 16133, 13415, 9198, 3227, 57, 63, NA, 355467,  A
54, 94.6, 55929, 15955, 10743, 3814, 3485, 14110, 4690, 2067, 69, 48, NA, 110793,  A
55, 97.6, 178275, 14247, 11892, 7839, 1848, 3344, 1889, 1152, 74, 38, NA, 220486,  A
56, 99.6, 156515, 11712, 491, 535, 5516, 3990, 1197, 312, 69, 40, NA, 180268,  A
57, 99.6, 98314, 15311, 6651, 1909, 3407, 4409, 3823, 1791, 74, 34, NA, 135615,  A
