obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 52823, 22590, 13721, 4498, 7346, 4252, 3328, 1553, NA, NA, NA, 110111,  M*
2, 7.0, 1298624, 729279, 99976, 19487, 57618, 38127, 12459, 6404, NA, NA, NA, 2261974,  M*
3, 9.0, 762104, 61852, 17544, 18279, 15029, 24998, 9765, 4457, 51, 47, NA, 914028,  M*
4, 9.9, 275320, 155706, 16594, 11841, 9068, 29152, 15228, 3159, 48, 48, NA, 516068,  M*
5, 11.9, 89984, 105228, 26833, 3303, 10860, 17388, 8002, 4544, 51, 44, NA, 266142,  M*
6, 12.9, 499402, 40571, 8621, 14944, 5323, 17370, 26440, 8188, 61, 35, NA, 620859,  M*
7, 14.9, 933020, 54121, 5579, 2957, 9563, 6162, 6512, 1511, 54, 30, NA, 1019425,  M*
8, 17.9, 70307, 45264, 14835, 2626, 7260, 6421, 5194, 2786, 54, 41, NA, 154693,  M*
9, 19.9, 82575, 80531, 9610, 8011, 7044, 3524, 6360, 3978, 40, 38, NA, 201633,  M*
10, 20.9, 97111, 20616, 19580, 7204, 8156, 8723, 4085, 6766, 38, 83, NA, 172241,  M*
11, 22.9, 93934, 16507, 1163, 6952, 11079, 3085, 3131, 2011, 30, 77, NA, 137862,  M*
12, 23.9, 1029311, 213374, 17290, 18259, 17172, 12635, 14464, 8976, 34, 50, NA, 1331481,  M*
13, 25.9, 732285, 114254, 28429, 14993, 22476, 7934, 11394, 6520, 17, 37, NA, 938285,  M*
14, 26.9, 197631, 37869, 3606, 5184, 9056, 1673, 1337, 845, 23, 41, NA, 257201,  M*
15, 28.9, 22821, 92975, 20708, 9204, 19053, 7005, 3623, 3669, 23, 50, NA, 179058,  M*
16, 29.9, 23300, 95991, 8013, 7704, 6268, 8665, 4753, 3373, 11, 24, NA, 158067,  M*
17, 31.9, 106170, 67175, 11212, 5004, 10783, 7487, 1818, 2278, 23, 24, NA, 211927,  M*
18, 32.9, 211131, 23327, 573, 5107, 1440, 2582, 4262, 1710, 56, 34, NA, 250132,  M*
19, 34.8, 11917, 23393, 6414, 21064, 6940, 23366, 6864, 2939, 78, 53, NA, 102897,  M*
20, 37.8, 53147, 29486, 6656, 5480, 7940, 14542, 6484, 9074, 80, 64, NA, 132809,  M*
21, 39.8, 8274, 19688, 17171, 5373, 3385, 5107, 4120, 910, 64, 78, NA, 64028,  M*
22, 40.8, 645071, 77697, 12116, 20514, 13200, 5982, 6373, 4261, 23, 60, NA, 785214,  M*
23, 42.8, 41836, 23043, 1062, 15538, 8748, 5554, 5769, 1836, 27, 60, NA, 103386,  M*
24, 43.8, 335095, 39303, 2349, 7184, 4644, 2584, 4009, 1048, 35, 64, NA, 396216,  M*
25, 45.8, 87761, 61256, 10016, 5311, 8909, 1438, 2677, 2581, 24, 56, NA, 179949,  M*
26, 46.8, 292524, 30821, 6596, 2112, 2016, 1978, 527, 354, 16, 47, NA, 336928,  M*
27, 48.8, 6774, 14257, 9487, 6406, 5414, 7565, 4815, 2789, 35, 63, NA, 57507,  M*
28, 49.8, 18720, 6456, 3582, 5001, 2894, 6580, 4907, 6115, 88, 47, NA, 54255,  M*
29, 51.8, 24481, 18763, 11868, 2064, 1191, 628, 191, 129, 75, 61, NA, 59315,  M*
30, 52.8, 8218, 18183, 13608, 4792, 10546, 8682, 4641, 1754, 51, 88, NA, 70424,  M*
31, 54.8, 349747, 31305, 2809, 11931, 4479, 2956, 5962, 2504, 29, 83, NA, 411693,  M*
32, 57.8, 41742, 19934, 10987, 16429, 10049, 9254, 1814, 3813, 51, 75, NA, 114022,  M*
33, 59.7, 4654, 7151, 4937, 1658, 3746, 4151, 2590, 2764, 75, 64, NA, 31651,  M*
34, 60.8, 20793, 17190, 1859, 3037, 7242, 4453, 7777, 2821, 81, 48, NA, 65172,  M
35, 62.7, 22370, 20911, 3912, 5575, 4290, 8230, 2831, 2969, 91, 56, NA, 71088,  M
36, 63.7, 14363, 9141, 2039, 4814, 4459, 8796, 2782, 2370, 80, 51, NA, 48764,  M
37, 65.7, 4521, 1998, 1154, 393, 5513, 6077, 5444, 610, 91, 47, NA, 25710,  M
38, 66.7, 165544, 103262, 38273, 2940, 12826, 9998, 7959, 857, 78, 50, NA, 341659,  M
39, 68.7, 494633, 165109, 80158, 21777, 17214, 24942, 8712, 4644, 53, 56, NA, 817189,  M
40, 69.7, 34609, 7996, 10322, 8467, 9575, 10530, 2106, 3996, 34, 66, NA, 87601,  M
41, 71.7, 43007, 13500, 6239, 2546, 4557, 7364, 13844, 2789, 50, 67, NA, 93846,  M
42, 72.7, 28699, 28505, 14592, 6191, 10167, 10658, 7752, 2704, 56, 83, NA, 109268,  M
43, 74.7, 648304, 39807, 2040, 5903, 4571, 5410, 2620, 5104, 44, 61, NA, 713759,  M
44, 77.7, 13383, 21388, 3336, 1417, 3860, 6041, 3177, 2788, 50, 60, NA, 55390,  M
45, 79.7, 194010, 61654, 15000, 705, 3998, 5827, 2965, 1519, 47, 43, NA, 285678,  M
46, 80.7, 6071, 3887, 1468, 4769, 3414, 9392, 8026, 7101, 69, 57, NA, 44128,  M
47, 82.7, 44046, 27451, 35551, 12481, 9970, 8775, 5902, 1055, 54, 80, NA, 145231,  M
48, 83.7, 120733, 51515, 8346, 2001, 2344, 1985, 521, 347, 50, 75, NA, 187792,  M
49, 85.7, 116787, 55875, 9235, 6820, 19058, 6915, 5157, 6204, 27, 66, NA, 226051,  M
50, 86.6, 408049, 44325, 8850, 7332, 9273, 7359, 14351, 3194, 23, 44, NA, 502733,  M
51, 88.6, 85423, 31587, 10455, 20995, 15030, 14922, 14095, 2551, 41, 57, NA, 195058,  M
52, 89.6, 87997, 8845, 4290, 4096, 1080, 2199, 4122, 1121, 34, 84, NA, 113750,  M
53, 91.7, 71700, 117772, 30536, 5294, 14360, 17539, 4633, 2553, 34, 81, NA, 264387,  M
54, 92.6, 105504, 8635, 5796, 1495, 2076, 1816, 1456, 624, 38, 75, NA, 127402,  M
55, 94.6, 11899, 57561, 25269, 11264, 5331, 7966, 3996, 2720, 35, 69, NA, 126006,  M
56, 97.7, 13764, 32681, 34991, 8186, 3753, 7500, 6675, 2413, 13, 64, NA, 109963,  M
57, 99.6, 1467077, 459279, 19430, 10788, 23859, 16540, 8513, 16867, 34, 67, NA, 2022353,  M
58, 100.6, 16793, 5975, 1901, 1761, 1888, 3011, 2102, 2118, 21, 53, NA, 35549,  M
59, 102.6, 14634, 21100, 2849, 8075, 8805, 7685, 4424, 2707, 26, 44, NA, 70279,  M
60, 103.6, 201072, 22283, 400, 2023, 866, 2715, 1525, 547, 57, 50, NA, 231431,  M
61, 105.6, 30072, 9851, 1397, 2770, 9673, 5770, 3235, 1681, 61, 41, NA, 64449,  M
62, 106.6, 15094, 18483, 20637, 11920, 5809, 7145, 3956, 3586, 44, 70, NA, 86630,  M
63, 108.6, 78544, 45471, 37980, 6156, 9738, 10372, 620, 893, 47, 93, NA, 189774,  M
64, 109.6, 25427, 34445, 7793, 1815, 3709, 2656, 1630, 1098, 14, 74, NA, 78573,  M
65, 111.6, 12035, 11461, 10210, 6534, 1836, 8221, 6105, 1985, 23, 70, NA, 58387,  M
66, 112.6, 1674107, 92456, 12279, 10878, 9431, 27213, 4558, 4839, 47, 80, NA, 1835761,  M
67, 114.5, 49388, 5024, 1634, 531, 796, 566, 317, 512, 48, 84, NA, 58768,  M
68, 114.5, 904141, 34910, 6568, 3384, 7615, 2782, 3034, 1237, 29, 57, NA, 963671,  M
