obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 31904, 43381, 36917, 7200, 5322, 4050, 2020, 3546, NA, NA, NA, 134340,  M*
2, 7.0, 270643, 117576, 9379, 12868, 23897, 33965, 46294, 4691, NA, NA, NA, 519313,  M*
3, 9.0, 201350, 115211, 38538, 19992, 14925, 9115, 3085, 1047, 30, 44, NA, 403263,  M*
4, 9.9, 48643, 4410, 1142, 1022, 1114, 663, 1245, 521, 35, 47, NA, 58760,  M*
5, 11.9, 1357331, 176936, 18411, 11263, 12169, 11304, 7135, 6097, 27, 40, NA, 1600646,  M*
6, 12.9, 140775, 73451, 13112, 8609, 12953, 11008, 2904, 1813, 37, 44, NA, 264625,  M*
7, 14.9, 1179311, 195607, 40559, 75970, 60796, 50656, 18106, 9989, 41, 44, NA, 1630994,  M*
8, 17.9, 843299, 110090, 21469, 7748, 8259, 6062, 5482, 8544, 43, 44, NA, 1010953,  M*
9, 19.9, 314304, 105512, 74892, 74388, 23994, 45341, 49892, 7834, 35, 61, NA, 696157,  M*
10, 20.9, 61147, 23257, 49069, 17123, 7789, 18245, 14686, 5570, 35, 69, NA, 196886,  M*
11, 22.9, 304734, 270617, 12778, 24719, 11501, 18512, 11561, 6225, 38, 60, NA, 660647,  M*
12, 23.9, 1168331, 60639, 18276, 4035, 2703, 5728, 5249, 3358, 40, 64, NA, 1268319,  M*
13, 25.9, 377509, 49511, 105847, 7538, 21575, 11993, 11314, 5006, 26, 64, NA, 590293,  M*
14, 26.9, 377478, 20997, 3569, 2058, 1911, 1608, 3338, 897, 34, 51, NA, 411856,  M*
15, 28.9, 184248, 19052, 2985, 3140, 15190, 13864, 4097, 14744, 57, 43, NA, 257320,  M*
16, 29.9, 130464, 145657, 6175, 13074, 17171, 24027, 18324, 2874, 70, 29, NA, 357766,  M*
17, 31.9, 471121, 90420, 7728, 8726, 8483, 3500, 3891, 1074, 63, 27, NA, 594943,  M*
18, 32.9, 86216, 33888, 4807, 26861, 8278, 6734, 8444, 2651, 60, 37, NA, 177879,  M*
19, 34.9, 716321, 16590, 18112, 19221, 11862, 15170, 11136, 4156, 67, 61, NA, 812568,  M*
20, 37.8, 506454, 28969, 9507, 28392, 32188, 19340, 13610, 2203, 81, 69, NA, 640663,  M*
21, 39.8, 1835163, 222216, 6233, 14098, 35065, 14372, 14034, 4564, 69, 20, NA, 2145745,  M*
22, 40.8, 192108, 49928, 8466, 11326, 5831, 5419, 4536, 3292, 51, 50, NA, 280906,  M*
23, 42.8, 27137, 38449, 50060, 70502, 19351, 21120, 11143, 7964, 51, 64, NA, 245726,  M*
24, 43.8, 157934, 43919, 7198, 12344, 5737, 9636, 3968, 2223, 53, 57, NA, 242959,  M*
25, 45.8, 108807, 2435, 3456, 1078, 4304, 4308, 2292, 1708, 78, 60, NA, 128388,  M*
26, 46.8, 978342, 95238, 9397, 32381, 21652, 8586, 17349, 6337, 69, 50, NA, 1169282,  M*
27, 48.8, 141343, 8549, 4338, 2404, 2812, 6439, 3650, 831, 80, 51, NA, 170366,  M*
28, 49.8, 152109, 107524, 51677, 18215, 21843, 24080, 26671, 6592, 64, 66, NA, 408711,  M*
29, 51.8, 64633, 71412, 10128, 2461, 9747, 4371, 2630, 479, 63, 57, NA, 165861,  M*
30, 52.8, 430022, 73967, 50831, 15106, 11461, 24516, 13855, 7600, 41, 54, NA, 627358,  M*
31, 54.8, 10994, 26151, 20953, 19611, 13698, 26958, 11250, 7693, 53, 56, NA, 137308,  M*
32, 57.8, 80354, 40445, 2268, 12503, 6665, 12890, 23395, 7291, 64, 63, NA, 185811,  M*
33, 59.8, 68165, 114156, 46625, 18231, 11065, 14529, 16772, 2923, 54, 38, NA, 292466,  M*
34, 60.8, 864105, 325430, 20340, 2331, 17523, 27109, 13652, 3482, 34, 29, NA, 1273972,  M
35, 62.8, 610110, 43248, 6399, 17944, 2512, 3162, 3283, 1672, 27, 37, NA, 688330,  M
36, 63.7, 124846, 13667, 3665, 8339, 11254, 7650, 5338, 2226, 50, 37, NA, 176985,  M
37, 65.7, 150880, 90202, 21578, 41452, 11238, 27216, 31388, 2336, 60, 60, NA, 376290,  M
38, 66.7, 1015042, 210793, 51097, 37516, 16505, 31236, 53850, 43547, 69, 54, NA, 1459586,  M
39, 68.7, 769883, 167836, 31827, 32156, 12645, 9682, 14122, 13712, 47, 54, NA, 1051863,  M
40, 69.7, 144397, 4815, 811, 760, 202, 2016, 882, 403, 51, 41, NA, 154286,  M
41, 71.7, 120716, 99749, 49022, 6662, 19511, 17499, 14209, 7723, 53, 43, NA, 335091,  M
42, 72.7, 102098, 43516, 4707, 3930, 675, 1086, 3153, 796, 54, 44, NA, 159961,  M
43, 74.7, 50064, 23705, 1449, 6553, 1052, 4230, 3249, 1172, 47, 47, NA, 91474,  M
44, 77.7, 37813, 29309, 39899, 20614, 18807, 27168, 27870, 10821, 50, 57, NA, 212301,  M
45, 79.7, 647885, 173480, 59373, 46664, 28614, 13872, 22598, 10488, 90, 75, NA, 1002974,  M
