obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 568307, 405666, 47179, 76065, 14879, 20989, 10060, 4142, NA, NA, NA, 1147287,  T*
2, 7.0, 125643, 125489, 39574, 36297, 20689, 13931, 8859, 14576, NA, NA, NA, 385058,  T*
3, 8.9, 1339449, 373743, 78311, 58192, 46682, 14225, 4155, 5243, 30, 34, NA, 1920000,  T*
4, 9.9, 50062, 42612, 2202, 26006, 20267, 22811, 13774, 8024, 66, 40, NA, 185758,  T*
5, 11.9, 196297, 24013, 5699, 6410, 6323, 4722, 4017, 1871, 77, 34, NA, 249352,  T*
6, 12.9, 64088, 27907, 23497, 20615, 20522, 12730, 8374, 4618, 100, 37, NA, 182351,  T*
7, 14.9, 87627, 44369, 34447, 10191, 25100, 6060, 4863, 2696, 88, 47, NA, 215353,  T*
8, 17.9, 78044, 9593, 27175, 23688, 10761, 7401, 13754, 2091, 77, 61, NA, 172507,  T*
9, 19.9, 1069035, 226408, 39382, 5686, 7276, 6282, 2115, 1964, 67, 35, NA, 1358148,  T*
10, 20.9, 241544, 29314, 12275, 14993, 8779, 9104, 7178, 4824, 63, 41, NA, 328011,  T*
11, 22.9, 122854, 8600, 3243, 2718, 13120, 7158, 10517, 1871, 70, 21, NA, 170081,  T*
12, 23.9, 32834, 48831, 41300, 31518, 6775, 12609, 3768, 3152, 96, 23, NA, 180787,  T*
13, 25.9, 145510, 48306, 6593, 15278, 17944, 7529, 3643, 1873, 91, 13, NA, 246676,  T*
14, 26.9, 12711, 12328, 4122, 8323, 3547, 7092, 10992, 4481, 81, 64, NA, 63596,  T*
15, 28.9, 268567, 19485, 7210, 5274, 9184, 3724, 1297, 217, 83, 50, NA, 314958,  T*
16, 29.9, 19495, 19237, 23395, 22296, 5411, 11346, 5531, 1730, 97, 54, NA, 108441,  T*
17, 31.9, 31770, 6914, 15775, 9641, 12116, 3634, 4892, 1760, 87, 66, NA, 86502,  T*
18, 32.8, 16053, 9412, 9855, 6375, 4198, 5411, 2568, 2000, 80, 96, NA, 55872,  T*
19, 34.8, 53940, 6624, 3668, 2138, 6276, 5342, 6308, 3988, 90, 74, NA, 88284,  T*
20, 37.8, 16066, 21843, 7044, 4341, 10209, 5598, 4147, 2627, 88, 41, NA, 71875,  T*
21, 39.8, 5439, 7453, 16974, 14709, 3009, 6324, 2125, 2084, 81, 69, NA, 58117,  T*
22, 40.8, 71295, 10112, 1490, 3896, 864, 1652, 1405, 581, 60, 80, NA, 91295,  T*
23, 42.8, 81469, 19650, 1801, 2259, 1419, 2236, 845, 787, 53, 51, NA, 110466,  T*
24, 43.8, 31403, 19654, 17405, 3804, 3054, 5379, 1817, 3010, 61, 44, NA, 85526,  T*
25, 45.8, 25029, 36977, 21193, 21234, 5388, 8712, 3443, 512, 63, 56, NA, 122488,  T*
26, 46.8, 12761, 4564, 10243, 2961, 4546, 6497, 4874, 1632, 78, 81, NA, 48078,  T*
27, 48.8, 20557, 9794, 5474, 5254, 5837, 2347, 4860, 1710, 77, 77, NA, 55833,  T*
28, 49.8, 95857, 42320, 9444, 12593, 4666, 9828, 4212, 2706, 67, 60, NA, 181626,  T*
29, 51.8, 141924, 11456, 776, 967, 1955, 1427, 729, 691, 56, 30, NA, 159925,  T*
30, 52.8, 91396, 6577, 442, 1183, 3276, 1722, 822, 759, 74, 24, NA, 106177,  T*
31, 54.8, 564846, 30433, 7862, 10729, 11122, 7416, 5808, 1788, 74, 26, NA, 640004,  T*
