obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 283649, 16478, 2215, 3128, 1694, 783, 1363, 472, NA, NA, NA, 309782,  M*
2, 7.0, 155096, 54986, 3694, 1655, 5684, 1936, 1911, 972, NA, NA, NA, 225934,  M*
3, 9.0, 829161, 42856, 26728, 16984, 5340, 3665, 2036, 820, 63, 50, NA, 927590,  M*
4, 10.0, 628795, 446545, 53919, 5137, 10764, 24971, 9757, 3064, 88, 56, NA, 1182952,  M*
5, 11.9, 196429, 100242, 44969, 2306, 4257, 12742, 8258, 5728, 100, 61, NA, 374931,  M*
6, 13.0, 752130, 434363, 25175, 4343, 36851, 31986, 45655, 10449, 100, 34, NA, 1340952,  M*
7, 14.9, 297657, 13702, 6233, 9679, 2674, 2216, 2638, 1115, 100, 48, NA, 335914,  M*
8, 17.9, 563878, 263201, 16002, 24029, 16753, 11732, 4051, 5719, 83, 37, NA, 905365,  M*
9, 19.9, 132551, 42968, 28352, 11894, 10783, 25876, 17604, 8658, 83, 50, NA, 278686,  M*
10, 20.9, 755649, 207718, 12441, 16071, 20280, 14467, 10350, 6408, 53, 40, NA, 1043384,  M*
11, 22.9, 363897, 41314, 6146, 17877, 11096, 19470, 21670, 6620, 37, 35, NA, 488090,  M*
12, 23.9, 18914, 5580, 527, 7310, 7110, 9332, 5782, 3472, 44, 44, NA, 58027,  M*
13, 25.9, 233685, 31221, 15465, 4898, 4547, 3779, 2042, 2234, 47, 56, NA, 297871,  M*
14, 26.9, 10671, 43470, 5816, 10280, 5105, 26922, 13951, 3586, 64, 56, NA, 119801,  M*
15, 28.9, 239932, 188520, 23827, 11231, 17307, 31120, 10468, 4271, 47, 48, NA, 526676,  M*
16, 29.9, 325763, 44478, 45402, 13557, 3104, 21361, 11708, 5302, 47, 50, NA, 470675,  M*
17, 31.9, 35663, 21468, 8836, 5385, 13485, 20261, 7253, 10846, 50, 51, NA, 123197,  M*
18, 32.9, 550499, 267990, 49280, 86467, 36550, 8992, 14559, 7061, 44, 60, NA, 1021398,  M*
19, 34.9, 1357759, 71879, 31781, 22614, 16191, 18028, 5123, 3040, 41, 56, NA, 1526415,  M*
20, 37.9, 130989, 164827, 4807, 16791, 7753, 35717, 14177, 4049, 20, 43, NA, 379110,  M*
21, 39.9, 1026115, 23474, 16398, 23221, 8924, 25048, 22324, 7356, 43, 27, NA, 1152860,  M*
22, 40.8, 82986, 12285, 7250, 3419, 4639, 24184, 25849, 3207, 61, 41, NA, 163819,  M*
23, 42.8, 198178, 89398, 12657, 28303, 18758, 12559, 25466, 5463, 66, 51, NA, 390782,  M*
24, 43.8, 20105, 26751, 7800, 18216, 16001, 12727, 11130, 4073, 87, 47, NA, 116803,  M*
25, 45.8, 86482, 31622, 21032, 38385, 12183, 24966, 11277, 10999, 70, 56, NA, 236946,  M*
26, 46.8, 30373, 28134, 14133, 16047, 11947, 15226, 13184, 7819, 54, 77, NA, 136863,  M*
27, 48.8, 19934, 39065, 2280, 3037, 6858, 15785, 15055, 14981, 60, 63, NA, 116995,  M*
28, 49.8, 356660, 116736, 35066, 23324, 7530, 25942, 19203, 4866, 54, 43, NA, 589327,  M*
29, 51.8, 56401, 42997, 16030, 10783, 7882, 13397, 14383, 7516, 53, 41, NA, 169389,  M*
30, 52.8, 141469, 73930, 11407, 24827, 29737, 18757, 7623, 7493, 44, 48, NA, 315243,  M*
31, 54.8, 694864, 39970, 18697, 18804, 5213, 7395, 10247, 5321, 41, 53, NA, 800511,  M*
32, 57.8, 892368, 218678, 13502, 33836, 8572, 21955, 10983, 5665, 21, 60, NA, 1205559,  M*
33, 59.8, 2349509, 210435, 70135, 51213, 11701, 19457, 15715, 17346, 10, 57, NA, 2745511,  M*
34, 60.8, 80867, 114045, 3126, 20274, 13548, 19904, 7304, 11848, 14, 54, NA, 270916,  M
35, 62.8, 347725, 134978, 47059, 7248, 16071, 18465, 9009, 7460, 17, 50, NA, 588015,  M
36, 63.8, 348459, 40731, 26897, 3997, 10805, 13533, 14106, 6034, 35, 51, NA, 464562,  M
37, 65.7, 31688, 15744, 38413, 16454, 14658, 17242, 9816, 8445, 41, 67, NA, 152460,  M
38, 66.7, 328370, 10914, 8009, 12837, 3419, 2546, 7477, 2297, 40, 77, NA, 375869,  M
39, 68.7, 137091, 4657, 29808, 36408, 5813, 13555, 17548, 2698, 40, 91, NA, 247578,  M
40, 69.7, 6315, 6997, 15617, 6900, 4572, 16407, 7944, 4154, 48, 84, NA, 68906,  M
41, 71.7, 5526, 23780, 1262, 2189, 7869, 7469, 5180, 5085, 61, 64, NA, 58360,  M
42, 72.7, 38354, 28256, 7864, 7913, 16040, 23869, 12301, 2214, 67, 50, NA, 136811,  M
43, 74.7, 136381, 56990, 22600, 22476, 14043, 9769, 36340, 6520, 50, 47, NA, 305119,  M
44, 77.7, 14621, 50944, 21768, 15027, 13910, 10967, 12138, 8070, 50, 56, NA, 147445,  M
45, 79.7, 436763, 274013, 8303, 18294, 21930, 50826, 13500, 8632, 70, 43, NA, 832261,  M
46, 80.7, 339152, 117759, 28417, 3243, 20515, 16523, 8311, 10663, 66, 50, NA, 544583,  M
47, 82.7, 333307, 123465, 13370, 2764, 16838, 22663, 6242, 6734, 50, 37, NA, 525383,  M
48, 83.7, 122653, 6050, 1495, 4359, 11451, 5448, 5642, 772, 67, 37, NA, 157870,  M
49, 85.7, 46162, 61172, 3658, 17385, 14988, 25809, 6681, 16491, 78, 37, NA, 192346,  M
50, 86.7, 45496, 57657, 14613, 8705, 19164, 20646, 15699, 6691, 75, 44, NA, 188671,  M
51, 88.7, 30890, 50216, 17659, 51853, 18735, 16663, 12189, 9795, 63, 54, NA, 208000,  M
52, 89.7, 12487, 18240, 19299, 26726, 13513, 11781, 7289, 7186, 54, 74, NA, 116521,  M
53, 91.6, 20857, 15035, 10502, 16449, 15337, 12651, 4289, 5202, 56, 80, NA, 100322,  M
54, 92.7, 266741, 24148, 9922, 9426, 8927, 26865, 6020, 11330, 67, 69, NA, 363379,  M
55, 94.6, 346184, 102024, 7431, 50039, 16103, 21600, 15183, 19019, 66, 61, NA, 577583,  M
56, 97.6, 51144, 17669, 27159, 5793, 19388, 15463, 35669, 5531, 70, 64, NA, 177816,  M
57, 99.6, 41895, 15844, 27579, 6564, 13499, 32579, 6919, 5550, 81, 44, NA, 150429,  M
58, 100.6, 1962, 5298, 9312, 3699, 6920, 13250, 8279, 10278, 96, 56, NA, 58998,  M
59, 102.6, 639569, 42247, 30167, 22694, 24596, 12483, 6452, 7993, 75, 60, NA, 786201,  M
60, 103.6, 252329, 50336, 11786, 5791, 19215, 15824, 15449, 3153, 70, 63, NA, 373883,  M
61, 105.6, 7971, 25470, 19076, 5149, 5096, 9218, 18717, 7415, 57, 64, NA, 98112,  M
62, 106.6, 229854, 38006, 5280, 10339, 2996, 2362, 2016, 1153, 30, 57, NA, 292006,  M
63, 108.6, 462110, 20407, 10555, 4038, 5910, 6719, 1741, 1040, 29, 63, NA, 512520,  M
64, 109.6, 188309, 18624, 15716, 2647, 3185, 4167, 4459, 4718, 37, 64, NA, 241825,  M
65, 111.6, 52861, 317549, 4988, 9592, 9119, 14121, 10076, 4248, 37, 47, NA, 422554,  M
66, 112.6, 360166, 337967, 21851, 49953, 7455, 27386, 12294, 10205, 8, 29, NA, 827277,  M
67, 112.6, 37552, 9024, 26547, 5462, 6816, 18025, 19503, 16077, 20, 30, NA, 139006,  M
