obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 15731, 17063, 12250, 3098, 5941, 2353, 4851, 3127, NA, NA, NA, 64414,  A*
2, 7.0, 1421094, 177237, 17612, 43978, 18693, 24971, 23607, 20132, NA, NA, NA, 1747324,  A*
3, 9.0, 20738, 47857, 9427, 3291, 4825, 16865, 28202, 9929, 53, 30, NA, 141134,  A*
4, 10.0, 298765, 44569, 10518, 1493, 6160, 7233, 4830, 1674, 66, 11, NA, 375242,  A*
5, 11.9, 269492, 142145, 76921, 84844, 9593, 21631, 19543, 3058, 63, 30, NA, 627227,  A*
6, 13.0, 88437, 11622, 5049, 1715, 3028, 1560, 1387, 1977, 47, 61, NA, 114775,  A*
7, 14.9, 2285318, 94862, 24726, 63990, 137294, 48067, 16935, 15981, 53, 69, NA, 2687173,  A*
8, 17.9, 19500, 11243, 28882, 26137, 6315, 22258, 10675, 3691, 81, 87, NA, 128701,  A*
9, 19.9, 6193, 31967, 19296, 10160, 13633, 9130, 31831, 2468, 83, 80, NA, 124678,  A*
10, 20.9, 37838, 18905, 17516, 8226, 13788, 14741, 20125, 5015, 67, 70, NA, 136154,  A*
11, 22.9, 100962, 23749, 19880, 5375, 14867, 5565, 10257, 2562, 66, 78, NA, 183217,  A*
12, 23.9, 87815, 8450, 12642, 8107, 4104, 2281, 2114, 2104, 48, 100, NA, 127617,  A*
13, 25.9, 17202, 19732, 18492, 10748, 11418, 15731, 4231, 6737, 48, 100, NA, 104291,  A*
14, 26.9, 25233, 32424, 15123, 4650, 6029, 12464, 4668, 1890, 60, 100, NA, 102481,  A*
15, 28.9, 33103, 43721, 24625, 18645, 6216, 15287, 8401, 3235, 67, 88, NA, 153233,  A*
16, 29.9, 38978, 31935, 5715, 2795, 1524, 2178, 3142, 761, 50, 75, NA, 87028,  A*
17, 31.9, 75120, 115979, 24225, 43360, 15237, 12747, 6588, 2535, 35, 77, NA, 295791,  A*
18, 32.9, 91736, 65146, 46673, 6138, 8461, 11268, 6253, 2582, 26, 48, NA, 238257,  A*
19, 34.9, 6977, 10930, 12824, 14749, 10470, 13035, 6652, 2963, 44, 64, NA, 78600,  A*
20, 37.8, 21403, 12616, 4591, 7792, 4585, 17172, 11398, 8828, 74, 75, NA, 88385,  A*
21, 39.9, 4770, 10050, 15458, 23856, 7628, 19045, 6782, 3225, 93, 63, NA, 90814,  A*
22, 40.9, 65307, 30276, 13641, 2854, 13522, 10623, 9668, 4407, 74, 60, NA, 150298,  A*
23, 42.8, 22458, 84113, 67597, 26911, 7173, 10132, 10244, 6709, 56, 77, NA, 235337,  A*
24, 43.9, 20525, 12069, 17987, 14386, 6723, 10655, 17853, 8546, 63, 60, NA, 108744,  A*
25, 45.8, 29579, 8924, 7026, 9053, 7752, 6908, 11441, 3334, 64, 70, NA, 84017,  A*
26, 46.8, 20689, 11413, 1285, 3564, 4032, 1996, 1518, 521, 74, 56, NA, 45018,  A*
27, 48.8, 22253, 77873, 23958, 3326, 5385, 15820, 7869, 2064, 69, 35, NA, 158548,  A*
28, 49.8, 159975, 6920, 8133, 2499, 1162, 4111, 1865, 1403, 60, 67, NA, 186068,  A*
29, 51.8, 29426, 20874, 1237, 6841, 8394, 18222, 15576, 7567, 77, 61, NA, 108137,  A*
30, 52.8, 20323, 41635, 2506, 21959, 11372, 9090, 11266, 9519, 84, 35, NA, 127670,  A*
31, 54.8, 235815, 38787, 20116, 38165, 29900, 28685, 46455, 8343, 87, 29, NA, 446266,  A*
32, 57.8, 101346, 90309, 21920, 17616, 7962, 8628, 8414, 5150, 43, 44, NA, 261345,  A*
33, 59.8, 262774, 54273, 12413, 17424, 4204, 13596, 9665, 2593, 37, 30, NA, 376942,  A*
34, 60.8, 232840, 11954, 36164, 3796, 5475, 6352, 5834, 2729, 54, 51, NA, 305144,  A
35, 62.8, 381924, 19178, 7620, 6295, 6387, 4359, 2758, 2053, 53, 61, NA, 430574,  A
36, 63.8, 25435, 31411, 7810, 26928, 16306, 15711, 6646, 2898, 51, 66, NA, 133145,  A
37, 65.7, 399233, 99670, 36987, 44498, 8452, 11652, 7579, 6010, 44, 53, NA, 614081,  A
38, 66.7, 2874058, 213983, 129692, 108767, 56166, 65973, 77052, 36855, 50, 84, NA, 3562546,  A
39, 68.7, 1118921, 51239, 27608, 38207, 6288, 14711, 13731, 4726, 43, 93, NA, 1275431,  A
40, 69.7, 424398, 462771, 21129, 28028, 27388, 14179, 38828, 11078, 21, 64, NA, 1027799,  A
41, 71.7, 63309, 36970, 32533, 21478, 9502, 10775, 16120, 7560, 17, 69, NA, 198247,  A
42, 72.7, 13039, 52720, 25639, 15994, 9213, 20037, 10192, 4414, 50, 53, NA, 151248,  A
43, 74.7, 42295, 13767, 2081, 5417, 7362, 5016, 2866, 1878, 74, 69, NA, 80682,  A
44, 77.7, 50163, 46159, 34897, 3410, 14128, 10491, 9549, 5616, 57, 48, NA, 174413,  A
45, 79.7, 527571, 486008, 28678, 24424, 11496, 19689, 10938, 3930, 29, 40, NA, 1112734,  A
46, 80.7, 333513, 10066, 1279, 982, 568, 981, 262, 113, 35, 14, NA, 347764,  A
47, 82.7, 65060, 4530, 3859, 5132, 429, 2370, 1587, 501, 43, 35, NA, 83468,  A
48, 83.7, 39803, 22830, 16985, 12541, 9525, 9992, 5896, 2756, 50, 69, NA, 120328,  A
49, 85.7, 5806, 9566, 2966, 2106, 811, 2174, 725, 1154, 56, 80, NA, 25308,  A
50, 86.7, 62943, 35318, 1929, 6500, 2109, 5295, 899, 298, 53, 56, NA, 115291,  A
51, 88.7, 14501, 19577, 22359, 8783, 6110, 7876, 4644, 1252, 51, 60, NA, 85102,  A
52, 89.7, 43508, 45164, 21462, 25749, 3569, 8821, 6947, 4886, 43, 64, NA, 160106,  A
53, 91.7, 540041, 53928, 22946, 10102, 5679, 13644, 5625, 1590, 47, 78, NA, 653555,  A
54, 92.6, 43000, 9598, 4031, 3949, 1545, 3110, 2000, 303, 43, 80, NA, 67536,  A
55, 94.6, 373613, 183757, 19780, 5392, 12425, 25987, 3469, 2826, 44, 51, NA, 627249,  A
56, 97.6, 14551, 36027, 20846, 2426, 5746, 8395, 7784, 3082, 47, 40, NA, 98857,  A
57, 99.6, 161015, 70474, 10247, 9496, 6390, 12139, 2714, 1771, 56, 40, NA, 274246,  A
58, 100.6, 91183, 10764, 1774, 2669, 2267, 3868, 2045, 557, 63, 37, NA, 115127,  A
59, 102.6, 16721, 50682, 26975, 21001, 19491, 8324, 12923, 1578, 51, 48, NA, 157695,  A
60, 103.6, 529059, 26238, 23721, 13084, 4763, 2898, 3304, 1525, 35, 54, NA, 604592,  A
61, 105.6, 328229, 12050, 941, 5389, 3427, 1585, 1074, 316, 21, 60, NA, 353011,  A
62, 106.6, 59110, 23868, 36958, 7741, 5429, 8077, 4606, 5014, 23, 67, NA, 150803,  A
63, 108.6, 50497, 72716, 17285, 36308, 10427, 20305, 6832, 4802, 37, 57, NA, 219172,  A
64, 109.6, 21863, 7237, 963, 3720, 7203, 1386, 804, 267, 37, 75, NA, 43443,  A
65, 111.6, 27026, 27740, 12430, 8827, 27083, 24345, 3599, 2219, 53, 53, NA, 133269,  A
66, 112.6, 16436, 34875, 21506, 14560, 8029, 8847, 4217, 3619, 50, 48, NA, 112089,  A
67, 114.6, 268664, 10941, 2479, 1642, 4056, 1603, 1523, 871, 48, 47, NA, 291779,  A
68, 117.5, 66390, 49772, 9895, 3995, 11929, 20535, 3323, 1250, 48, 16, NA, 167089,  A
69, 119.5, 20582, 14174, 21726, 14572, 19322, 18547, 2541, 1740, 69, 64, NA, 113204,  A
70, 120.5, 75156, 7468, 5652, 11964, 9482, 8648, 6336, 2489, 60, 87, NA, 127195,  A
