obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 103035, 14913, 28763, 10547, 2577, 6379, 3532, 2443, NA, NA, NA, 172189,  M*
2, 7.0, 68775, 48370, 34235, 7351, 13350, 17896, 25815, 9985, NA, NA, NA, 225777,  M*
3, 9.0, 287258, 32848, 5907, 5657, 3272, 5666, 5118, 2075, 38, 30, NA, 347801,  M*
4, 9.9, 348939, 47280, 12937, 2037, 10098, 8252, 11543, 1670, 30, 23, NA, 442756,  M*
5, 11.9, 1467738, 553566, 77657, 16560, 68320, 34859, 39180, 9317, 27, 7, NA, 2267197,  M*
6, 12.9, 973137, 101061, 8349, 37833, 5729, 16086, 9444, 8120, 69, 10, NA, 1159759,  M*
7, 14.9, 591294, 111869, 15082, 8739, 21811, 11142, 13697, 2017, 57, 7, NA, 775651,  M*
8, 17.9, 694230, 172986, 27300, 22897, 14426, 7922, 4878, 5769, 26, 17, NA, 950408,  M*
9, 19.9, 677398, 27942, 10817, 4484, 5965, 7349, 5307, 1687, 57, 14, NA, 740949,  M*
10, 20.9, 1136702, 212446, 52346, 33233, 20126, 21017, 27626, 4187, 64, 16, NA, 1507683,  M*
11, 22.9, 88386, 124244, 41189, 6368, 11318, 9338, 21598, 7259, 61, 29, NA, 309700,  M*
12, 23.9, 650791, 42119, 17440, 6553, 3609, 3019, 5786, 2450, 44, 17, NA, 731767,  M*
13, 25.9, 844756, 57515, 117913, 70340, 43404, 20281, 14324, 9018, 47, 38, NA, 1177551,  M*
14, 26.9, 2232962, 465731, 304844, 115006, 149123, 133453, 182062, 68040, 61, 48, NA, 3651221,  M*
15, 28.9, 77763, 40886, 8462, 1204, 3268, 1470, 805, 505, 51, 63, NA, 134363,  M*
16, 29.9, 1746182, 279709, 209599, 87600, 78230, 39393, 17824, 12105, 56, 50, NA, 2470642,  M*
17, 31.9, 1232823, 145398, 115516, 25174, 43740, 25322, 20568, 5493, 48, 51, NA, 1614034,  M*
18, 32.9, 895049, 202735, 16910, 26758, 22013, 20715, 6820, 6025, 64, 60, NA, 1197025,  M*
19, 34.9, 562985, 18200, 3956, 3870, 3959, 1342, 1941, 948, 61, 53, NA, 597201,  M*
20, 37.8, 163631, 64327, 9267, 1086, 3860, 2482, 3390, 916, 23, 24, NA, 248959,  M*
21, 39.9, 1426269, 962191, 9954, 63593, 34380, 21261, 26451, 21317, 24, 24, NA, 2565416,  M*
22, 42.8, 210580, 14055, 4002, 5256, 2627, 2059, 950, 571, 56, 23, NA, 240100,  M*
23, 43.8, 3318014, 167920, 51008, 27979, 23917, 12388, 10038, 4142, 64, 47, NA, 3615406,  M*
24, 45.8, 132525, 31411, 5544, 1487, 1177, 2215, 1333, 881, 48, 41, NA, 176573,  M*
25, 46.8, 689255, 77478, 23033, 4814, 14103, 4570, 4828, 3702, 44, 44, NA, 821783,  M*
26, 48.8, 468326, 93686, 64380, 16825, 17819, 12559, 4118, 9999, 51, 48, NA, 687712,  M*
27, 49.8, 1644557, 157276, 20071, 17950, 5048, 15143, 4231, 1973, 48, 43, NA, 1866249,  M*
28, 51.8, 1199364, 279366, 85320, 36618, 20645, 37534, 54406, 29419, 57, 44, NA, 1742672,  M*
29, 52.8, 40947, 15621, 30396, 19244, 4228, 4974, 6454, 3640, 60, 56, NA, 125504,  M*
30, 54.8, 964718, 501344, 86077, 27457, 20857, 28797, 31660, 9492, 53, 54, NA, 1670402,  M*
31, 57.8, 990523, 216106, 154372, 136094, 16515, 35118, 55331, 22734, 57, 78, NA, 1626793,  M*
32, 59.8, 1436835, 150562, 48860, 47891, 16507, 26633, 26494, 10698, 48, 67, NA, 1764480,  M*
33, 60.8, 268884, 53322, 6574, 21537, 12203, 6441, 8752, 6699, 63, 51, NA, 384412,  M
34, 62.8, 222251, 107373, 15833, 5700, 5425, 10043, 6839, 2978, 66, 40, NA, 376442,  M
35, 63.7, 389932, 463688, 68374, 40567, 8446, 4218, 11434, 2342, 29, 44, NA, 989001,  M
36, 65.7, 718203, 48194, 33077, 20199, 13321, 7947, 9712, 2552, 34, 51, NA, 853205,  M
37, 66.7, 518645, 197187, 1419, 10966, 12839, 8941, 11213, 4667, 40, 38, NA, 765877,  M
