obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 877572, 60259, 49657, 10803, 8150, 2406, 2563, 1332, NA, NA, NA, 1012742,  M*
2, 19.9, 1032419, 54251, 35931, 33890, 20870, 12350, 3983, 2295, NA, NA, NA, 1195989,  M*
3, 22.9, 1091694, 380685, 61020, 64458, 66725, 36166, 16011, 8583, 41, 34, NA, 1725342,  M*
4, 23.9, 1983302, 388894, 107124, 11382, 69959, 35925, 12488, 8511, 54, 38, NA, 2617585,  M*
5, 25.9, 530477, 98468, 1151, 909, 34180, 5169, 4456, 805, 69, 27, NA, 675615,  M*
6, 26.9, 1945310, 148671, 40736, 31463, 27946, 49369, 2835, 2023, 88, 38, NA, 2248353,  M*
7, 28.9, 282682, 24054, 12561, 6675, 8041, 3234, 1999, 1581, 88, 48, NA, 340827,  M*
8, 29.9, 829711, 1022554, 90118, 140814, 68221, 43129, 37771, 5502, 74, 67, NA, 2237820,  M*
9, 31.9, 740355, 135906, 23979, 13814, 27361, 14897, 4268, 1944, 63, 64, NA, 962524,  M*
10, 32.9, 40416, 110647, 37194, 15051, 13648, 7642, 3341, 1708, 80, 61, NA, 229647,  M*
11, 34.9, 238050, 90159, 58320, 11789, 28243, 17283, 5063, 5891, 93, 69, NA, 454798,  M*
12, 37.9, 76273, 69486, 50404, 26963, 23787, 13896, 5905, 1108, 78, 66, NA, 267822,  M*
13, 39.8, 1996081, 159323, 27922, 38813, 22670, 22959, 9389, 2108, 87, 63, NA, 2279265,  M*
14, 40.9, 439913, 286892, 17285, 44166, 21942, 9021, 7300, 2605, 78, 57, NA, 829124,  M*
15, 43.8, 150748, 90030, 18662, 12370, 40875, 4713, 2803, 2426, 66, 56, NA, 322627,  M*
16, 45.8, 87581, 77987, 3508, 9943, 11031, 9638, 2048, 1115, 74, 50, NA, 202851,  M*
17, 46.8, 228817, 46806, 16082, 5864, 10268, 5078, 5222, 1985, 84, 61, NA, 320122,  M*
18, 48.8, 54237, 77921, 30674, 20927, 22222, 18880, 12384, 3630, 88, 66, NA, 240875,  M*
19, 49.8, 1009059, 607924, 21454, 51012, 23382, 47699, 3325, 5655, 84, 53, NA, 1769510,  M*
20, 51.8, 416982, 19249, 3419, 7156, 6679, 3378, 1208, 547, 91, 53, NA, 458618,  M*
21, 52.8, 1805695, 103217, 12271, 24078, 2847, 10730, 2974, 3329, 84, 57, NA, 1965141,  M*
22, 65.7, 156384, 81130, 6115, 17089, 19710, 25443, 3823, 2016, 97, 63, NA, 311710,  M
23, 66.7, 402848, 67019, 4845, 22591, 16675, 9261, 1668, 1478, 100, 53, NA, 526385,  M
24, 68.7, 132713, 35851, 1774, 3878, 21233, 8985, 5052, 2596, 100, 47, NA, 212082,  M
25, 69.7, 107192, 47419, 4976, 19190, 15365, 7240, 4109, 2607, 100, 50, NA, 208098,  M
26, 71.7, 492377, 31490, 9680, 6154, 2807, 2395, 1269, 583, 94, 53, NA, 546755,  M
27, 72.7, 55941, 14639, 4666, 6206, 3799, 4765, 2051, 1628, 91, 67, NA, 93695,  M
28, 74.7, 291717, 29644, 2141, 5475, 5346, 5087, 1475, 446, 93, 63, NA, 341331,  M
29, 77.7, 9381, 4429, 2225, 1291, 4694, 5367, 1063, 2010, 100, 67, NA, 30460,  M
30, 79.7, 231148, 124507, 17061, 11560, 26910, 11059, 3522, 2675, 83, 67, NA, 428442,  M
31, 80.7, 73507, 18614, 5358, 15400, 7012, 8212, 3658, 4024, 64, 64, NA, 135785,  M
32, 82.7, 115802, 20283, 32535, 21880, 13131, 7573, 2641, 1341, 61, 77, NA, 215186,  M
33, 83.7, 139828, 22188, 7439, 7962, 20959, 4940, 1519, 1654, 78, 81, NA, 206489,  M
34, 85.7, 54746, 41032, 2902, 18135, 9553, 6986, 5570, 5493, 70, 77, NA, 144417,  M
35, 86.7, 81273, 21863, 17436, 18843, 11685, 5446, 4063, 1630, 74, 80, NA, 162239,  M
36, 88.7, 69365, 15158, 14855, 5141, 4131, 3843, 1765, 993, 74, 87, NA, 115251,  M
37, 89.7, 54671, 10036, 9797, 4496, 2576, 3357, 3504, 1284, 64, 93, NA, 89721,  M
38, 91.6, 87447, 39856, 13484, 11416, 9467, 10383, 5041, 2476, 69, 87, NA, 179570,  M
39, 92.7, 843660, 35609, 8933, 10686, 2999, 3587, 811, 584, 66, 87, NA, 906869,  M
40, 94.6, 408205, 41362, 4714, 9034, 3140, 5327, 1601, 1208, 61, 75, NA, 474591,  M
41, 97.6, 228584, 26808, 2955, 5504, 17219, 5555, 777, 395, 60, 70, NA, 287797,  M
42, 99.6, 1452396, 341024, 218374, 18075, 56473, 43070, 5173, 6674, 78, 66, NA, 2141259,  M
43, 105.6, 646158, 95723, 98903, 13221, 10888, 12959, 6592, 5181, 69, 80, NA, 889625,  M
44, 109.6, 124771, 63034, 2951, 12706, 9856, 15495, 1270, 376, 69, 74, NA, 230459,  M
45, 111.6, 9250, 8488, 695, 479, 2843, 1038, 562, 240, 70, 61, NA, 23595,  M
46, 112.6, 152195, 37775, 32466, 26633, 11736, 7550, 9873, 2318, 66, 63, NA, 280546,  M
47, 114.6, 647233, 75689, 19580, 11239, 16227, 4227, 1520, 741, 51, 69, NA, 776456,  M
48, 117.6, 146920, 27789, 9673, 1128, 2243, 2221, 1656, 381, 56, 75, NA, 192011,  M
49, 117.6, 106018, 19964, 18682, 4677, 1388, 4757, 1547, 901, 53, 54, NA, 157934,  M
