obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 1419236, 118244, 50369, 13551, 12664, 8927, 5265, 2956, NA, NA, NA, 1631212,  N*
2, 7.0, 878026, 48705, 18952, 17022, 5433, 9710, 2826, 2798, NA, NA, NA, 983472,  N*
3, 8.9, 59686, 32084, 1193, 120, 1798, 880, 442, 365, 30, 30, NA, 96568,  N*
4, 11.9, 637640, 26667, 4538, 9765, 16567, 7368, 1875, 1356, 41, 50, NA, 705776,  N*
5, 12.9, 838426, 610897, 24940, 66307, 42197, 37954, 19366, 11021, 57, 75, NA, 1651108,  N*
6, 14.9, 105144, 9151, 2118, 991, 544, 1826, 1084, 216, 63, 74, NA, 121074,  N*
7, 17.9, 2387167, 984141, 336654, 246377, 72396, 257746, 29987, 15885, 67, 74, NA, 4330353,  N*
8, 19.9, 1514433, 194735, 44514, 14541, 14454, 8767, 11074, 6662, 40, 64, NA, 1809180,  N*
9, 20.9, 939970, 306863, 15493, 11949, 11681, 13264, 5080, 8953, 35, 61, NA, 1313253,  N*
10, 22.9, 492759, 136847, 8565, 12071, 7309, 7640, 22965, 4180, 38, 61, NA, 692336,  N*
11, 25.9, 97028, 99855, 11905, 4753, 18616, 6865, 3789, 1259, 34, 53, NA, 244070,  N*
12, 26.9, 377111, 141736, 5757, 5447, 7322, 2461, 2463, 2869, 29, 56, NA, 545166,  N*
13, 28.9, 705184, 70085, 5316, 16835, 11324, 19141, 12560, 7310, 37, 51, NA, 847755,  N*
14, 29.9, 245381, 47864, 1648, 10021, 4837, 3009, 1695, 553, 41, 53, NA, 315008,  N*
15, 31.8, 1162702, 322354, 29845, 42680, 18141, 25475, 6800, 6006, 53, 61, NA, 1614003,  N*
16, 32.9, 213696, 24023, 3059, 1683, 2091, 751, 667, 645, 24, 63, NA, 246615,  N*
17, 34.8, 284022, 13766, 2785, 2162, 1597, 1140, 816, 262, 26, 64, NA, 306550,  N*
18, 37.8, 948418, 176951, 24193, 41686, 9164, 15971, 11633, 3644, 26, 80, NA, 1231660,  N*
19, 39.8, 261831, 11777, 3089, 1306, 4529, 2706, 2432, 1252, 43, 53, NA, 288922,  N*
20, 40.8, 605830, 84993, 34897, 8147, 15856, 10917, 12302, 4377, 51, 69, NA, 777319,  N*
21, 42.8, 79933, 86226, 1017, 7648, 1543, 3828, 3754, 1991, 48, 70, NA, 185940,  N*
22, 43.8, 154217, 12341, 735, 3892, 2169, 2650, 3140, 1734, 48, 70, NA, 180878,  N*
23, 45.8, 27637, 46619, 6457, 5326, 1647, 7341, 6950, 2487, 51, 66, NA, 104464,  N*
24, 46.8, 286765, 14893, 12289, 7213, 4876, 2080, 3389, 907, 69, 83, NA, 332412,  N*
25, 48.8, 140810, 7034, 6012, 4376, 14315, 20300, 11365, 5039, 87, 81, NA, 209251,  N*
26, 49.8, 163520, 18213, 28010, 9625, 22153, 7047, 8408, 3010, 70, 88, NA, 259986,  N*
27, 51.8, 149818, 157040, 15625, 11115, 12186, 15594, 8418, 2238, 75, 75, NA, 372034,  N*
28, 52.8, 187860, 27428, 4165, 16103, 6467, 18854, 9152, 2109, 60, 77, NA, 272138,  N*
29, 54.8, 224937, 44293, 15965, 3082, 11133, 7661, 14003, 3723, 60, 67, NA, 324797,  N*
30, 57.8, 169078, 32550, 5958, 1575, 2301, 1144, 843, 416, 51, 69, NA, 213865,  N*
31, 59.8, 155375, 63093, 2130, 37338, 9627, 12905, 12094, 9092, 24, 60, NA, 301654,  N*
32, 60.7, 88308, 7146, 1729, 1054, 3196, 2582, 1782, 1064, 61, 57, NA, 106861,  N
33, 62.7, 47485, 58288, 20106, 3389, 3646, 3362, 3752, 836, 66, 75, NA, 140864,  N
34, 63.7, 126120, 40423, 1583, 24792, 3938, 4565, 1567, 1789, 43, 87, NA, 204777,  N
35, 65.7, 1347175, 40442, 32509, 16495, 11015, 19971, 6674, 5192, 41, 96, NA, 1479473,  N
36, 66.8, 1007050, 124620, 19480, 6288, 10539, 18666, 16497, 4471, 50, 74, NA, 1207611,  N
37, 68.7, 84578, 3949, 6499, 3891, 2447, 2596, 1809, 1280, 57, 80, NA, 107049,  N
38, 69.7, 396106, 20446, 4507, 946, 4331, 4911, 4444, 1051, 60, 74, NA, 436742,  N
39, 71.7, 73106, 62401, 1281, 8336, 11063, 24181, 10942, 2594, 67, 69, NA, 193904,  N
40, 72.7, 105886, 64389, 9526, 13286, 10434, 20081, 8743, 6141, 81, 66, NA, 238486,  N
41, 74.7, 106004, 16258, 2845, 1851, 3180, 7016, 1802, 2774, 84, 66, NA, 141730,  N
42, 77.7, 31208, 12565, 20177, 4717, 13080, 7867, 8263, 11602, 81, 83, NA, 109479,  N
43, 79.7, 95394, 10692, 6016, 5556, 7661, 13902, 15034, 4290, 69, 81, NA, 158545,  N
44, 80.7, 110644, 7321, 250, 1233, 3121, 6197, 1734, 1410, 93, 64, NA, 131910,  N
45, 82.7, 43978, 80122, 4612, 24103, 12449, 11765, 8559, 2342, 84, 61, NA, 187930,  N
46, 83.7, 28532, 12187, 2504, 9004, 9650, 12267, 4129, 5712, 83, 64, NA, 83985,  N
47, 85.6, 69618, 12218, 4182, 1962, 1345, 4128, 1523, 757, 75, 77, NA, 95733,  N
48, 86.6, 58845, 12198, 2856, 5795, 9327, 9408, 8415, 5283, 87, 64, NA, 112127,  N
49, 86.6, 730630, 218190, 59537, 57465, 16314, 30600, 10808, 8215, 74, 66, NA, 1131759,  N
