obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 16236, 32826, 30630, 13233, 9025, 18777, 9985, 6902, NA, NA, NA, 137614,  A*
2, 6.0, 112974, 79191, 14512, 5982, 2063, 6451, 13782, 2229, NA, NA, NA, 237184,  A*
3, 6.9, 820380, 16929, 45353, 5048, 3283, 8662, 10537, 6350, 43, 51, NA, 916542,  A*
4, 8.9, 1250811, 101927, 41708, 78005, 20684, 18670, 16368, 18195, 41, 56, NA, 1546368,  A*
5, 9.9, 1315340, 35211, 27371, 8992, 22580, 19482, 8163, 2460, 63, 48, NA, 1439599,  A*
6, 11.9, 738649, 316659, 8802, 24269, 44460, 38794, 42018, 20089, 61, 16, NA, 1233740,  A*
7, 12.9, 1121635, 109192, 20387, 31799, 12414, 43455, 47226, 11862, 90, 1, NA, 1397970,  A*
8, 14.9, 1412337, 323775, 26069, 34133, 17829, 36521, 32500, 26844, 75, 1, NA, 1910008,  A*
9, 17.9, 163544, 63751, 2588, 7585, 5126, 2537, 2195, 1744, 30, 1, NA, 249070,  A*
10, 19.9, 27655, 21987, 7270, 8468, 3661, 19674, 24646, 11614, 78, 4, NA, 124975,  A*
11, 20.9, 257682, 149378, 18194, 13472, 26922, 18393, 27580, 5160, 96, 21, NA, 516781,  A*
12, 22.9, 892254, 71385, 51493, 15145, 16522, 22880, 19238, 21056, 77, 30, NA, 1109973,  A*
13, 23.9, 134105, 9993, 2929, 5383, 1907, 5045, 11895, 2158, 57, 30, NA, 173415,  A*
14, 25.9, 560067, 57270, 12347, 4877, 24378, 55650, 15531, 8606, 80, 27, NA, 738726,  A*
15, 26.9, 23004, 18390, 14805, 22985, 11896, 35383, 20258, 8057, 88, 16, NA, 154778,  A*
16, 28.9, 226231, 34628, 15873, 2650, 3100, 10475, 10909, 2712, 84, 14, NA, 306578,  A*
17, 29.9, 2739340, 52281, 80670, 27033, 34957, 9378, 13758, 13161, 50, 41, NA, 2970578,  A*
18, 31.9, 257485, 32751, 15308, 4314, 1233, 2324, 3781, 1053, 20, 41, NA, 318249,  A*
19, 32.9, 66770, 10575, 5175, 3664, 4429, 11406, 12388, 5940, 47, 30, NA, 120347,  A*
20, 34.9, 15066, 15745, 4896, 8878, 17052, 37316, 16124, 5310, 77, 16, NA, 120387,  A*
21, 37.8, 868364, 118558, 21259, 25809, 31731, 23045, 35321, 6369, 84, 24, NA, 1130456,  A*
22, 39.8, 100162, 119306, 15304, 11398, 28097, 28187, 17028, 10699, 51, 29, NA, 330181,  A*
23, 40.8, 84781, 18925, 2650, 1363, 2768, 3529, 10932, 2334, 78, 21, NA, 127282,  A*
24, 42.8, 71009, 24676, 3323, 4084, 1355, 6459, 7433, 1337, 67, 20, NA, 119676,  A*
25, 43.9, 45672, 70629, 2265, 4400, 39498, 17476, 18960, 14333, 44, 1, NA, 213233,  A*
26, 45.8, 4024, 9987, 4046, 3539, 5718, 9627, 24474, 5859, 57, 1, NA, 67274,  A*
27, 46.8, 183046, 40755, 8193, 3509, 16458, 4438, 3359, 7159, 66, 13, NA, 266917,  A*
28, 48.8, 91977, 34740, 2112, 1135, 3342, 5212, 5684, 3271, 61, 16, NA, 147473,  A*
29, 49.8, 253619, 15920, 6647, 4498, 2381, 16022, 3164, 1992, 53, 17, NA, 304243,  A*
30, 51.8, 267337, 67978, 31289, 10808, 24927, 14586, 26325, 4328, 56, 24, NA, 447578,  A*
31, 52.8, 153520, 45330, 12462, 19822, 3226, 9795, 3049, 3662, 53, 35, NA, 250866,  A*
32, 54.8, 323958, 42205, 2922, 5468, 3301, 9352, 3502, 3540, 41, 27, NA, 394248,  A*
33, 57.8, 995188, 39943, 22104, 13578, 4388, 18494, 39245, 4732, 44, 47, NA, 1137672,  A*
34, 59.7, 64793, 16284, 1035, 2234, 2811, 14898, 3115, 2606, 64, 37, NA, 107776,  A*
35, 60.8, 199539, 34467, 4232, 7612, 5841, 3681, 5234, 2493, 60, 23, NA, 263099,  A
36, 62.7, 977623, 16338, 45629, 23986, 21390, 16138, 15513, 4770, 61, 37, NA, 1121387,  A
37, 63.7, 5903, 17666, 15747, 7935, 3906, 11146, 6787, 6139, 48, 51, NA, 75229,  A
38, 65.7, 14784, 7332, 3646, 5661, 3336, 18425, 8426, 4261, 74, 53, NA, 65871,  A
39, 66.7, 1516619, 135610, 65680, 18263, 13230, 20451, 45016, 4603, 66, 53, NA, 1819472,  A
40, 68.7, 8662, 23246, 3865, 2467, 13264, 25783, 12765, 3608, 78, 35, NA, 93660,  A
41, 69.7, 26599, 53123, 19708, 26172, 16652, 15910, 26977, 14432, 54, 30, NA, 199573,  A
42, 71.7, 36386, 17205, 6907, 7361, 6218, 18822, 14709, 16575, 75, 26, NA, 124183,  A
43, 72.7, 9109, 16205, 3621, 20038, 10454, 12856, 21826, 8805, 69, 43, NA, 102914,  A
44, 74.7, 106068, 6915, 2863, 2665, 4316, 4437, 2525, 2396, 77, 38, NA, 132185,  A
45, 77.7, 21623, 8708, 1109, 4006, 5745, 19965, 16692, 9228, 88, 30, NA, 87076,  A
46, 79.7, 17585, 77000, 51829, 6769, 17355, 38758, 50602, 7249, 53, 13, NA, 267147,  A
47, 80.7, 99802, 21608, 4205, 1056, 1526, 1706, 910, 688, 20, 14, NA, 131501,  A
48, 82.7, 994644, 222026, 34852, 23645, 36874, 13640, 8969, 8289, 13, 24, NA, 1342939,  A
49, 82.7, 526947, 191743, 34529, 30745, 19677, 19657, 134729, 13469, 1, 21, NA, 971496,  A
