obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 174533, 32746, 5792, 4706, 3421, 3150, 466, 699, NA, NA, NA, 225513,  N*
2, 7.0, 376046, 1121072, 88194, 68678, 21239, 18025, 8875, 5216, NA, NA, NA, 1707345,  N*
3, 9.0, 829241, 337437, 12567, 21358, 4644, 5142, 3473, 1257, 30, 30, NA, 1215119,  N*
4, 10.0, 761292, 251768, 107461, 24245, 136049, 43769, 10625, 2188, 54, 61, NA, 1337397,  N*
5, 12.0, 70638, 43228, 2179, 1872, 9838, 2455, 671, 799, 64, 48, NA, 131680,  N*
6, 12.9, 264777, 110769, 1764, 12425, 2489, 7260, 4850, 3115, 61, 10, NA, 407449,  N*
7, 14.9, 585287, 97447, 22028, 21083, 24770, 12248, 6216, 2371, 56, 10, NA, 771450,  N*
8, 17.9, 1443984, 498513, 52270, 6554, 25191, 10011, 6863, 11700, 69, 35, NA, 2055086,  N*
9, 19.9, 110431, 71178, 22526, 10026, 8618, 3040, 1600, 2779, 64, 56, NA, 230198,  N*
10, 20.9, 96598, 8683, 2688, 2704, 2161, 514, 600, 100, 69, 87, NA, 114048,  N*
11, 22.9, 133044, 29030, 21076, 2312, 1692, 2294, 1233, 1052, 69, 90, NA, 191733,  N*
12, 23.9, 2086442, 480264, 122384, 118230, 62659, 19327, 31875, 15274, 43, 74, NA, 2936455,  N*
13, 25.9, 1037068, 555370, 73040, 156663, 101135, 29733, 64359, 27343, 43, 69, NA, 2044711,  N*
14, 26.9, 378999, 17562, 15786, 3625, 6572, 3047, 2061, 880, 50, 91, NA, 428532,  N*
15, 28.9, 342281, 133328, 51538, 10235, 24404, 9017, 7258, 3801, 54, 90, NA, 581862,  N*
16, 29.9, 349830, 86759, 40453, 10390, 4870, 3190, 1291, 1078, 50, 88, NA, 497861,  N*
17, 31.9, 659586, 121370, 85560, 35529, 15275, 19281, 8849, 7706, 50, 90, NA, 953156,  N*
18, 32.9, 781154, 977618, 142188, 63059, 26241, 13191, 15332, 12416, 40, 87, NA, 2031199,  N*
19, 34.9, 1764498, 287162, 8868, 37532, 10224, 20116, 9413, 7603, 51, 69, NA, 2145416,  N*
20, 37.9, 62071, 15769, 9392, 458, 790, 1472, 551, 368, 47, 43, NA, 90871,  N*
21, 39.8, 514985, 28408, 12032, 12921, 3865, 10814, 6379, 4362, 88, 83, NA, 593766,  N*
22, 40.8, 471737, 26923, 4138, 4974, 3310, 3318, 1593, 712, 94, 78, NA, 516705,  N*
23, 42.9, 203718, 39358, 15829, 3763, 2981, 1870, 2268, 2158, 94, 77, NA, 271945,  N*
24, 43.8, 48566, 8401, 2808, 4099, 2022, 3226, 1247, 1100, 78, 61, NA, 71469,  N*
25, 45.8, 474778, 117121, 5526, 5026, 12339, 16290, 11826, 3229, 81, 47, NA, 646135,  N*
26, 46.8, 250950, 45411, 12006, 2815, 3303, 1987, 1676, 1472, 100, 34, NA, 319620,  N*
27, 48.8, 589635, 38099, 2160, 10821, 1986, 1561, 1046, 660, 80, 26, NA, 645968,  N*
28, 49.8, 6613, 5135, 4809, 7114, 8636, 8130, 4020, 1272, 78, 84, NA, 45729,  N*
29, 51.8, 26115, 17929, 3926, 4278, 7257, 6100, 2917, 3586, 93, 84, NA, 72108,  N*
30, 52.8, 789257, 141062, 32517, 9620, 10399, 10768, 9155, 3492, 96, 77, NA, 1006270,  N*
31, 54.8, 1566868, 153400, 35419, 18570, 23467, 5992, 5053, 2999, 70, 67, NA, 1811768,  N*
32, 57.8, 26126, 21900, 8067, 4019, 4239, 11410, 7178, 949, 84, 74, NA, 83888,  N*
33, 59.8, 13685, 21420, 3567, 9339, 7777, 9843, 5886, 1850, 100, 83, NA, 73367,  N*
34, 60.8, 81665, 47707, 8189, 2237, 897, 4237, 922, 1045, 96, 80, NA, 146899,  N
35, 62.8, 36704, 74594, 8624, 10301, 8861, 9657, 11131, 7172, 96, 64, NA, 167044,  N
36, 63.8, 34828, 22065, 9637, 5619, 2683, 9364, 3375, 2657, 91, 64, NA, 90228,  N
37, 65.7, 5328, 6786, 1401, 5614, 3656, 11778, 4886, 2892, 100, 70, NA, 42341,  N
38, 66.8, 12012, 52043, 16194, 14767, 15111, 8832, 11787, 6585, 94, 70, NA, 137331,  N
39, 68.7, 92444, 8401, 1564, 4488, 4603, 2385, 1541, 893, 87, 69, NA, 116319,  N
40, 69.8, 23795, 7716, 10601, 6035, 14390, 13712, 11061, 4247, 94, 80, NA, 91557,  N
41, 71.7, 30580, 13852, 3781, 3136, 3195, 15213, 13751, 1641, 100, 69, NA, 85149,  N
42, 72.8, 572456, 177545, 7923, 18170, 10179, 7031, 4509, 2195, 80, 56, NA, 800008,  N
43, 74.7, 975636, 140111, 21476, 8800, 23002, 23949, 2526, 4222, 66, 43, NA, 1199722,  N
44, 77.7, 74647, 23678, 9476, 9970, 14079, 6125, 6023, 2942, 67, 61, NA, 146940,  N
45, 79.7, 60674, 12242, 8524, 9135, 2062, 3903, 1066, 1269, 64, 77, NA, 98875,  N
46, 80.7, 15490, 5263, 3982, 2393, 3533, 14330, 8551, 1677, 93, 63, NA, 55219,  N
47, 82.7, 327073, 16883, 5835, 5564, 3997, 11809, 4621, 2776, 100, 74, NA, 378558,  N
48, 83.7, 1476302, 53133, 16259, 9549, 3836, 4042, 3066, 3493, 77, 69, NA, 1569680,  N
49, 85.7, 16215, 4655, 5122, 2528, 5640, 8226, 5762, 5003, 70, 75, NA, 53151,  N
50, 86.7, 4266, 3739, 4781, 3709, 3429, 6564, 3704, 3715, 83, 80, NA, 33907,  N
51, 88.7, 23353, 12856, 6565, 2987, 4036, 4538, 4412, 6665, 94, 80, NA, 65412,  N
52, 89.7, 103746, 142541, 23462, 12321, 9817, 17901, 9213, 2761, 69, 63, NA, 321762,  N
53, 91.7, 72877, 16079, 4835, 941, 3385, 3547, 1490, 1069, 60, 51, NA, 104223,  N
54, 92.7, 35306, 18288, 4103, 6462, 3439, 2991, 1249, 1563, 54, 70, NA, 73401,  N
55, 94.6, 60477, 17973, 1642, 3242, 2788, 2152, 3068, 1370, 54, 70, NA, 92712,  N
56, 97.6, 10603, 19512, 1601, 5647, 11002, 16920, 10159, 2515, 74, 60, NA, 77959,  N
57, 99.6, 46852, 14622, 6919, 2121, 3482, 2434, 1636, 1185, 57, 51, NA, 79251,  N
58, 100.6, 137466, 21335, 16916, 1635, 2396, 2279, 2072, 1406, 43, 78, NA, 185505,  N
59, 102.6, 92381, 35655, 8553, 2146, 5628, 1721, 2287, 1012, 41, 83, NA, 149383,  N
60, 103.6, 28925, 33456, 4390, 6607, 5885, 7493, 2116, 2937, 53, 75, NA, 91809,  N
61, 105.6, 3071, 8075, 6062, 7522, 9482, 6355, 8100, 7413, 66, 70, NA, 56080,  N
62, 106.6, 105119, 76033, 17045, 13285, 14516, 7418, 7850, 3493, 78, 83, NA, 244759,  N
63, 108.6, 17725, 64143, 5490, 34922, 13954, 4365, 5136, 2384, 67, 91, NA, 148119,  N
64, 109.6, 215129, 42602, 284, 5945, 10575, 3736, 4612, 764, 41, 60, NA, 283647,  N
65, 111.6, 701840, 42643, 15745, 11969, 3802, 2144, 3452, 880, 35, 67, NA, 782475,  N
66, 112.6, 550964, 66727, 27495, 8252, 5301, 6809, 7901, 2242, 41, 84, NA, 675691,  N
67, 114.6, 291499, 93850, 12663, 8762, 9834, 5671, 5440, 2513, 37, 91, NA, 430232,  N
68, 114.6, 1970199, 301483, 123475, 41500, 17410, 48003, 15451, 24819, 48, 78, NA, 2542340,  N
