obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 481, 91, 20, 20, 22, 10, 3, 2, NA, NA, NA, 649,  N*
2, 6.9, 1194, 1099, 154, 233, 132, 213, 365, 214, NA, NA, NA, 3604,  N*
3, 8.9, 2511, 9304, 5159, 5093, 1633, 631, 873, 837, 30, 51, NA, 26041,  N*
4, 9.9, 1036728, 36401, 59940, 6780, 8558, 3966, 5239, 1238, 14, 54, NA, 1158850,  N*
5, 11.9, 189396, 53815, 14412, 3818, 4223, 5255, 1012, 440, 17, 51, NA, 272371,  N*
6, 12.9, 132796, 66193, 11563, 8131, 3950, 3134, 1852, 1701, 30, 67, NA, 229320,  N*
7, 14.9, 470296, 175172, 29263, 33787, 20317, 12653, 6656, 2782, 35, 48, NA, 750926,  N*
8, 17.9, 3867587, 274062, 32953, 61403, 12741, 24745, 29871, 6895, 30, 43, NA, 4310257,  N*
9, 19.9, 1184611, 724164, 61256, 55220, 25379, 11733, 18123, 9716, 14, 40, NA, 2090202,  N*
10, 20.9, 2319421, 365962, 58707, 74620, 47825, 24412, 29047, 8065, 4, 34, NA, 2928059,  N*
11, 22.9, 68259, 45487, 3276, 2867, 5015, 3261, 1784, 847, 16, 14, NA, 130796,  N*
12, 23.9, 49199, 55863, 1482, 6389, 3361, 1238, 2197, 1980, 17, 1, NA, 121709,  N*
13, 25.8, 1736851, 71960, 22193, 16542, 8070, 8419, 10493, 3195, 26, 1, NA, 1877723,  N*
14, 26.8, 1425219, 463005, 16718, 33486, 4682, 13555, 8145, 3434, 3, 30, NA, 1968244,  N*
15, 28.8, 1410949, 407602, 268900, 45233, 31000, 27905, 7796, 8193, 13, 51, NA, 2207578,  N*
16, 29.8, 1660553, 699193, 62737, 48278, 30071, 14764, 14591, 9657, 4, 47, NA, 2539844,  N*
17, 31.8, 692400, 48991, 30373, 6909, 9961, 7078, 7964, 2138, 20, 67, NA, 805814,  N*
18, 32.8, 1122366, 422943, 20147, 8737, 37751, 13501, 6532, 6364, 17, 23, NA, 1638341,  N*
19, 34.8, 772714, 153317, 60442, 10212, 6191, 8879, 6054, 2177, 27, 38, NA, 1019986,  N*
20, 37.8, 623335, 66243, 27421, 785, 6811, 3474, 3210, 1157, 3, 27, NA, 732436,  N*
21, 39.8, 538179, 67020, 5974, 40391, 3865, 4557, 5226, 2160, 10, 67, NA, 667372,  N*
22, 40.8, 2098984, 621115, 338355, 63610, 24250, 13454, 9460, 14688, 8, 47, NA, 3183916,  N*
23, 42.8, 455823, 85740, 9623, 3099, 4398, 4085, 1346, 1374, 23, 43, NA, 565488,  N*
24, 43.8, 195010, 37126, 874, 9819, 2056, 673, 585, 738, 1, 38, NA, 246881,  N*
25, 45.8, 105533, 39493, 8896, 1228, 1679, 972, 1723, 269, 1, 26, NA, 159793,  N*
26, 46.8, 1604253, 70996, 67676, 15411, 20337, 24696, 10707, 6151, 8, 29, NA, 1820227,  N*
27, 48.8, 1945824, 182813, 35719, 26724, 43017, 10362, 6640, 4888, 26, 35, NA, 2255987,  N*
28, 49.8, 908510, 73313, 27726, 9770, 6940, 13996, 4981, 2270, 87, 78, NA, 1047506,  N*
29, 51.8, 309962, 70551, 8122, 7246, 1848, 3004, 3588, 1642, 69, 66, NA, 405963,  N*
30, 52.8, 2637597, 258127, 69387, 25680, 15436, 11089, 11104, 4383, 40, 41, NA, 3032803,  N*
31, 54.8, 737433, 134774, 7843, 41157, 12559, 5964, 5977, 5403, 23, 38, NA, 951110,  N*
32, 57.7, 226831, 26015, 14671, 3723, 4784, 9076, 3917, 2444, 48, 67, NA, 291461,  N*
33, 59.7, 1052747, 23669, 1456, 17352, 6457, 3489, 2632, 1917, 75, 78, NA, 1109719,  N*
34, 60.7, 121591, 56661, 4381, 5351, 4586, 5902, 2765, 995, 77, 67, NA, 202232,  N
35, 62.7, 200481, 15812, 18306, 10338, 6136, 6540, 2649, 3173, 84, 75, NA, 263435,  N
36, 63.7, 138240, 63952, 23929, 5413, 1197, 4556, 2879, 1782, 67, 64, NA, 241948,  N
37, 65.7, 901671, 170011, 7422, 46556, 19292, 7558, 7877, 4343, 57, 70, NA, 1164730,  N
38, 66.7, 59357, 45935, 22506, 14299, 26893, 10428, 6571, 4970, 53, 57, NA, 190959,  N
39, 68.7, 10829, 29283, 10589, 7519, 3160, 10808, 2565, 3032, 70, 57, NA, 77785,  N
40, 69.7, 131964, 35925, 11495, 3297, 2003, 1675, 1427, 535, 91, 67, NA, 188321,  N
41, 71.7, 76344, 14300, 1146, 686, 1458, 3210, 2022, 955, 88, 56, NA, 100121,  N
42, 72.7, 212924, 30632, 27451, 7339, 6270, 8521, 14552, 2070, 50, 70, NA, 309759,  N
43, 74.7, 118477, 29580, 13688, 4020, 2873, 1699, 753, 737, 51, 74, NA, 171827,  N
44, 77.7, 25247, 2843, 8258, 13738, 8364, 6980, 6107, 2640, 61, 94, NA, 74177,  N
45, 79.6, 282438, 30204, 5050, 5928, 3165, 4381, 4348, 2692, 61, 66, NA, 338206,  N
46, 80.6, 81509, 16746, 1748, 6451, 3394, 3105, 697, 334, 67, 74, NA, 113984,  N
47, 82.6, 392754, 108684, 24410, 9157, 9338, 18324, 10946, 2671, 63, 64, NA, 576284,  N
48, 83.6, 797689, 327830, 145086, 31801, 22403, 11027, 3766, 3017, 47, 70, NA, 1342619,  N
49, 85.6, 796900, 190020, 6572, 5162, 9506, 10560, 6632, 3937, 38, 54, NA, 1029289,  N
50, 86.6, 269738, 67479, 16206, 20929, 5544, 6611, 4204, 4154, 24, 51, NA, 394865,  N
51, 88.6, 233442, 16009, 17637, 5582, 1893, 1571, 681, 1332, 30, 61, NA, 278147,  N
52, 89.6, 101913, 85173, 9635, 3310, 2848, 5075, 2344, 429, 40, 77, NA, 210727,  N
53, 91.6, 553378, 19620, 4714, 3858, 1360, 1858, 1708, 894, 41, 74, NA, 587390,  N
54, 92.6, 98003, 5149, 2534, 767, 2020, 5133, 2461, 894, 53, 54, NA, 116961,  N
55, 94.6, 75087, 50761, 10907, 10495, 16654, 6639, 5089, 4554, 57, 60, NA, 180186,  N
56, 97.6, 908072, 175019, 31571, 9608, 11605, 8223, 5115, 2818, 74, 51, NA, 1152031,  N
57, 99.6, 41605, 99025, 3538, 3736, 2165, 964, 1127, 590, 29, 29, NA, 152750,  N
58, 100.6, 301300, 42730, 15725, 5655, 3672, 3383, 4293, 2934, 34, 29, NA, 379692,  N
59, 102.6, 122957, 133407, 10133, 13839, 30226, 18239, 9389, 5842, 29, 37, NA, 344032,  N
60, 103.6, 17039, 17411, 6763, 2913, 1389, 5228, 2165, 825, 53, 54, NA, 53733,  N
61, 105.5, 86432, 18861, 7721, 2606, 2014, 3433, 921, 865, 60, 56, NA, 122853,  N
62, 106.6, 15973, 14218, 11325, 2953, 8713, 5598, 7277, 1537, 88, 70, NA, 67594,  N
63, 108.5, 159216, 44745, 10750, 8637, 4290, 2281, 1135, 913, 74, 69, NA, 231967,  N
64, 109.5, 104913, 8257, 4056, 669, 1134, 1329, 1129, 580, 44, 67, NA, 122067,  N
65, 111.5, 30503, 12884, 6121, 20116, 6997, 4922, 10342, 4451, 40, 75, NA, 96336,  N
66, 111.5, 996513, 675061, 8716, 42863, 36309, 45854, 38081, 7997, 53, 61, NA, 1851394,  N
