obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 163517, 10162, 2998, 7574, 5611, 13061, 6369, 1212, NA, NA, NA, 210504,  A*
2, 7.0, 1374520, 346125, 68333, 20869, 41953, 70027, 42366, 24299, NA, NA, NA, 1988492,  A*
3, 9.0, 218356, 26205, 8644, 6924, 9999, 7143, 4570, 1885, 38, 44, NA, 283726,  A*
4, 10.0, 408962, 39556, 21839, 28822, 13725, 25762, 25701, 5715, 37, 64, NA, 570082,  A*
5, 11.9, 132064, 53180, 3002, 1937, 4087, 3858, 2378, 1989, 26, 47, NA, 202495,  A*
6, 13.0, 88225, 36055, 15036, 4550, 4377, 6426, 1646, 618, 20, 27, NA, 156933,  A*
7, 14.9, 411266, 127260, 6374, 20397, 8959, 2094, 4297, 2973, 1, 11, NA, 583620,  A*
8, 19.9, 307558, 94840, 29688, 6986, 12147, 12822, 13893, 7561, 13, 44, NA, 485495,  A*
9, 20.9, 18353, 29472, 21307, 26391, 8834, 10918, 5278, 1897, 30, 78, NA, 122450,  A*
10, 22.9, 217167, 22860, 57964, 15410, 13334, 26363, 8209, 6533, 41, 96, NA, 367840,  A*
11, 23.9, 116181, 174278, 22856, 26665, 29685, 14808, 2218, 7281, 47, 100, NA, 393972,  A*
12, 25.9, 306697, 62717, 1330, 6337, 30436, 7283, 7170, 4451, 43, 63, NA, 426421,  A*
13, 26.9, 1612286, 61324, 36932, 24738, 10875, 22307, 9473, 5923, 47, 44, NA, 1783858,  A*
14, 28.9, 73539, 14242, 8049, 5147, 8499, 3429, 4954, 2336, 51, 56, NA, 120195,  A*
15, 29.9, 362527, 230261, 16636, 32356, 12412, 19139, 2953, 3123, 38, 77, NA, 679407,  A*
16, 31.9, 175603, 110220, 8982, 18070, 7114, 19454, 6239, 2728, 37, 57, NA, 348410,  A*
17, 32.9, 366170, 107152, 60289, 7145, 5695, 26532, 8618, 4696, 27, 35, NA, 586297,  A*
18, 34.9, 159716, 38576, 9115, 11261, 8258, 8383, 3477, 874, 37, 44, NA, 239660,  A*
19, 37.9, 198540, 23584, 6469, 1219, 1356, 5527, 2021, 1023, 41, 74, NA, 239739,  A*
20, 39.8, 279425, 36626, 35298, 25497, 8552, 14622, 14929, 2168, 48, 90, NA, 417117,  A*
21, 40.8, 200139, 30342, 29569, 22902, 5220, 13642, 4780, 737, 38, 100, NA, 307331,  A*
22, 42.8, 35054, 60920, 728, 15283, 20086, 26922, 36490, 3749, 48, 100, NA, 199232,  A*
23, 43.8, 425488, 22805, 27682, 5578, 10478, 8992, 5582, 6799, 53, 93, NA, 513404,  A*
24, 45.8, 50312, 30025, 9086, 24029, 29772, 35715, 13388, 10126, 64, 78, NA, 202453,  A*
25, 46.8, 30365, 14393, 8438, 8151, 7881, 12005, 8119, 7680, 77, 97, NA, 97032,  A*
26, 48.8, 35136, 14902, 13265, 11572, 20507, 9385, 14547, 6964, 81, 93, NA, 126278,  A*
27, 49.8, 747002, 437599, 72220, 18547, 43236, 19617, 48392, 14671, 48, 78, NA, 1401284,  A*
28, 51.8, 213090, 20428, 3023, 984, 11112, 3243, 3993, 1977, 40, 54, NA, 257850,  A*
29, 52.8, 559763, 329676, 102585, 23959, 13606, 15965, 7395, 6453, 8, 37, NA, 1059402,  A*
30, 54.8, 94168, 60184, 6948, 1823, 7480, 15719, 7627, 5409, 24, 27, NA, 199358,  A*
31, 57.8, 50743, 38186, 5239, 3636, 4606, 3941, 3747, 1265, 37, 40, NA, 111363,  A*
32, 59.8, 84695, 75262, 56015, 27908, 14844, 5699, 7186, 703, 21, 75, NA, 272312,  A*
33, 60.8, 52210, 9051, 1499, 1923, 3858, 1197, 333, 237, 24, 70, NA, 70308,  A
