obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.9, 23890, 6590, 4010, 2832, 1800, 4004, 8011, 1636, NA, NA, NA, 52773,  7*
2, 9.0, 1006340, 389464, 40609, 8255, 25833, 16530, 14686, 10349, NA, NA, NA, 1512066,  7*
3, 9.9, 1051051, 1275057, 121567, 171502, 75329, 35632, 46150, 40433, 30, 40, NA, 2816721,  7*
4, 11.9, 2678021, 173414, 17149, 17595, 52882, 14136, 19813, 5916, 30, 37, NA, 2978926,  7*
5, 14.9, 571188, 195047, 34807, 68136, 24677, 9985, 11098, 9866, 21, 41, NA, 924804,  7*
6, 19.9, 474719, 51518, 6687, 8000, 14832, 2926, 5993, 5644, 29, 48, NA, 570319,  7*
7, 22.9, 358198, 227992, 25637, 88959, 50822, 53043, 42101, 17388, 38, 61, NA, 864140,  7*
8, 23.9, 1686374, 244341, 52070, 137844, 130693, 78211, 14568, 33126, 60, 54, NA, 2377227,  7*
9, 25.9, 1305033, 360961, 134580, 41011, 87179, 46927, 59554, 69219, 61, 63, NA, 2104464,  7*
10, 26.9, 101119, 46266, 82038, 21829, 18146, 5937, 5700, 12303, 54, 100, NA, 293338,  7*
11, 28.9, 606496, 23652, 4727, 3998, 4764, 2776, 3392, 1917, 48, 96, NA, 651722,  7*
12, 29.9, 953773, 399116, 61567, 17476, 23512, 13716, 16715, 8762, 27, 69, NA, 1494637,  7*
13, 31.9, 744906, 77297, 58918, 15777, 6620, 13209, 17997, 4648, 35, 64, NA, 939372,  7*
14, 32.9, 273217, 150957, 32821, 13220, 12255, 8812, 11264, 10707, 34, 69, NA, 513253,  7*
15, 34.8, 438674, 35988, 10025, 8538, 9437, 8927, 4654, 1688, 48, 78, NA, 517931,  7*
16, 37.8, 193431, 36090, 4003, 3543, 6685, 3536, 2223, 2588, 48, 61, NA, 252099,  7*
17, 39.8, 1288405, 360722, 92831, 104526, 89462, 66464, 38094, 16406, 30, 43, NA, 2056910,  7*
18, 40.8, 1202124, 189933, 78405, 116543, 39874, 28001, 65136, 13216, 44, 74, NA, 1733232,  7*
19, 42.8, 663360, 151374, 69154, 40471, 7279, 8246, 10649, 3497, 44, 83, NA, 954030,  7*
20, 43.8, 560335, 24678, 3874, 9460, 8608, 11508, 14390, 4743, 47, 78, NA, 637596,  7*
21, 45.8, 776441, 261502, 21790, 3810, 14957, 14580, 19609, 2036, 43, 51, NA, 1114725,  7*
22, 46.8, 1501023, 171192, 66477, 23937, 71188, 51390, 52714, 11541, 66, 38, NA, 1949462,  7*
23, 48.8, 333311, 166703, 11992, 17572, 2882, 7396, 12442, 3759, 50, 30, NA, 556057,  7*
24, 49.8, 1515508, 46365, 90452, 19621, 19316, 12946, 7059, 5872, 57, 56, NA, 1717139,  7*
25, 51.8, 1281296, 112059, 27896, 12793, 15610, 20828, 15411, 11971, 54, 54, NA, 1497864,  7*
26, 52.8, 721259, 248409, 57018, 62899, 39289, 21471, 9071, 2933, 54, 81, NA, 1162349,  7*
27, 54.8, 1704975, 71866, 10862, 46918, 39305, 17103, 13258, 3268, 60, 67, NA, 1907555,  7*
28, 59.7, 695550, 110399, 53291, 14958, 26076, 18047, 12115, 5323, 56, 80, NA, 935759,  7*
29, 60.7, 1247895, 68653, 11179, 30138, 119679, 23231, 13281, 6778, 63, 74, NA, 1520834,  7
30, 62.8, 1247410, 225386, 33551, 25661, 82804, 57949, 32686, 8172, 67, 56, NA, 1713619,  7
31, 63.8, 555739, 17637, 16293, 24890, 25733, 18178, 9284, 2831, 80, 63, NA, 670585,  7
32, 66.7, 215986, 692506, 50106, 534610, 40577, 170486, 51161, 19512, 77, 78, NA, 1774944,  7
33, 68.7, 443362, 69435, 21002, 22446, 45369, 35145, 5201, 9894, 83, 75, NA, 651854,  7
34, 71.7, 1664707, 226542, 43191, 74270, 58019, 59683, 20126, 2901, 80, 77, NA, 2149439,  7
35, 72.7, 2387704, 585533, 200039, 166088, 612161, 146910, 62495, 27116, 67, 90, NA, 4188046,  7
36, 74.7, 368977, 178155, 14076, 43369, 17220, 5372, 6385, 4578, 53, 69, NA, 638132,  7
37, 77.7, 932481, 183180, 45609, 120152, 20217, 27687, 47115, 13341, 44, 74, NA, 1389782,  7
38, 79.7, 2564820, 322311, 124178, 49839, 17144, 35012, 33469, 3533, 43, 57, NA, 3150306,  7
39, 80.7, 2258468, 237106, 89036, 93425, 33827, 28402, 22329, 26023, 41, 40, NA, 2788616,  7
40, 82.7, 320246, 12865, 2892, 3173, 2026, 2400, 2410, 463, 44, 57, NA, 346475,  7
41, 83.7, 608442, 61103, 2144, 16304, 3702, 15856, 12310, 2653, 64, 64, NA, 722514,  7
42, 85.7, 67739, 17150, 4256, 5782, 3182, 6028, 2726, 1802, 75, 60, NA, 108665,  7
43, 86.7, 1780188, 890830, 45300, 12384, 39653, 23311, 30404, 11087, 50, 24, NA, 2833157,  7
44, 88.6, 1678420, 103556, 83732, 37804, 32812, 17426, 22299, 15426, 41, 38, NA, 1991475,  7
45, 89.6, 987302, 135870, 6195, 28089, 13198, 11752, 14354, 10175, 29, 27, NA, 1206935,  7
46, 91.7, 951567, 138350, 20626, 24379, 21705, 27544, 46502, 10140, 44, 44, NA, 1240813,  7
47, 92.6, 1264587, 191623, 77687, 19693, 49018, 41816, 10710, 2842, 57, 63, NA, 1657976,  7
48, 94.6, 657149, 31457, 7431, 2074, 2291, 1576, 2485, 731, 51, 64, NA, 705194,  7
49, 99.6, 1393633, 119535, 5542, 10821, 9625, 7486, 4036, 6966, 56, 50, NA, 1557644,  7
50, 100.6, 387646, 67342, 26879, 12407, 10270, 5176, 7917, 3592, 38, 60, NA, 521229,  7
51, 102.6, 16267, 39760, 16095, 5529, 6331, 2196, 5262, 1182, 30, 66, NA, 92622,  7
52, 103.6, 356377, 380972, 13446, 16260, 29931, 28140, 23242, 7032, 27, 38, NA, 855400,  7
53, 105.6, 568234, 380555, 22063, 49327, 31537, 25723, 41294, 3306, 27, 24, NA, 1122039,  7
54, 106.6, 194382, 20716, 16031, 10077, 5098, 25374, 8822, 6599, 53, 20, NA, 287099,  7
55, 108.6, 338441, 506483, 50607, 51528, 61017, 31052, 42858, 11506, 51, 30, NA, 1093492,  7
56, 109.6, 1049665, 89101, 7049, 44527, 15469, 22625, 9193, 2000, 75, 54, NA, 1239629,  7
57, 109.6, 1468298, 303345, 64006, 59159, 39626, 61056, 45893, 21357, 63, 50, NA, 2062740,  7
