obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 126816, 6677, 201, 2169, 565, 1294, 714, 278, NA, NA, NA, 138714,  M*
2, 6.9, 468784, 24848, 9682, 10558, 3544, 10517, 18838, 2997, NA, NA, NA, 549768,  M*
3, 8.9, 2668376, 399190, 20042, 36516, 4451, 31824, 17741, 6917, 30, 30, NA, 3185057,  M*
4, 9.9, 761303, 49687, 14700, 2647, 5176, 12844, 2928, 5029, 54, 40, NA, 854314,  M*
5, 11.9, 141284, 36342, 15015, 2125, 4273, 3053, 3252, 1843, 38, 50, NA, 207187,  M*
6, 12.9, 34792, 13702, 10436, 8250, 13042, 5945, 6035, 2759, 20, 81, NA, 94961,  M*
7, 14.9, 307958, 266962, 21206, 37679, 29415, 31134, 16602, 4185, 13, 77, NA, 715141,  M*
8, 17.9, 946190, 201601, 46855, 56632, 17071, 7308, 4611, 6992, 1, 48, NA, 1287260,  M*
9, 19.9, 720363, 100004, 23928, 12643, 11626, 3224, 3881, 1645, 1, 61, NA, 877314,  M*
10, 20.9, 1919265, 120935, 75926, 32482, 35250, 16702, 3768, 3194, 4, 75, NA, 2207522,  M*
11, 22.9, 55053, 29140, 17989, 2201, 2603, 9234, 3909, 3174, 26, 90, NA, 123303,  M*
12, 23.9, 20426, 33890, 2897, 12574, 11631, 14516, 6118, 5449, 54, 90, NA, 107501,  M*
13, 25.9, 443962, 128539, 49799, 15615, 48224, 25509, 7957, 6036, 60, 81, NA, 725641,  M*
14, 26.9, 75672, 39531, 13646, 3868, 5471, 4801, 3940, 3196, 50, 70, NA, 150125,  M*
15, 28.9, 208944, 274929, 5387, 5661, 7310, 12525, 11623, 5108, 27, 47, NA, 531487,  M*
16, 29.9, 13002, 12340, 14364, 5296, 6336, 12960, 3560, 6776, 47, 61, NA, 74634,  M*
17, 31.9, 10856, 14561, 1534, 22297, 6084, 8155, 5233, 1194, 56, 70, NA, 69914,  M*
18, 32.9, 8213, 19395, 10843, 4945, 3225, 12727, 2111, 2232, 78, 100, NA, 63691,  M*
19, 34.8, 35867, 20116, 4524, 1984, 7740, 6582, 1413, 1039, 70, 94, NA, 79265,  M*
20, 37.8, 391974, 38237, 4699, 11050, 3580, 4077, 3099, 1279, 50, 81, NA, 457995,  M*
21, 39.8, 5117, 6242, 1906, 2032, 7762, 10230, 1594, 3003, 47, 74, NA, 37886,  M*
22, 40.8, 260689, 101162, 32567, 13994, 10014, 21611, 5657, 2196, 74, 87, NA, 447890,  M*
23, 42.8, 164079, 64151, 7493, 20544, 17985, 11057, 5308, 3031, 70, 75, NA, 293648,  M*
24, 43.8, 491537, 15071, 4337, 4643, 4835, 3427, 7049, 3354, 43, 78, NA, 534253,  M*
25, 45.8, 388090, 21168, 24589, 7215, 8969, 5721, 8543, 4038, 41, 91, NA, 468333,  M*
26, 46.8, 3694, 12059, 4972, 3599, 6415, 4424, 4735, 2556, 40, 87, NA, 42454,  M*
27, 48.8, 15191, 3147, 8103, 11214, 4937, 10419, 5648, 4382, 53, 100, NA, 63041,  M*
28, 49.8, 5117, 6318, 8137, 3473, 4996, 3256, 1139, 965, 66, 100, NA, 33401,  M*
29, 51.8, 4554, 3107, 604, 2625, 1596, 8714, 1424, 1140, 83, 100, NA, 23764,  M*
30, 52.8, 6677, 2078, 3061, 7874, 2842, 4445, 909, 2272, 96, 88, NA, 30158,  M*
31, 54.8, 3597, 5394, 3005, 5060, 2225, 3331, 1224, 1151, 94, 88, NA, 24987,  M*
32, 57.8, 2345880, 425176, 51982, 37767, 13810, 8473, 6401, 3307, 14, 91, NA, 2892796,  M*
33, 59.8, 49569, 28839, 7541, 13935, 3561, 7461, 4710, 5589, 10, 80, NA, 121205,  M*
34, 60.7, 22729, 9914, 6076, 1234, 1984, 1255, 1196, 579, 1, 88, NA, 44967,  M
35, 62.7, 3583, 4447, 5897, 6116, 1692, 3889, 3295, 1440, 17, 100, NA, 30359,  M
36, 63.7, 26419, 23524, 5390, 18301, 7890, 7397, 4972, 3647, 37, 100, NA, 97540,  M
37, 65.7, 14035, 3109, 1726, 9067, 8298, 3629, 1336, 1018, 48, 100, NA, 42218,  M
38, 66.7, 5738, 4933, 2176, 1682, 1371, 2011, 1552, 785, 50, 81, NA, 20248,  M
39, 68.7, 4000, 7486, 2400, 3783, 1269, 3113, 1914, 1246, 53, 81, NA, 25211,  M
40, 69.7, 89220, 70373, 42362, 5659, 5019, 4572, 790, 545, 41, 74, NA, 218540,  M
41, 71.7, 3434, 12458, 3016, 2558, 3632, 1902, 1160, 1582, 35, 69, NA, 29742,  M
42, 72.7, 23810, 41743, 16482, 13996, 1946, 2911, 11792, 2127, 17, 80, NA, 114807,  M
