obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 1705911, 220828, 68854, 7196, 19828, 16343, 8031, 5627, NA, NA, NA, 2052618,  A*
2, 7.0, 90799, 4349, 448, 3191, 1350, 2207, 2166, 757, NA, NA, NA, 105267,  A*
3, 9.0, 27213, 34889, 8409, 25378, 9057, 9889, 1194, 2794, 43, 51, NA, 118823,  A*
4, 10.0, 221652, 60472, 17503, 5221, 5619, 9223, 6979, 3289, 44, 56, NA, 329958,  A*
5, 11.9, 143191, 28057, 3952, 1059, 1363, 3330, 887, 234, 44, 38, NA, 182073,  A*
6, 12.9, 157627, 41330, 77085, 11781, 7030, 18429, 4997, 1991, 27, 20, NA, 320270,  A*
7, 14.9, 351280, 31863, 126069, 133668, 35089, 58903, 8424, 2133, 37, 50, NA, 747429,  A*
8, 17.9, 740498, 58102, 42139, 12823, 12485, 22901, 8196, 978, 74, 100, NA, 898122,  A*
9, 19.9, 721377, 29819, 55111, 16663, 16902, 6197, 9294, 5034, 43, 77, NA, 860397,  A*
10, 20.9, 73472, 31175, 19850, 33778, 7091, 11342, 13061, 5513, 43, 100, NA, 195282,  A*
11, 22.9, 31906, 83933, 5210, 19159, 12598, 19670, 6225, 3679, 50, 100, NA, 182380,  A*
12, 23.9, 63446, 3892, 576, 573, 480, 693, 723, 799, 56, 66, NA, 71182,  A*
13, 25.9, 76041, 24610, 2950, 1538, 6026, 2962, 562, 1443, 51, 44, NA, 116132,  A*
14, 26.9, 266066, 39498, 7397, 5140, 10926, 8749, 16046, 5253, 57, 38, NA, 359075,  A*
15, 28.9, 215630, 38501, 11902, 8614, 17953, 22485, 12666, 5566, 69, 40, NA, 333317,  A*
16, 29.9, 21226, 29951, 13035, 5131, 19900, 19361, 11932, 6398, 88, 61, NA, 126934,  A*
17, 31.9, 67993, 35180, 12504, 8917, 15052, 8846, 18433, 6226, 88, 66, NA, 173151,  A*
18, 32.9, 64944, 50177, 11261, 18774, 9093, 8733, 6551, 3665, 66, 57, NA, 173198,  A*
19, 34.9, 171639, 13258, 24395, 8065, 3653, 9538, 13675, 1057, 57, 75, NA, 245280,  A*
20, 37.9, 132180, 93169, 27732, 13396, 19182, 7563, 33752, 6675, 41, 74, NA, 333649,  A*
21, 39.8, 518222, 15674, 12420, 7110, 17892, 26110, 11650, 4632, 64, 57, NA, 613710,  A*
22, 40.9, 56545, 18352, 18875, 33957, 19820, 13039, 6410, 3952, 74, 83, NA, 170950,  A*
23, 42.8, 93548, 90034, 26199, 9814, 15135, 19496, 5243, 3785, 81, 81, NA, 263254,  A*
24, 43.8, 22760, 15430, 2032, 8268, 19544, 6863, 13445, 4051, 67, 53, NA, 92393,  A*
25, 45.8, 68017, 116091, 64798, 75994, 66932, 53716, 29586, 11701, 69, 48, NA, 486835,  A*
26, 46.8, 290511, 123771, 21543, 21609, 4845, 17691, 4704, 3905, 64, 50, NA, 488579,  A*
27, 48.8, 136972, 101294, 18146, 7313, 7232, 8170, 6940, 2936, 53, 60, NA, 289003,  A*
28, 49.8, 654599, 201113, 23064, 19693, 27518, 21704, 11217, 7474, 41, 51, NA, 966382,  A*
29, 51.8, 326259, 17482, 13533, 8252, 13377, 18893, 10669, 3465, 61, 54, NA, 411930,  A*
30, 52.8, 15308, 11668, 6803, 9382, 15308, 16410, 3373, 7246, 100, 57, NA, 85498,  A*
31, 54.8, 21555, 11296, 21129, 3554, 6050, 13651, 5348, 2383, 100, 75, NA, 84966,  A*
32, 57.8, 67060, 14103, 4164, 2254, 6279, 16476, 22694, 3038, 100, 75, NA, 136068,  A*
33, 59.8, 13497, 20509, 5967, 3296, 14154, 16116, 9040, 989, 100, 50, NA, 83568,  A*
34, 60.8, 10972, 20449, 7740, 11639, 6013, 11400, 13539, 6462, 94, 80, NA, 88214,  A
35, 62.7, 51997, 30806, 24326, 25461, 18593, 11794, 8113, 2538, 81, 83, NA, 173628,  A
36, 63.8, 17971, 66098, 3986, 2447, 7769, 11989, 6987, 3323, 70, 70, NA, 120570,  A
37, 65.7, 164518, 16662, 12173, 3954, 3102, 1457, 1065, 392, 48, 75, NA, 203323,  A
38, 66.7, 62264, 36657, 11518, 2281, 13249, 12998, 16106, 5390, 63, 56, NA, 160463,  A
39, 68.7, 82046, 5533, 3436, 2431, 2281, 2634, 1641, 436, 67, 77, NA, 100438,  A
40, 69.7, 15549, 14867, 3696, 8366, 10071, 25575, 14333, 4302, 93, 66, NA, 96759,  A
41, 71.7, 178215, 147027, 21864, 16554, 11775, 20513, 16776, 4018, 83, 67, NA, 416742,  A
42, 72.7, 75848, 61678, 12146, 5990, 40993, 25564, 16193, 8109, 75, 43, NA, 246521,  A
43, 74.7, 20274, 14085, 11035, 12412, 10754, 12613, 10552, 4571, 63, 53, NA, 96296,  A
44, 77.7, 68937, 44519, 8855, 23173, 12074, 21371, 10062, 8994, 69, 63, NA, 197985,  A
45, 79.7, 66089, 97156, 21601, 4325, 9688, 14935, 5757, 3649, 69, 67, NA, 223200,  A
46, 80.7, 886343, 63091, 27817, 9617, 9203, 2940, 6470, 5799, 35, 57, NA, 1011280,  A
47, 82.7, 1088608, 91743, 19985, 41862, 5920, 9669, 3597, 1481, 16, 60, NA, 1262865,  A
48, 83.7, 1567710, 60323, 58506, 19692, 13905, 44025, 5750, 1984, 30, 91, NA, 1771895,  A
49, 83.7, 238266, 695806, 121536, 17265, 35390, 17564, 13491, 5414, 29, 81, NA, 1144732,  A
