obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 7.0, 83619, 19007, 6505, 1536, 1722, 2487, 754, 939, NA, NA, NA, 116569,  T*
2, 9.0, 128078, 102096, 7769, 4226, 5477, 6750, 3460, 1883, NA, NA, NA, 259739,  T*
3, 10.0, 18445, 8197, 2447, 20665, 6465, 30148, 10286, 1094, 67, 60, NA, 97747,  T*
4, 12.0, 20594, 4587, 11491, 5413, 19285, 24380, 4059, 1928, 91, 63, NA, 91737,  T*
5, 13.0, 346302, 7004, 1929, 3502, 1386, 2106, 2400, 1832, 80, 50, NA, 366461,  T*
6, 14.9, 298854, 157885, 49304, 57774, 34757, 17625, 59135, 5130, 41, 50, NA, 680464,  T*
7, 18.0, 153811, 58394, 3609, 11742, 9851, 6234, 1777, 707, 10, 43, NA, 246125,  T*
8, 19.9, 1874774, 133038, 70632, 9946, 13757, 23186, 5582, 2817, 1, 56, NA, 2133732,  T*
9, 20.9, 28375, 34845, 38102, 10046, 5282, 6503, 3502, 4468, 1, 61, NA, 131123,  T*
10, 22.9, 62896, 84674, 9643, 19402, 13130, 12248, 9128, 3097, 13, 63, NA, 214218,  T*
11, 23.9, 245041, 24969, 3946, 6643, 3837, 6877, 1740, 3104, 20, 51, NA, 296157,  T*
12, 25.9, 64233, 13733, 31542, 7981, 9839, 7873, 10938, 3882, 27, 53, NA, 150021,  T*
13, 26.9, 47737, 37558, 5833, 9947, 2929, 4570, 1160, 1162, 43, 67, NA, 110896,  T*
14, 28.9, 37596, 24346, 12655, 35017, 23295, 13174, 8135, 3979, 43, 77, NA, 158197,  T*
15, 29.9, 123017, 21202, 8651, 1343, 1746, 2973, 1620, 990, 24, 51, NA, 161542,  T*
16, 31.9, 237824, 23040, 6557, 2896, 6697, 5950, 2577, 639, 35, 50, NA, 286180,  T*
17, 32.9, 127405, 29968, 31822, 8594, 5940, 4755, 1977, 248, 37, 69, NA, 210709,  T*
18, 34.9, 27674, 10722, 9985, 1785, 1368, 2941, 2097, 669, 41, 77, NA, 57241,  T*
19, 37.9, 42891, 48830, 10837, 6916, 2830, 2010, 2906, 1119, 23, 69, NA, 118339,  T*
20, 39.8, 104382, 45048, 18383, 7117, 6044, 4093, 2426, 671, 1, 54, NA, 188164,  T*
21, 40.9, 78026, 15875, 3885, 5105, 2741, 2278, 1313, 1122, 7, 60, NA, 110345,  T*
22, 42.8, 60539, 30510, 7330, 10924, 4784, 10082, 6279, 2695, 14, 54, NA, 133143,  T*
23, 43.8, 323664, 37965, 11418, 5946, 6671, 4905, 1675, 1249, 43, 60, NA, 393493,  T*
24, 45.8, 39470, 59123, 9548, 6592, 10981, 23068, 11412, 2904, 57, 51, NA, 163098,  T*
25, 46.8, 2894837, 119525, 2866, 43996, 30996, 30506, 16418, 3629, 44, 37, NA, 3142773,  T*
26, 48.8, 5731, 16807, 2045, 1892, 8017, 11931, 5970, 1959, 66, 24, NA, 54352,  T*
27, 49.8, 201875, 5513, 17520, 2302, 2974, 2386, 2254, 537, 63, 57, NA, 235361,  T*
28, 51.8, 2534, 5731, 21904, 1526, 5907, 11738, 6183, 3931, 70, 74, NA, 59454,  T*
29, 52.8, 341190, 14387, 5775, 4703, 4687, 3344, 842, 1356, 53, 83, NA, 376284,  T*
30, 54.8, 57636, 53613, 8672, 3950, 6212, 15008, 3249, 6416, 61, 60, NA, 154756,  T*
31, 57.8, 20326, 8116, 2596, 13928, 11484, 12414, 5396, 3214, 66, 56, NA, 77474,  T*
32, 59.8, 25127, 29238, 6006, 4141, 15634, 14646, 5966, 2291, 81, 37, NA, 103049,  T*
33, 60.8, 11111, 8822, 20670, 8547, 6643, 19337, 5199, 2417, 90, 43, NA, 82746,  T
34, 62.8, 10362, 13252, 3430, 4916, 18271, 17856, 6453, 2651, 97, 44, NA, 77191,  T
35, 63.8, 16903, 14101, 7720, 5318, 3486, 13802, 3877, 1944, 90, 64, NA, 67151,  T
36, 65.8, 6077, 6066, 2845, 8204, 5325, 9126, 7498, 5017, 90, 60, NA, 50158,  T
37, 66.8, 11076, 12898, 4798, 4952, 9186, 17985, 6106, 3558, 100, 60, NA, 70559,  T
38, 68.7, 4600, 20230, 3674, 9761, 6970, 30492, 6312, 3193, 100, 54, NA, 85232,  T
39, 69.7, 24011, 18923, 4347, 2646, 3812, 17551, 6296, 3633, 97, 38, NA, 81219,  T
40, 71.7, 2036, 17801, 6773, 8266, 7901, 12020, 4705, 3555, 88, 43, NA, 63057,  T
41, 72.7, 233393, 10235, 10522, 4017, 3863, 2193, 732, 295, 81, 54, NA, 265250,  T
42, 74.7, 893751, 117632, 18641, 7813, 9122, 7288, 3151, 2208, 51, 54, NA, 1059606,  T
43, 77.7, 46691, 20389, 11927, 1948, 4267, 2794, 438, 56, 17, 54, NA, 88510,  T
