obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 16465, 25240, 2202, 10908, 11342, 19056, 15479, 5926, NA, NA, NA, 106618,  M*
2, 7.0, 159998, 73915, 33205, 21526, 25190, 17385, 21248, 8377, NA, NA, NA, 360844,  M*
3, 9.9, 283464, 50871, 2969, 14372, 8024, 3915, 1556, 3079, 30, 37, NA, 368250,  M*
4, 11.9, 923570, 234775, 51418, 16579, 13115, 4458, 4818, 3126, 23, 43, NA, 1251859,  M*
5, 13.0, 1077994, 208239, 83586, 36806, 28357, 22136, 11827, 5830, 27, 66, NA, 1474775,  M*
6, 14.9, 185736, 71680, 14663, 25342, 12889, 6846, 3548, 2173, 13, 66, NA, 322877,  M*
7, 17.9, 1928655, 73876, 12457, 16952, 4184, 19773, 5347, 12267, 20, 70, NA, 2073511,  M*
8, 19.9, 822042, 62064, 53525, 5028, 28610, 25920, 16753, 14665, 57, 88, NA, 1028607,  M*
9, 20.9, 29509, 8360, 3050, 1377, 3377, 5070, 5226, 655, 70, 70, NA, 56624,  M*
10, 22.9, 75936, 8766, 327, 5056, 6531, 4087, 2610, 953, 69, 47, NA, 104266,  M*
11, 23.9, 279841, 46437, 1874, 2313, 5354, 1329, 725, 226, 30, 1, NA, 338099,  M*
12, 25.9, 510171, 19582, 7006, 4257, 1372, 2706, 2231, 217, 16, 14, NA, 547542,  M*
13, 26.9, 757337, 22395, 42312, 33881, 39019, 12398, 11798, 9447, 17, 74, NA, 928587,  M*
14, 28.9, 207111, 112899, 12338, 37427, 6948, 9926, 6377, 5238, 24, 97, NA, 398264,  M*
15, 29.9, 562790, 424042, 42750, 7342, 27642, 38564, 11934, 3334, 37, 47, NA, 1118398,  M*
16, 32.9, 220488, 56868, 28151, 7403, 7050, 2833, 3748, 1478, 23, 34, NA, 328019,  M*
17, 34.8, 41023, 18166, 13193, 21498, 8597, 18145, 11569, 3830, 37, 38, NA, 136021,  M*
18, 37.8, 92199, 604193, 161908, 155219, 92935, 81851, 43046, 15679, 51, 70, NA, 1247030,  M*
19, 39.8, 46028, 24881, 8091, 36611, 6217, 11811, 8238, 2620, 20, 48, NA, 144497,  M*
20, 40.8, 1019111, 265860, 137575, 137275, 202724, 72503, 28050, 7674, 27, 57, NA, 1870772,  M*
21, 42.8, 1793259, 146606, 56993, 16537, 51579, 26787, 9300, 12477, 44, 75, NA, 2113538,  M*
22, 43.8, 42473, 14937, 3905, 6717, 564, 2032, 1533, 642, 47, 69, NA, 72803,  M*
23, 45.8, 173105, 5752, 2746, 6237, 954, 2552, 3515, 2826, 48, 78, NA, 197687,  M*
24, 46.8, 120615, 12384, 4290, 1724, 3505, 1930, 1352, 890, 38, 77, NA, 146690,  M*
25, 48.8, 20027, 9934, 2910, 3820, 3437, 8091, 3396, 2333, 54, 67, NA, 53948,  M*
26, 49.8, 19359, 41159, 29974, 10316, 6712, 10571, 7088, 5827, 53, 61, NA, 131006,  M*
27, 51.8, 42388, 46314, 15536, 35209, 6232, 11495, 5851, 8717, 53, 74, NA, 171742,  M*
28, 52.8, 60502, 15061, 3138, 2973, 1467, 3105, 1002, 682, 50, 70, NA, 87930,  M*
29, 54.8, 455528, 110707, 7413, 16911, 30833, 8890, 10098, 10337, 43, 50, NA, 650717,  M*
30, 57.8, 526162, 163914, 15692, 5371, 13567, 10278, 11478, 6221, 38, 35, NA, 752683,  M*
31, 59.7, 62948, 31424, 26051, 46637, 21566, 7721, 8148, 2293, 50, 44, NA, 206788,  M*
32, 60.8, 853290, 123557, 1464, 13519, 21210, 23452, 4459, 1335, 53, 40, NA, 1042286,  M
33, 62.7, 189737, 61304, 6859, 4990, 4617, 4447, 1401, 2005, 41, 40, NA, 275360,  M
