obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 551676, 59189, 13963, 35819, 10396, 12912, 7233, 6441, NA, NA, NA, 697629,  A*
2, 7.0, 455829, 365633, 29452, 45851, 33002, 20565, 7865, 4161, NA, NA, NA, 962358,  A*
3, 8.9, 799484, 88023, 18334, 24443, 15648, 17918, 17086, 5264, 48, 43, NA, 986200,  A*
4, 10.0, 614664, 63226, 4157, 6326, 9543, 7983, 12905, 4840, 56, 17, NA, 723644,  A*
5, 11.9, 237830, 35771, 20351, 18313, 18757, 42216, 20798, 6742, 80, 26, NA, 400778,  A*
6, 12.9, 864617, 76079, 15641, 7726, 7707, 20506, 10387, 1868, 80, 48, NA, 1004531,  A*
7, 14.9, 460806, 133777, 11258, 22780, 32088, 27204, 21855, 7067, 80, 53, NA, 716835,  A*
8, 17.9, 428256, 346631, 17094, 10841, 26074, 15165, 19187, 6294, 51, 1, NA, 869542,  A*
9, 19.9, 70334, 34280, 11859, 15269, 9338, 6969, 11544, 3880, 30, 14, NA, 163473,  A*
10, 20.9, 82861, 42574, 8475, 4863, 3465, 1436, 641, 806, 26, 44, NA, 145121,  A*
11, 22.9, 21575, 14678, 18916, 1801, 8685, 4322, 4849, 6050, 24, 80, NA, 80876,  A*
12, 23.9, 17896, 44481, 3423, 10452, 5913, 10206, 2183, 1723, 37, 87, NA, 96277,  A*
13, 25.9, 45308, 7216, 860, 840, 741, 945, 203, 65, 54, 83, NA, 56178,  A*
14, 26.9, 79421, 26644, 2589, 3571, 4734, 5554, 5371, 2850, 74, 60, NA, 130734,  A*
15, 28.9, 43291, 32646, 3196, 2487, 1880, 10182, 1981, 2500, 80, 54, NA, 98163,  A*
16, 29.9, 46429, 18063, 14653, 2932, 3440, 9151, 6021, 1517, 88, 67, NA, 102206,  A*
17, 31.9, 23650, 62635, 8918, 18497, 9321, 15447, 6650, 2605, 93, 75, NA, 147723,  A*
18, 32.9, 15054, 10751, 1473, 3806, 10968, 7141, 2337, 4542, 78, 84, NA, 56072,  A*
19, 34.9, 85521, 18496, 8289, 9194, 9486, 8406, 2574, 1265, 78, 83, NA, 143231,  A*
20, 37.9, 435074, 33181, 6005, 5081, 14123, 8843, 4463, 1351, 100, 67, NA, 508121,  A*
21, 39.8, 176284, 33910, 11811, 3637, 2133, 2594, 790, 1653, 51, 69, NA, 232812,  A*
22, 40.8, 388874, 22310, 456, 2087, 4733, 13890, 3651, 3137, 51, 51, NA, 439138,  A*
23, 42.8, 4701, 12497, 6662, 3429, 7724, 3417, 9250, 6491, 64, 53, NA, 54171,  A*
24, 43.8, 52875, 18257, 14273, 3713, 14258, 11501, 3523, 3424, 93, 56, NA, 121824,  A*
25, 45.8, 197495, 56666, 7876, 1887, 862, 1614, 1426, 465, 56, 64, NA, 268291,  A*
26, 46.8, 626757, 75473, 1992, 6501, 3588, 6775, 9123, 4027, 43, 53, NA, 734236,  A*
27, 48.8, 3060, 8752, 4306, 6207, 8104, 3720, 6783, 2100, 38, 54, NA, 43032,  A*
28, 49.8, 32085, 52836, 30294, 11253, 8573, 7944, 4590, 3452, 34, 66, NA, 151027,  A*
29, 51.8, 142766, 71350, 16911, 941, 3823, 3239, 2017, 416, 24, 75, NA, 241463,  A*
30, 52.8, 10137, 75627, 37503, 4637, 5688, 8269, 6140, 2458, 26, 75, NA, 150459,  A*
31, 54.8, 50879, 27996, 4409, 8199, 10565, 9907, 5779, 2395, 38, 66, NA, 120129,  A*
32, 57.8, 18315, 17802, 5005, 2887, 6416, 9555, 7255, 2208, 50, 61, NA, 69443,  A*
33, 59.7, 457625, 25083, 21343, 7985, 5797, 9361, 5173, 5567, 50, 60, NA, 537934,  A*
34, 60.7, 14890, 15259, 3447, 3880, 4664, 4055, 2493, 6395, 66, 74, NA, 55083,  A
35, 62.7, 15429, 19412, 18356, 8389, 11918, 12887, 5505, 4652, 75, 81, NA, 96548,  A
36, 63.7, 167963, 25451, 13717, 9960, 7262, 12473, 4304, 1756, 77, 75, NA, 242886,  A
37, 65.7, 88991, 8485, 1273, 2952, 1727, 2264, 1106, 546, 77, 77, NA, 107344,  A
38, 66.7, 39191, 19737, 2066, 1990, 748, 1604, 908, 1043, 50, 67, NA, 67287,  A
39, 68.7, 14662, 34534, 4506, 3909, 5171, 8146, 6674, 3760, 47, 57, NA, 81362,  A
40, 69.7, 19363, 18587, 2647, 4257, 6313, 9515, 2712, 2841, 69, 57, NA, 66235,  A
41, 71.7, 43701, 33107, 2681, 12934, 3878, 4874, 3654, 4066, 75, 64, NA, 108895,  A
42, 72.7, 22895, 17708, 18091, 5645, 6618, 6593, 5320, 4805, 43, 74, NA, 87675,  A
43, 74.7, 20734, 5397, 1179, 3498, 2451, 7956, 2044, 2796, 53, 78, NA, 46055,  A
44, 77.7, 812647, 180574, 27927, 35369, 23658, 17033, 9546, 4649, 60, 57, NA, 1111403,  A
45, 79.7, 22084, 20985, 17295, 4859, 11905, 5160, 3872, 2525, 34, 80, NA, 88685,  A
46, 80.7, 306297, 57759, 18797, 8111, 7800, 7800, 17713, 5946, 16, 83, NA, 430223,  A
47, 82.7, 554548, 69712, 23882, 10856, 10480, 11265, 5252, 3332, 30, 78, NA, 689327,  A
48, 83.7, 24989, 51948, 6411, 5569, 3122, 5188, 5747, 7168, 29, 69, NA, 110142,  A
49, 83.7, 435082, 82127, 31826, 13081, 9361, 11515, 7791, 5881, 29, 69, NA, 596664,  A
