obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 663371, 717241, 97403, 38411, 68852, 36901, 12310, 3372, NA, NA, NA, 1637861,  N*
2, 7.0, 13191, 19375, 22908, 19609, 14548, 13369, 6895, 2765, NA, NA, NA, 112660,  N*
3, 8.9, 160892, 59165, 28173, 4518, 11008, 5135, 1773, 2132, 35, 43, NA, 272796,  N*
4, 9.9, 132977, 17277, 5758, 2224, 796, 1164, 802, 476, 27, 38, NA, 161474,  N*
5, 11.9, 96814, 22692, 6232, 1646, 4971, 811, 1550, 404, 13, 38, NA, 135120,  N*
6, 12.9, 568827, 185690, 38544, 9850, 4525, 6017, 3600, 771, 1, 35, NA, 817824,  N*
7, 14.9, 23574, 17445, 2353, 1665, 2516, 1180, 566, 793, 1, 24, NA, 50092,  N*
8, 17.9, 347935, 47498, 29832, 8202, 30534, 14899, 11335, 11949, 24, 20, NA, 502184,  N*
9, 19.9, 231809, 217327, 54183, 26387, 23412, 12484, 4762, 1583, 27, 57, NA, 571947,  N*
10, 20.9, 105798, 24113, 10683, 4011, 1849, 9225, 6967, 2610, 35, 57, NA, 165256,  N*
11, 22.9, 53043, 21468, 7851, 2655, 3058, 5157, 4022, 4772, 43, 41, NA, 102026,  N*
12, 23.9, 165637, 91255, 5814, 7389, 3861, 15997, 39580, 12683, 84, 16, NA, 342216,  N*
13, 25.9, 96580, 167701, 21840, 6693, 24251, 7714, 14105, 4606, 63, 1, NA, 343490,  N*
14, 26.9, 267769, 17465, 10373, 7189, 3407, 4043, 2463, 1943, 44, 37, NA, 314652,  N*
15, 28.9, 144319, 182201, 7800, 45080, 26422, 22021, 12769, 9675, 37, 43, NA, 450287,  N*
16, 29.9, 234596, 64940, 6420, 4735, 7603, 6048, 7355, 5629, 53, 35, NA, 337326,  N*
17, 31.9, 11691, 22662, 1687, 10175, 15989, 11820, 29142, 11158, 66, 20, NA, 114324,  N*
18, 32.9, 746196, 290104, 70135, 43569, 20641, 17991, 18024, 19414, 66, 14, NA, 1226074,  N*
19, 34.8, 386797, 38783, 16798, 6266, 6230, 27493, 28004, 9198, 90, 26, NA, 519569,  N*
20, 37.8, 154455, 129597, 20114, 4475, 15196, 6689, 7772, 8939, 63, 40, NA, 347237,  N*
21, 39.8, 227425, 46505, 29206, 3458, 7294, 9751, 12202, 4476, 37, 21, NA, 340317,  N*
22, 40.8, 194142, 79900, 36206, 11144, 5602, 11461, 14558, 2929, 48, 40, NA, 355942,  N*
23, 42.8, 593260, 99412, 85480, 28462, 35307, 27299, 39255, 8282, 48, 53, NA, 916757,  N*
24, 43.8, 110705, 77632, 5629, 2608, 5479, 4714, 3532, 2494, 53, 38, NA, 212793,  N*
25, 45.8, 1349597, 13300, 14094, 12438, 13269, 15385, 11425, 1936, 75, 40, NA, 1431444,  N*
26, 46.8, 568392, 59852, 19217, 15607, 4732, 21863, 24885, 1755, 74, 20, NA, 716303,  N*
27, 48.8, 588797, 147105, 20403, 6611, 13033, 12219, 17909, 19179, 75, 30, NA, 825256,  N*
28, 49.8, 1257514, 55618, 24522, 11658, 32368, 59961, 25330, 7488, 96, 48, NA, 1474459,  N*
29, 51.8, 288794, 35810, 8963, 7875, 9393, 19373, 7024, 3592, 100, 43, NA, 380824,  N*
30, 52.8, 344493, 73894, 20865, 10466, 6928, 21108, 51955, 20494, 100, 57, NA, 550203,  N*
31, 54.8, 157164, 152840, 16182, 11021, 22556, 48424, 24621, 12632, 96, 51, NA, 445440,  N*
32, 57.8, 228701, 105499, 27225, 6517, 13370, 8618, 3697, 1773, 61, 51, NA, 395400,  N*
33, 59.8, 17951, 9350, 21216, 18468, 16379, 26408, 37226, 15714, 91, 53, NA, 162712,  N*
34, 60.8, 136225, 19418, 17099, 13739, 15208, 36135, 8882, 2177, 100, 61, NA, 248883,  N
35, 62.7, 423951, 977989, 157960, 11739, 42540, 35923, 84591, 14820, 78, 61, NA, 1749513,  N
36, 63.7, 158007, 46942, 12752, 14431, 13357, 28357, 21647, 7415, 60, 50, NA, 302908,  N
37, 65.8, 2517249, 207528, 40503, 29457, 37678, 29602, 28717, 10182, 38, 43, NA, 2900916,  N
