obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 41361, 24443, 37495, 8637, 2214, 3858, 657, 564, NA, NA, NA, 119229,  A*
2, 7.0, 202565, 53081, 4311, 4730, 2387, 1677, 1010, 442, NA, NA, NA, 270203,  A*
3, 8.9, 584148, 103427, 12698, 14318, 7426, 7264, 4026, 3208, 54, 35, NA, 736515,  A*
4, 9.9, 59295, 9016, 1986, 3291, 1847, 3493, 1002, 753, 60, 23, NA, 80683,  A*
5, 11.9, 216209, 70567, 6573, 7063, 10871, 3267, 5073, 924, 56, 14, NA, 320547,  A*
6, 13.0, 496253, 129556, 14323, 10456, 4682, 10380, 5132, 1281, 57, 20, NA, 672063,  A*
7, 14.9, 282748, 76223, 3626, 13384, 5958, 3966, 3673, 3248, 35, 14, NA, 392826,  A*
8, 17.9, 506151, 108526, 45277, 14933, 23239, 14846, 7386, 13415, 69, 23, NA, 733773,  A*
9, 19.9, 198266, 57195, 15150, 14045, 16757, 4792, 3217, 1445, 75, 10, NA, 310867,  A*
10, 20.9, 130328, 30935, 49699, 39228, 17867, 15499, 12344, 13095, 75, 35, NA, 308995,  A*
11, 22.9, 222214, 50855, 8545, 5913, 1747, 1758, 2121, 1154, 60, 50, NA, 294307,  A*
12, 23.9, 246753, 82492, 52848, 10940, 15034, 7110, 7339, 1830, 43, 44, NA, 424346,  A*
13, 25.9, 136980, 12338, 1727, 1285, 4368, 3708, 1347, 352, 51, 24, NA, 162105,  A*
14, 26.9, 174397, 384062, 55188, 66613, 15097, 7547, 6262, 6201, 56, 26, NA, 715367,  A*
15, 28.9, 193522, 113339, 25088, 2795, 1107, 8837, 7678, 5847, 60, 16, NA, 358213,  A*
16, 29.9, 619621, 62425, 5067, 1294, 7092, 4575, 2004, 1695, 43, 14, NA, 703773,  A*
17, 31.9, 561847, 137208, 19641, 50611, 17409, 19242, 7004, 2675, 67, 17, NA, 815637,  A*
18, 32.9, 80940, 26288, 19463, 1571, 1975, 2683, 3566, 1017, 64, 41, NA, 137503,  A*
19, 34.9, 713237, 75798, 15547, 34632, 11128, 20648, 15444, 8206, 78, 57, NA, 894640,  A*
20, 37.8, 12956, 31624, 4790, 10271, 14896, 19392, 7065, 4641, 83, 41, NA, 105635,  A*
21, 39.8, 80249, 7957, 5702, 2172, 759, 1889, 1153, 1099, 96, 47, NA, 100980,  A*
22, 40.8, 59929, 29818, 1323, 4320, 2104, 3556, 1784, 1363, 75, 29, NA, 104197,  A*
23, 42.8, 336600, 58640, 21862, 22799, 21499, 22847, 11155, 1536, 87, 30, NA, 496938,  A*
24, 43.8, 17654, 40443, 4716, 10755, 13923, 7718, 6400, 5998, 70, 13, NA, 107607,  A*
25, 45.8, 57054, 26585, 2866, 2893, 4653, 4061, 1115, 888, 75, 13, NA, 100115,  A*
26, 46.8, 18541, 5706, 7258, 2066, 7925, 6098, 5666, 2949, 90, 40, NA, 56209,  A*
27, 48.8, 475865, 52032, 15504, 32286, 36875, 20608, 18704, 8730, 93, 44, NA, 660604,  A*
28, 49.8, 608159, 30138, 11240, 7928, 4468, 6279, 7970, 2680, 96, 43, NA, 678862,  A*
29, 51.8, 110215, 37219, 3690, 6293, 8562, 2851, 1790, 1583, 75, 35, NA, 172203,  A*
30, 52.8, 36778, 15532, 5345, 6526, 8076, 16281, 5747, 3464, 94, 37, NA, 97749,  A*
31, 54.8, 70027, 11223, 2755, 1343, 3491, 3395, 1222, 535, 100, 29, NA, 93991,  A*
32, 57.8, 115652, 21643, 8892, 7099, 2292, 1908, 1526, 1259, 84, 35, NA, 160271,  A*
33, 59.8, 65748, 19554, 10246, 4106, 12493, 5361, 4232, 8218, 35, 38, NA, 129958,  A*
34, 60.8, 42908, 18199, 11424, 16931, 9812, 10069, 6253, 10922, 50, 37, NA, 126518,  A
35, 62.8, 57788, 19739, 2319, 5112, 4799, 8869, 7057, 8276, 74, 30, NA, 113959,  A
36, 63.7, 46708, 41708, 43579, 4519, 6157, 14701, 6694, 6095, 84, 30, NA, 170161,  A
37, 65.7, 211356, 155643, 12819, 12315, 6508, 17154, 6344, 9918, 77, 17, NA, 432057,  A
38, 66.7, 177934, 20728, 12040, 43317, 33964, 12166, 10165, 6762, 69, 30, NA, 317076,  A
39, 68.7, 207393, 48591, 8561, 16186, 12804, 10566, 3847, 2709, 67, 24, NA, 310657,  A
40, 69.7, 134235, 23720, 10883, 10268, 20138, 4681, 2679, 3017, 69, 43, NA, 209621,  A
41, 71.7, 173054, 52597, 45141, 6963, 10973, 7461, 6604, 3200, 63, 41, NA, 305993,  A
42, 72.7, 905968, 198154, 17980, 24045, 18919, 19492, 4475, 6173, 61, 41, NA, 1195206,  A
43, 74.7, 298164, 92794, 15253, 6084, 13936, 7157, 4507, 6747, 54, 34, NA, 444642,  A
44, 77.7, 16412, 1277, 4338, 947, 1709, 6056, 3344, 2289, 63, 24, NA, 36372,  A
45, 79.7, 180961, 39815, 4618, 1879, 3195, 2671, 1252, 559, 63, 27, NA, 234950,  A
46, 80.7, 15975, 34773, 17972, 934, 1965, 2753, 1980, 1093, 37, 26, NA, 77445,  A
47, 82.7, 13108, 3568, 3851, 5756, 4157, 4479, 5567, 3034, 57, 41, NA, 43520,  A
48, 83.7, 1093656, 102640, 3849, 5238, 8604, 7262, 10113, 4149, 60, 35, NA, 1235511,  A
49, 83.7, 280569, 25676, 13947, 13566, 2341, 4422, 3997, 2186, 64, 38, NA, 346704,  A
