obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 83282, 60237, 7486, 29771, 12751, 6126, 2253, 1158, NA, NA, NA, 203064,  N*
2, 7.0, 1472432, 46289, 8648, 5204, 19019, 9152, 6507, 1543, NA, NA, NA, 1568794,  N*
3, 9.0, 1643920, 42147, 46741, 11780, 10285, 5220, 6315, 3638, 30, 51, NA, 1770046,  N*
4, 10.0, 81318, 13817, 2508, 3625, 1360, 2618, 1191, 344, 47, 48, NA, 106781,  N*
5, 11.9, 121330, 103318, 35702, 7028, 10215, 5087, 2046, 2138, 29, 48, NA, 286864,  N*
6, 12.9, 758045, 50746, 47158, 13434, 20169, 17187, 4774, 6223, 51, 43, NA, 917736,  N*
7, 14.9, 1288359, 27153, 15266, 24940, 16076, 31211, 12773, 10342, 70, 51, NA, 1426120,  N*
8, 17.9, 422565, 58859, 22457, 29728, 17725, 30276, 10204, 4491, 100, 64, NA, 596305,  N*
9, 19.9, 77173, 6050, 7822, 2430, 10764, 7356, 5385, 2172, 94, 37, NA, 119152,  N*
10, 20.9, 449803, 12350, 3174, 8316, 3138, 5757, 1630, 1066, 100, 50, NA, 485234,  N*
11, 22.9, 177685, 204200, 21145, 12058, 16468, 31709, 6375, 14255, 96, 47, NA, 483895,  N*
12, 23.9, 35592, 25900, 7517, 12124, 11275, 10143, 5665, 6503, 63, 35, NA, 114719,  N*
13, 25.9, 739110, 157684, 13620, 19249, 13375, 10985, 3938, 4080, 38, 23, NA, 962041,  N*
14, 26.9, 1122975, 203713, 19598, 11486, 42317, 19557, 5548, 1382, 29, 20, NA, 1426576,  N*
15, 28.9, 140851, 16644, 671, 2674, 4782, 1204, 395, 106, 30, 11, NA, 167327,  N*
16, 29.9, 101842, 11709, 23911, 16774, 10874, 7122, 1766, 1359, 24, 17, NA, 175357,  N*
17, 31.9, 107999, 16396, 6668, 835, 783, 661, 1360, 328, 10, 35, NA, 135030,  N*
18, 32.9, 151949, 91477, 14586, 8650, 10525, 5865, 2612, 2316, 30, 54, NA, 287980,  N*
19, 34.9, 731702, 129360, 16916, 10090, 19443, 16340, 8314, 2934, 27, 29, NA, 935099,  N*
20, 37.9, 334159, 291705, 229373, 610800, 369380, 73224, 72520, 11800, 40, 43, NA, 1992961,  N*
21, 39.9, 301210, 168304, 25378, 31828, 16925, 16409, 24800, 8076, 26, 38, NA, 592930,  N*
22, 40.9, 1227629, 289008, 113732, 25499, 36392, 32117, 47951, 7743, 21, 11, NA, 1780071,  N*
23, 42.8, 196775, 96073, 4195, 9758, 4560, 11766, 10850, 3809, 23, 8, NA, 337786,  N*
24, 43.9, 1293829, 401612, 16821, 55195, 11094, 9435, 13755, 6379, 30, 21, NA, 1808120,  N*
25, 45.8, 28577, 5803, 4126, 4015, 1616, 2734, 2741, 3812, 48, 29, NA, 53424,  N*
26, 46.8, 1066262, 253258, 115637, 65706, 28958, 26464, 12954, 4572, 34, 51, NA, 1573811,  N*
27, 48.8, 2609418, 111403, 118835, 125507, 60616, 44815, 15044, 16822, 56, 74, NA, 3102460,  N*
28, 49.8, 1297273, 77100, 32863, 25175, 23180, 11908, 19136, 8777, 48, 70, NA, 1495412,  N*
