obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.9, 283078, 31698, 3778, 734, 1726, 2556, 3055, 1424, NA, NA, NA, 328049,  A*
2, 7.0, 1728013, 331821, 28605, 10760, 36055, 13620, 10196, 12427, NA, NA, NA, 2171497,  A*
3, 8.9, 133982, 14223, 8453, 2374, 2829, 1839, 1406, 1123, 51, 53, NA, 166229,  A*
4, 9.9, 227362, 57971, 13158, 8190, 3794, 7634, 7095, 5329, 84, 80, NA, 330533,  A*
5, 11.9, 343254, 80096, 16567, 24659, 6418, 23593, 7029, 15396, 100, 88, NA, 517012,  A*
6, 12.9, 610146, 43152, 4529, 36880, 16179, 9033, 3336, 2111, 100, 69, NA, 725366,  A*
7, 14.9, 939305, 44375, 9345, 11848, 23407, 18356, 12484, 6541, 100, 66, NA, 1065661,  A*
8, 17.9, 115327, 23760, 4506, 3907, 1629, 1826, 1350, 1255, 77, 83, NA, 153560,  A*
9, 19.9, 1606880, 213286, 118871, 93256, 28856, 69789, 27961, 30624, 43, 88, NA, 2189523,  A*
10, 20.9, 52275, 11155, 5892, 2097, 2074, 1497, 1561, 244, 40, 80, NA, 76795,  A*
11, 22.9, 765708, 372313, 101141, 10579, 36732, 51846, 12002, 15632, 40, 66, NA, 1365953,  A*
12, 23.9, 1462561, 51482, 11124, 41234, 23539, 18052, 48792, 27063, 44, 66, NA, 1683847,  A*
13, 25.9, 54580, 6554, 11447, 37493, 24725, 20647, 15609, 4698, 69, 74, NA, 175753,  A*
14, 26.9, 1375723, 149839, 30499, 18312, 34582, 33625, 16657, 12406, 87, 77, NA, 1671643,  A*
15, 28.9, 52055, 25825, 22212, 5849, 12059, 23539, 5574, 6212, 100, 75, NA, 153325,  A*
16, 29.9, 1171008, 429710, 39673, 72635, 50505, 67491, 67729, 41804, 88, 60, NA, 1940555,  A*
17, 31.9, 1819585, 189980, 57379, 71474, 124794, 49749, 26319, 15716, 88, 66, NA, 2354996,  A*
18, 32.9, 396936, 47489, 2149, 2403, 1269, 2674, 1797, 1117, 37, 60, NA, 455834,  A*
19, 34.8, 303834, 72589, 16732, 1709, 7767, 6108, 8019, 5829, 26, 61, NA, 422587,  A*
20, 37.8, 2021201, 173812, 94939, 15312, 29900, 16031, 34094, 5889, 26, 43, NA, 2391178,  A*
21, 39.8, 590333, 138250, 9783, 24083, 15429, 9055, 25395, 22913, 34, 66, NA, 835241,  A*
22, 40.8, 1740787, 288273, 134966, 18677, 162634, 129845, 60053, 14804, 54, 53, NA, 2550039,  A*
23, 42.8, 690530, 121524, 28744, 39776, 5254, 21487, 20358, 8208, 54, 57, NA, 935881,  A*
24, 43.8, 561906, 55718, 10575, 52624, 6460, 10615, 13821, 4054, 69, 66, NA, 715773,  A*
25, 45.8, 296448, 215859, 71901, 121326, 27697, 47077, 17596, 12710, 56, 78, NA, 810614,  A*
26, 46.8, 894398, 144806, 25222, 16935, 6161, 11019, 11519, 20361, 35, 84, NA, 1130421,  A*
27, 48.8, 877985, 23440, 1384, 22774, 4081, 2307, 2990, 1181, 26, 83, NA, 936142,  A*
28, 49.8, 240492, 75873, 20067, 19552, 8217, 15705, 15147, 5746, 24, 63, NA, 400799,  A*
29, 51.8, 429225, 30559, 21122, 8670, 14590, 23457, 9993, 5769, 53, 67, NA, 543385,  A*
30, 52.8, 179079, 29208, 3158, 8873, 24880, 9069, 9052, 4278, 78, 44, NA, 267597,  A*
31, 54.8, 7669, 16690, 15273, 3827, 6128, 11544, 10016, 3736, 91, 50, NA, 74883,  A*
32, 57.8, 300513, 109253, 29408, 58872, 20326, 15659, 10476, 3693, 91, 80, NA, 548200,  A*
33, 59.7, 120479, 14432, 2325, 1650, 2321, 2702, 4125, 1332, 70, 100, NA, 149366,  A*
34, 60.8, 22478, 10235, 3356, 5196, 4487, 8899, 15509, 3425, 100, 90, NA, 73585,  A
35, 62.7, 36288, 47386, 44303, 40903, 14539, 26291, 10771, 12238, 93, 87, NA, 232719,  A
36, 63.8, 21396, 12498, 26086, 6685, 8412, 15526, 13195, 3895, 100, 100, NA, 107693,  A
37, 65.7, 174385, 81034, 16848, 13704, 9946, 40740, 7521, 6871, 100, 87, NA, 351049,  A
38, 66.7, 1106917, 232183, 7256, 5843, 24613, 16134, 5910, 5188, 64, 44, NA, 1404044,  A
39, 68.7, 25435, 1119, 305, 1512, 1698, 2163, 3318, 994, 69, 35, NA, 36544,  A
40, 69.7, 179689, 79147, 4350, 8193, 8345, 7236, 10712, 5778, 57, 38, NA, 303450,  A
41, 72.7, 270205, 50552, 6830, 4287, 4221, 4632, 1151, 988, 57, 56, NA, 342866,  A
42, 74.7, 28200, 9968, 6598, 3237, 1213, 6343, 5164, 4134, 48, 60, NA, 64857,  A
43, 77.7, 19923, 11905, 14654, 2304, 3849, 20889, 2982, 3642, 100, 84, NA, 80148,  A
44, 79.7, 340429, 109883, 37428, 18887, 4709, 12674, 4228, 3489, 77, 77, NA, 531727,  A
45, 80.7, 62495, 54717, 37687, 6562, 8621, 9725, 11614, 5474, 66, 88, NA, 196895,  A
46, 82.7, 344254, 136305, 10846, 15807, 7656, 17617, 11532, 6563, 43, 77, NA, 550580,  A
47, 83.7, 345861, 172199, 30138, 32692, 6388, 7204, 9312, 4932, 8, 66, NA, 608726,  A
48, 85.7, 652836, 86016, 7241, 4309, 8625, 2852, 3549, 1156, 1, 48, NA, 766584,  A
49, 86.7, 33555, 9674, 5988, 3474, 3376, 4902, 5668, 1285, 4, 61, NA, 67922,  A
50, 88.6, 10041, 3418, 6212, 19789, 7431, 14683, 14437, 6526, 35, 77, NA, 82537,  A
51, 89.6, 8568, 22630, 9470, 14436, 8943, 13843, 7398, 5447, 88, 100, NA, 90735,  A
52, 91.6, 13481, 10635, 1798, 10314, 29524, 13556, 11785, 3208, 97, 88, NA, 94301,  A
53, 92.6, 314068, 46153, 2188, 23822, 16493, 8806, 12529, 4605, 66, 80, NA, 428664,  A
54, 94.6, 106243, 92624, 15135, 6218, 9590, 2484, 2533, 1555, 37, 69, NA, 236382,  A
