obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 79364, 109005, 16057, 9788, 13936, 9351, 12016, 1997, NA, NA, NA, 251514,  M*
2, 7.0, 67790, 31328, 33922, 27093, 6842, 20327, 10630, 7650, NA, NA, NA, 205582,  M*
3, 8.9, 928564, 106128, 38775, 15588, 19973, 16186, 27111, 9047, 40, 40, NA, 1161372,  M*
4, 10.0, 49365, 44631, 16445, 20585, 12100, 24924, 9549, 11306, 61, 47, NA, 188905,  M*
5, 11.9, 84671, 38888, 1166, 1237, 6055, 4535, 2764, 956, 61, 27, NA, 140272,  M*
6, 12.9, 563890, 66342, 43081, 45952, 9850, 14133, 5727, 4394, 75, 48, NA, 753369,  M*
7, 14.9, 319687, 82515, 17643, 3986, 5441, 3571, 2270, 1681, 34, 41, NA, 436794,  M*
8, 17.9, 484155, 74613, 45018, 17254, 21119, 9951, 6451, 6186, 26, 69, NA, 664747,  M*
9, 19.9, 1317916, 112345, 99855, 21915, 24917, 16118, 12620, 3443, 40, 75, NA, 1609129,  M*
10, 20.9, 35713, 135386, 30090, 32016, 16252, 20405, 3813, 2712, 50, 83, NA, 276387,  M*
11, 22.9, 92231, 253476, 51812, 24441, 20606, 9491, 10401, 3376, 27, 70, NA, 465834,  M*
12, 23.9, 1567147, 287260, 30257, 38213, 44524, 31426, 20433, 6226, 7, 38, NA, 2025486,  M*
13, 25.9, 217738, 35828, 11617, 6895, 5584, 3839, 2717, 2333, 1, 40, NA, 286551,  M*
14, 26.9, 275812, 53115, 5841, 3702, 48216, 24252, 10914, 7091, 67, 34, NA, 428943,  M*
15, 28.9, 268018, 57199, 6241, 3759, 1763, 8502, 1242, 1727, 70, 29, NA, 348451,  M*
16, 29.9, 329648, 57172, 15025, 19478, 6686, 3321, 3198, 720, 43, 23, NA, 435248,  M*
17, 31.9, 892037, 300352, 16606, 15879, 6348, 8997, 9825, 9209, 1, 26, NA, 1259253,  M*
18, 32.9, 445978, 16654, 5291, 3606, 1231, 3674, 1264, 1125, 17, 51, NA, 478823,  M*
19, 34.9, 172490, 33488, 12470, 5378, 5458, 8967, 6143, 1563, 47, 48, NA, 245957,  M*
20, 37.9, 1025238, 321820, 66420, 38813, 23596, 29961, 33925, 6070, 57, 56, NA, 1545843,  M*
21, 45.8, 1351073, 116339, 59221, 9122, 12849, 46216, 16531, 6995, 61, 60, NA, 1618346,  M*
22, 46.8, 35074, 10580, 2490, 714, 1001, 1476, 1946, 659, 60, 66, NA, 53940,  M*
23, 48.8, 40010, 102769, 25576, 20945, 28185, 23381, 12398, 7860, 61, 48, NA, 261124,  M*
24, 49.8, 1199757, 150396, 41763, 77273, 32055, 24583, 29111, 10407, 57, 50, NA, 1565345,  M*
25, 51.8, 140113, 107448, 15184, 17144, 13143, 7676, 18676, 3315, 47, 50, NA, 322699,  M*
26, 52.8, 834080, 27507, 6745, 6806, 5294, 5446, 9975, 4254, 38, 50, NA, 900107,  M*
27, 54.8, 688927, 40564, 29453, 5468, 1250, 10252, 4386, 4049, 47, 51, NA, 784349,  M*
28, 57.8, 280150, 39997, 6751, 3403, 3670, 15795, 4391, 1767, 97, 43, NA, 355924,  M*
29, 59.7, 34248, 97772, 47147, 35531, 29530, 7180, 17705, 5684, 66, 29, NA, 274797,  M*
30, 60.8, 230662, 33909, 27770, 28088, 48042, 32832, 13558, 4984, 90, 51, NA, 419845,  M
31, 62.7, 295209, 115383, 99843, 93507, 38751, 22641, 46224, 14423, 70, 83, NA, 725981,  M
32, 63.7, 1693726, 1312009, 465959, 281930, 566616, 145160, 192347, 65936, 61, 67, NA, 4723683,  M
33, 65.7, 654576, 66813, 27148, 21581, 21492, 21682, 22479, 45715, 48, 66, NA, 881486,  M
34, 66.7, 2130725, 482633, 70133, 192147, 32006, 55305, 43928, 24129, 44, 61, NA, 3031006,  M
35, 68.7, 1039085, 61702, 6493, 11249, 8333, 8113, 18219, 2216, 51, 56, NA, 1155410,  M
36, 69.7, 41160, 29874, 6526, 7174, 1990, 7367, 8249, 4747, 56, 40, NA, 107087,  M
37, 71.7, 66991, 16498, 1141, 1239, 1067, 1855, 2186, 784, 60, 24, NA, 91761,  M
38, 72.7, 375458, 115527, 39475, 37151, 18291, 61990, 34052, 4544, 77, 40, NA, 686488,  M
39, 74.7, 29587, 32380, 21902, 4958, 25074, 21203, 25297, 7080, 87, 40, NA, 167481,  M
40, 77.7, 1353041, 66909, 24176, 32871, 12344, 42891, 9991, 19423, 100, 63, NA, 1561646,  M
41, 79.7, 525517, 194956, 41049, 18468, 20590, 19785, 16689, 22470, 93, 67, NA, 859524,  M
42, 80.7, 108910, 37024, 15046, 5415, 42913, 22472, 28794, 4192, 83, 48, NA, 264766,  M
43, 82.7, 246894, 22522, 4095, 1156, 1187, 667, 1107, 226, 51, 30, NA, 277854,  M
44, 83.7, 313504, 204275, 4789, 29409, 10931, 38094, 31956, 5890, 54, 27, NA, 638848,  M
45, 85.6, 80202, 42647, 17924, 22854, 8658, 29398, 23638, 7927, 56, 38, NA, 233248,  M
46, 86.7, 786335, 38033, 39195, 21609, 17805, 10090, 4473, 2565, 88, 54, NA, 920105,  M
47, 88.6, 672324, 132451, 34683, 12635, 11532, 6336, 3477, 626, 66, 63, NA, 874064,  M
48, 89.7, 33828, 7982, 2029, 675, 1356, 900, 1010, 286, 35, 50, NA, 48066,  M
49, 91.6, 394616, 25712, 8466, 25934, 21703, 41850, 12209, 3837, 54, 41, NA, 534327,  M
50, 92.6, 395754, 48281, 27232, 29485, 21073, 15757, 15449, 2670, 78, 63, NA, 555701,  M
51, 94.6, 54125, 48526, 10024, 3690, 5267, 11388, 11425, 880, 84, 60, NA, 145325,  M
52, 97.6, 525420, 38714, 11484, 7672, 16336, 28799, 12602, 6922, 83, 50, NA, 647949,  M
53, 99.6, 133337, 75631, 20589, 28901, 16092, 44445, 13661, 7360, 78, 37, NA, 340016,  M
54, 100.6, 57070, 21969, 9170, 9467, 4550, 6341, 3116, 1202, 61, 53, NA, 112885,  M
55, 102.6, 102901, 23093, 2530, 1729, 4271, 12632, 3807, 1258, 75, 40, NA, 152221,  M
56, 103.6, 85106, 35985, 10959, 9134, 8075, 8499, 4759, 4700, 67, 43, NA, 167217,  M
57, 105.6, 585908, 54843, 27119, 14927, 15380, 50970, 9942, 5343, 83, 38, NA, 764432,  M
58, 106.6, 464336, 25450, 4644, 19932, 27837, 11238, 10949, 13689, 80, 54, NA, 578075,  M
59, 108.6, 201144, 19466, 2266, 3135, 3662, 9835, 1678, 1469, 91, 43, NA, 242655,  M
60, 109.6, 1171242, 85663, 62329, 30085, 57379, 91480, 20948, 10778, 77, 51, NA, 1529904,  M
61, 111.6, 495696, 168692, 87297, 21885, 23851, 49862, 18012, 14263, 75, 54, NA, 879558,  M
62, 112.6, 35196, 31127, 1308, 24360, 20629, 22229, 21334, 3822, 97, 61, NA, 160005,  M
63, 114.5, 718301, 14963, 10749, 13085, 46309, 13127, 6452, 3909, 91, 60, NA, 826895,  M
64, 117.5, 88555, 21740, 9699, 6071, 3184, 3901, 3100, 1422, 74, 57, NA, 137672,  M
65, 119.5, 34325, 25845, 10004, 6935, 18187, 19567, 4921, 3156, 60, 54, NA, 122940,  M
66, 120.6, 220380, 180698, 17246, 76490, 20392, 13294, 8652, 3780, 69, 48, NA, 540932,  M
67, 122.5, 2178870, 228195, 10007, 11558, 31571, 28710, 9063, 9933, 63, 35, NA, 2507907,  M
68, 123.5, 1232067, 341953, 16424, 19773, 9877, 15245, 22563, 11151, 29, 16, NA, 1669053,  M
69, 125.5, 1843356, 71724, 31607, 19462, 21537, 12497, 13078, 2627, 40, 17, NA, 2015888,  M
70, 126.5, 110192, 101717, 18630, 25822, 11698, 3927, 6026, 917, 14, 47, NA, 278929,  M
71, 126.5, 1087182, 302247, 22983, 17152, 3456, 12229, 7563, 2694, 13, 50, NA, 1455506,  M
