obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 72568, 24077, 1374, 6806, 3738, 3848, 3591, 1099, NA, NA, NA, 117101,  M*
2, 7.0, 1798963, 766630, 65744, 87398, 8367, 20401, 28073, 21468, NA, NA, NA, 2797044,  M*
3, 9.0, 242925, 49510, 8479, 4009, 14169, 5563, 4790, 4352, 48, 38, NA, 333797,  M*
4, 10.0, 138458, 76898, 16352, 15524, 16182, 4436, 4681, 1635, 44, 43, NA, 274166,  M*
5, 11.9, 1417470, 266512, 38428, 33235, 53637, 26950, 14288, 4018, 54, 48, NA, 1854538,  M*
6, 12.9, 290639, 33661, 5770, 6350, 7063, 7417, 3382, 907, 60, 74, NA, 355189,  M*
7, 14.9, 1263096, 77829, 9467, 20178, 16093, 6305, 8504, 3826, 64, 69, NA, 1405298,  M*
8, 18.0, 529729, 38590, 7072, 24381, 16111, 16988, 14548, 2731, 81, 100, NA, 650150,  M*
9, 19.9, 2089869, 139734, 48281, 21009, 38307, 26790, 10425, 10878, 90, 100, NA, 2385293,  M*
10, 20.9, 763019, 20479, 10947, 10542, 26034, 16153, 6654, 4611, 100, 74, NA, 858439,  M*
11, 22.9, 371291, 199939, 20073, 5743, 21638, 21518, 4479, 4101, 96, 30, NA, 648782,  M*
12, 23.9, 109171, 19423, 4607, 2519, 4159, 2112, 1959, 881, 57, 34, NA, 144831,  M*
13, 25.9, 40074, 5386, 1469, 1762, 2283, 906, 525, 257, 47, 37, NA, 52662,  M*
14, 26.9, 109437, 41860, 10610, 10654, 2577, 3457, 3447, 1613, 47, 61, NA, 183655,  M*
15, 28.9, 111832, 5643, 4248, 2349, 749, 2693, 1744, 352, 54, 78, NA, 129610,  M*
16, 29.9, 44769, 8195, 1541, 1306, 1566, 1461, 715, 445, 51, 64, NA, 59998,  M*
17, 31.9, 122171, 22125, 1258, 4134, 5094, 3874, 1510, 1054, 60, 44, NA, 161220,  M*
18, 32.9, 360402, 71678, 15426, 8024, 10303, 6022, 5521, 3192, 56, 17, NA, 480568,  M*
19, 34.9, 84499, 56920, 23073, 1838, 3586, 5398, 4557, 2017, 51, 23, NA, 181888,  M*
20, 37.8, 15431, 19422, 11347, 9198, 14471, 11942, 12510, 2860, 56, 53, NA, 97181,  M*
21, 39.8, 29473, 56862, 7375, 2093, 3024, 22157, 5550, 3339, 83, 11, NA, 129873,  M*
22, 40.8, 138421, 25848, 9883, 4008, 2090, 4052, 2293, 2456, 60, 27, NA, 189051,  M*
23, 42.9, 106644, 26234, 1883, 1022, 2008, 1011, 522, 755, 54, 14, NA, 140079,  M*
24, 43.8, 38857, 17579, 13799, 27503, 12105, 14282, 3191, 3342, 41, 48, NA, 130658,  M*
25, 45.8, 177747, 56687, 5668, 2974, 5592, 3637, 6267, 951, 37, 26, NA, 259523,  M*
26, 46.8, 9211, 2864, 432, 7801, 10534, 14634, 11746, 3687, 83, 47, NA, 60909,  M*
27, 48.8, 71253, 39553, 18167, 7664, 18473, 7542, 13422, 11209, 77, 29, NA, 187283,  M*
28, 49.8, 1700548, 123251, 23271, 6760, 5889, 26617, 21582, 7074, 69, 40, NA, 1914992,  M*
29, 51.8, 23707, 21725, 3784, 9861, 8785, 20938, 18740, 7154, 63, 37, NA, 114694,  M*
30, 52.8, 221432, 24178, 10991, 9279, 6368, 8833, 11394, 2202, 60, 35, NA, 294677,  M*
31, 54.8, 123019, 53532, 10302, 12173, 19500, 16137, 13286, 7457, 61, 40, NA, 255406,  M*
32, 57.8, 10427, 14362, 8497, 14233, 6844, 9843, 9496, 7197, 64, 66, NA, 80899,  M*
33, 59.8, 141975, 37261, 9180, 2353, 5202, 2063, 2988, 741, 61, 61, NA, 201763,  M*
34, 60.8, 9544, 9615, 7096, 4271, 5070, 4746, 7014, 7236, 70, 66, NA, 54592,  M
35, 62.8, 90750, 4872, 690, 2452, 996, 1733, 1703, 681, 64, 61, NA, 103877,  M
36, 63.8, 1189221, 87010, 14666, 7437, 15847, 8211, 6297, 6893, 67, 66, NA, 1335582,  M
37, 65.7, 111679, 12970, 2032, 1190, 4542, 1987, 1770, 1571, 63, 43, NA, 137741,  M
38, 66.7, 39880, 53193, 5827, 9041, 7170, 6653, 12885, 2647, 51, 30, NA, 137296,  M
39, 68.7, 8330, 31794, 14547, 9892, 3661, 11053, 8301, 3460, 60, 47, NA, 91038,  M
40, 69.7, 87911, 39499, 3007, 1141, 2266, 2049, 1099, 922, 50, 10, NA, 137894,  M
41, 71.7, 7155, 8712, 4276, 2475, 5439, 16841, 10785, 2795, 69, 11, NA, 58478,  M
42, 72.7, 7115, 9331, 10609, 3914, 6539, 16706, 5635, 4177, 84, 40, NA, 64026,  M
43, 74.7, 13213, 7744, 10169, 1829, 2761, 8601, 4310, 3929, 100, 67, NA, 52556,  M
44, 77.7, 273753, 34251, 5165, 7260, 4953, 3857, 3628, 1045, 69, 50, NA, 333912,  M
45, 79.7, 76004, 23667, 1671, 1390, 4991, 2806, 3327, 852, 69, 37, NA, 114708,  M
46, 80.7, 18577, 6781, 6351, 4773, 3176, 21915, 9192, 2015, 63, 56, NA, 72780,  M
47, 82.7, 95843, 43136, 2708, 2368, 2022, 2423, 2864, 1072, 54, 43, NA, 152436,  M
48, 83.7, 65417, 26327, 7907, 18844, 24323, 13933, 4362, 3280, 83, 50, NA, 164393,  M
49, 85.7, 27965, 19340, 6926, 4489, 6748, 6866, 9437, 3851, 69, 50, NA, 85622,  M
50, 86.7, 187544, 234782, 48258, 30681, 6574, 9943, 5002, 5153, 61, 66, NA, 527937,  M
51, 88.7, 373405, 241330, 9975, 17533, 26419, 13319, 14058, 4093, 48, 44, NA, 700132,  M
52, 89.7, 277208, 84933, 2885, 6897, 9283, 4195, 3047, 1513, 20, 17, NA, 389961,  M
53, 91.6, 266029, 192396, 43638, 13532, 24054, 22789, 13544, 2472, 27, 14, NA, 578454,  M
54, 92.6, 13830, 15233, 4927, 6962, 9880, 7526, 7066, 3838, 40, 37, NA, 69262,  M
55, 94.7, 170720, 44973, 2524, 4189, 3434, 3086, 1235, 888, 43, 41, NA, 231049,  M
56, 97.6, 9162, 2665, 3619, 1027, 2364, 5796, 8587, 2454, 70, 64, NA, 35674,  M
57, 99.6, 30032, 6547, 2695, 5010, 7151, 7993, 6395, 3879, 96, 78, NA, 69702,  M
