obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 1221419, 706840, 135161, 171421, 88305, 112578, 83931, 41952, NA, NA, NA, 2561607,  T*
2, 7.0, 413863, 499950, 10295, 32921, 9925, 10154, 23896, 4485, NA, NA, NA, 1005489,  T*
3, 8.9, 100580, 10992, 12607, 1904, 1681, 7640, 4346, 4619, 53, 51, NA, 144369,  T*
4, 9.9, 192806, 14219, 2630, 960, 2127, 1439, 2607, 507, 56, 61, NA, 217295,  T*
5, 11.9, 619119, 100647, 57198, 13459, 9056, 40659, 38861, 24704, 67, 67, NA, 903703,  T*
6, 12.9, 336397, 42723, 3380, 9952, 7895, 10074, 8645, 6737, 75, 50, NA, 425803,  T*
7, 14.9, 1010073, 142001, 45884, 31459, 20220, 43236, 33187, 22737, 81, 54, NA, 1348797,  T*
8, 17.9, 384363, 38532, 11524, 3453, 2590, 5202, 2980, 3639, 67, 54, NA, 452283,  T*
9, 19.9, 225786, 35636, 3939, 9979, 3974, 5560, 8796, 2131, 67, 48, NA, 295801,  T*
10, 20.9, 243663, 104030, 65504, 21705, 25748, 27336, 26339, 8841, 63, 40, NA, 523166,  T*
11, 22.9, 282434, 74359, 19393, 26780, 10533, 31465, 13694, 13331, 77, 51, NA, 471989,  T*
12, 23.9, 13676, 7661, 3713, 9047, 7930, 19376, 23236, 5834, 90, 75, NA, 90473,  T*
13, 25.9, 42595, 21033, 7975, 17590, 10744, 33868, 11980, 12442, 100, 69, NA, 158227,  T*
14, 26.9, 59479, 7553, 7603, 2874, 2172, 1758, 1808, 1227, 93, 66, NA, 84474,  T*
15, 28.9, 308699, 39768, 9816, 7184, 9313, 2980, 4590, 1026, 70, 66, NA, 383376,  T*
16, 29.9, 205359, 18200, 12717, 2259, 1615, 5869, 3909, 1383, 66, 75, NA, 251311,  T*
17, 31.9, 22271, 18388, 50371, 28909, 19881, 14838, 16106, 5748, 69, 80, NA, 176512,  T*
18, 32.9, 384519, 262829, 194454, 243745, 186568, 105490, 300484, 40317, 77, 88, NA, 1718406,  T*
19, 34.8, 1046222, 549270, 107758, 95839, 14494, 57499, 53757, 23197, 70, 83, NA, 1948036,  T*
20, 37.8, 84889, 46972, 8861, 8731, 9355, 5723, 4745, 3375, 57, 54, NA, 172651,  T*
21, 39.8, 88899, 141051, 5365, 9125, 15097, 9914, 27007, 12073, 56, 47, NA, 308531,  T*
22, 40.8, 828582, 74196, 19421, 16821, 24084, 20761, 36251, 10377, 60, 35, NA, 1030493,  T*
23, 42.8, 276128, 130116, 43719, 17492, 52149, 33202, 24058, 18784, 64, 35, NA, 595648,  T*
24, 43.8, 103461, 35519, 17506, 6020, 9573, 27198, 13254, 6486, 83, 61, NA, 219017,  T*
25, 45.8, 326738, 31449, 14350, 3033, 10508, 20544, 11652, 6026, 90, 60, NA, 424300,  T*
26, 46.8, 115432, 9487, 20457, 3776, 13646, 13026, 9982, 4005, 100, 60, NA, 189811,  T*
27, 48.8, 44754, 35668, 21267, 4193, 6731, 5214, 2409, 768, 96, 64, NA, 121004,  T*
28, 49.8, 205450, 17559, 6805, 898, 6058, 4749, 5344, 1113, 69, 70, NA, 247976,  T*
29, 51.8, 19371, 6442, 4734, 9923, 5035, 11037, 7280, 5603, 70, 70, NA, 69425,  T*
30, 52.8, 305024, 54184, 5688, 5390, 8227, 7085, 796, 1156, 84, 63, NA, 387550,  T*
31, 54.8, 67012, 8947, 5392, 14372, 2676, 9229, 6778, 3492, 90, 75, NA, 117898,  T*
32, 57.8, 18608, 11319, 32733, 3910, 4631, 5305, 4742, 6584, 74, 83, NA, 87832,  T*
33, 59.7, 14261, 13674, 9590, 12070, 7168, 13775, 7997, 5882, 87, 90, NA, 84417,  T*
34, 60.8, 445154, 87762, 13895, 7455, 6942, 25952, 15078, 3240, 81, 56, NA, 605478,  T
35, 62.8, 70470, 15590, 8554, 2736, 3654, 4716, 6647, 3641, 75, 54, NA, 116008,  T
36, 63.8, 6203, 17217, 10825, 1566, 7330, 7374, 3995, 3146, 77, 54, NA, 57656,  T
37, 65.7, 47067, 18556, 7510, 7784, 11800, 11956, 5987, 5830, 78, 60, NA, 116490,  T
38, 66.7, 6393, 16373, 7101, 3376, 8749, 5212, 4268, 1245, 87, 64, NA, 52717,  T
39, 68.7, 7405, 9925, 12457, 4755, 4799, 12913, 5468, 2555, 91, 69, NA, 60277,  T
40, 69.7, 44572, 43171, 1945, 2461, 2678, 4117, 2983, 991, 80, 63, NA, 102918,  T
41, 71.7, 23390, 30792, 9697, 7794, 13394, 10816, 7352, 3481, 81, 61, NA, 106716,  T
42, 72.7, 19057, 12382, 4851, 5230, 7638, 18345, 7431, 1411, 90, 50, NA, 76345,  T
43, 74.7, 6174, 8032, 12863, 5953, 5207, 12322, 12785, 3136, 100, 69, NA, 66472,  T
44, 77.7, 5687, 22714, 7648, 36797, 6527, 6033, 5567, 2948, 90, 74, NA, 93921,  T
45, 79.7, 12430, 18154, 23568, 4655, 7240, 6494, 6810, 1496, 77, 94, NA, 80847,  T
46, 80.7, 12730, 7057, 6333, 1863, 3013, 9732, 4029, 1722, 96, 84, NA, 46479,  T
47, 82.7, 9419, 13837, 17009, 26682, 2839, 6879, 6175, 3641, 84, 93, NA, 86481,  T
48, 83.7, 29178, 18085, 2847, 6268, 14175, 5696, 7957, 2174, 90, 78, NA, 86380,  T
49, 85.7, 3979, 8545, 1739, 4342, 14641, 14356, 1958, 3036, 93, 67, NA, 52596,  T
50, 86.7, 628323, 105278, 62740, 34928, 6004, 17971, 11179, 4505, 90, 57, NA, 870928,  T
51, 88.6, 62323, 17145, 6527, 11363, 8347, 13657, 5764, 4927, 94, 64, NA, 130053,  T
52, 89.6, 11886, 60231, 17666, 28501, 10683, 15004, 4861, 2253, 78, 83, NA, 151085,  T
53, 91.6, 13564, 25260, 3149, 5678, 2740, 10118, 4150, 3659, 87, 74, NA, 68318,  T
54, 92.6, 10886, 13092, 21948, 19040, 4688, 12006, 4024, 6495, 67, 83, NA, 92179,  T
