obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 50078, 44104, 11047, 31539, 6924, 19789, 11168, 4206, NA, NA, NA, 178855,  A*
2, 7.0, 203418, 343784, 33135, 41316, 13360, 36364, 27910, 14642, NA, NA, NA, 713929,  A*
3, 9.0, 112576, 5866, 12790, 14859, 7071, 5528, 3416, 3248, 44, 53, NA, 165354,  A*
4, 9.9, 21386, 10779, 475, 5191, 2605, 4356, 4229, 1044, 50, 54, NA, 50065,  A*
5, 11.9, 52187, 32869, 45084, 7957, 21282, 15712, 16555, 5778, 60, 61, NA, 197424,  A*
6, 13.0, 132537, 14247, 706, 3300, 2802, 4169, 2346, 1774, 97, 40, NA, 161881,  A*
7, 14.9, 48016, 5687, 11354, 11567, 12025, 9857, 5591, 4336, 100, 50, NA, 108433,  A*
8, 18.0, 594017, 139286, 23664, 10384, 28942, 18591, 25780, 6545, 78, 21, NA, 847209,  A*
9, 19.9, 28992, 18247, 11305, 11713, 5156, 2600, 3557, 1017, 35, 53, NA, 82587,  A*
10, 20.9, 1096889, 201694, 3391, 6948, 17912, 13157, 3462, 7360, 34, 53, NA, 1350813,  A*
11, 22.9, 57604, 20060, 3496, 4817, 2836, 2000, 2528, 1455, 16, 41, NA, 94796,  A*
12, 23.9, 24643, 20600, 3990, 2846, 6375, 6761, 5954, 2957, 56, 14, NA, 74126,  A*
13, 25.9, 24180, 14086, 26343, 5736, 3699, 5935, 11671, 6533, 67, 48, NA, 98183,  A*
14, 26.9, 6737, 35653, 3081, 11762, 3723, 8811, 14414, 2910, 74, 54, NA, 87091,  A*
15, 28.9, 27489, 45245, 3878, 8294, 3401, 6439, 4175, 2603, 57, 56, NA, 101524,  A*
16, 29.9, 8041, 32919, 33985, 29934, 11353, 8377, 3245, 4236, 34, 56, NA, 132090,  A*
17, 31.9, 13774, 21431, 13668, 28281, 12762, 8401, 3703, 2166, 29, 67, NA, 104186,  A*
18, 32.9, 92601, 14102, 1379, 939, 3443, 1636, 868, 679, 29, 69, NA, 115647,  A*
19, 34.9, 6641, 16504, 8656, 3733, 14051, 20931, 6286, 1666, 56, 54, NA, 78468,  A*
20, 37.8, 34113, 32088, 7892, 7038, 9091, 9918, 6550, 5799, 51, 34, NA, 112489,  A*
21, 39.8, 22526, 14067, 4668, 10907, 5015, 6645, 9419, 4944, 74, 51, NA, 78191,  A*
22, 40.8, 16551, 8043, 12020, 16028, 10963, 7167, 6390, 7584, 64, 63, NA, 84746,  A*
23, 42.8, 11163, 17456, 19599, 5972, 5274, 6680, 6384, 1781, 60, 74, NA, 74309,  A*
24, 43.8, 29515, 11324, 13794, 9707, 6755, 6449, 4048, 5132, 51, 77, NA, 86724,  A*
25, 45.8, 19904, 21691, 23421, 4187, 6223, 5310, 5398, 2213, 41, 74, NA, 88347,  A*
26, 46.8, 7933, 45256, 2923, 3242, 4872, 3830, 3731, 2210, 21, 56, NA, 73997,  A*
27, 48.8, 6530, 11445, 3287, 2812, 1334, 6305, 5190, 1835, 30, 44, NA, 38738,  A*
28, 49.8, 388211, 22192, 2623, 2851, 1717, 6605, 2049, 732, 30, 24, NA, 426980,  A*
29, 51.8, 194427, 37892, 6384, 7990, 23928, 16186, 16309, 5218, 54, 29, NA, 308334,  A*
30, 52.8, 19977, 9051, 4409, 10809, 12819, 9856, 5595, 3519, 69, 38, NA, 76035,  A*
31, 54.8, 14925, 30521, 4164, 9345, 6446, 12583, 3429, 1919, 75, 41, NA, 83332,  A*
32, 57.8, 17203, 19079, 11440, 14894, 26546, 8614, 10380, 5624, 57, 43, NA, 113780,  A*
33, 59.8, 191072, 73410, 10618, 11928, 9626, 23919, 22117, 8267, 40, 47, NA, 350957,  A*
34, 60.8, 5465, 55200, 16482, 48272, 46546, 10603, 12627, 8376, 53, 38, NA, 203571,  A
35, 62.8, 72960, 14319, 1125, 2627, 11189, 4132, 2619, 743, 69, 34, NA, 109714,  A
36, 63.8, 13519, 30277, 20256, 5535, 6294, 19428, 25144, 2254, 81, 44, NA, 122707,  A
37, 65.7, 21030, 5306, 8996, 9357, 11887, 17685, 29576, 14145, 100, 43, NA, 117982,  A
38, 66.7, 32011, 34032, 20495, 11839, 4089, 7301, 9832, 4041, 77, 53, NA, 123640,  A
39, 68.7, 29082, 32355, 13904, 8262, 33767, 9425, 8094, 5720, 67, 48, NA, 140609,  A
40, 69.7, 21156, 11077, 10124, 6398, 6672, 6877, 4287, 1190, 40, 63, NA, 67781,  A
41, 71.7, 30572, 20460, 51262, 12517, 10493, 10777, 6094, 4952, 43, 70, NA, 147127,  A
42, 72.7, 7433, 38119, 15527, 12909, 8970, 9156, 21133, 4485, 47, 70, NA, 117732,  A
43, 74.7, 60488, 18005, 42645, 25774, 16241, 9244, 5409, 3809, 35, 81, NA, 181615,  A
44, 77.7, 86417, 32292, 13528, 6601, 14726, 8799, 11619, 4052, 41, 64, NA, 178034,  A
45, 79.7, 16178, 11141, 15089, 9130, 16857, 6905, 5641, 3812, 67, 44, NA, 84753,  A
46, 80.7, 15496, 12079, 17427, 5456, 7939, 12127, 6670, 5085, 60, 63, NA, 82279,  A
47, 82.7, 11539, 42013, 17908, 10295, 6022, 7659, 8024, 3122, 60, 74, NA, 106582,  A
48, 83.7, 25565, 22900, 28511, 13985, 8807, 9944, 12734, 20579, 48, 57, NA, 143025,  A
49, 85.7, 101339, 19598, 2776, 1834, 3189, 2102, 4192, 3025, 34, 44, NA, 138055,  A
50, 86.7, 15716, 20524, 25251, 3186, 9106, 10131, 11250, 9758, 41, 61, NA, 104922,  A
51, 88.7, 38915, 38738, 14387, 14231, 6918, 8719, 9510, 7463, 40, 54, NA, 138881,  A
52, 89.7, 28841, 13743, 6385, 6811, 24490, 8335, 8111, 2583, 63, 48, NA, 99299,  A
53, 91.7, 49099, 30681, 29667, 9393, 9068, 6935, 4332, 1824, 53, 50, NA, 140999,  A
54, 92.6, 52427, 27053, 33647, 29259, 16830, 9041, 11762, 5496, 51, 61, NA, 185515,  A
55, 94.6, 827402, 135419, 78946, 42926, 21086, 10315, 39454, 6342, 24, 70, NA, 1161890,  A
56, 97.6, 41736, 58336, 13984, 18074, 15961, 9923, 14725, 4459, 24, 69, NA, 177198,  A
57, 99.6, 25352, 15184, 2312, 7832, 2564, 8471, 10266, 10995, 50, 60, NA, 82976,  A
