obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 281986, 96516, 5182, 3254, 921, 1592, 540, 311, NA, NA, NA, 390302,  T*
2, 7.0, 100207, 107226, 18747, 10366, 16529, 10269, 5664, 2079, NA, NA, NA, 271087,  T*
3, 9.0, 407685, 137811, 24628, 28540, 2852, 2260, 2746, 1406, 30, 51, NA, 607928,  T*
4, 9.9, 274535, 62434, 107097, 54603, 42886, 31421, 10126, 2321, 60, 69, NA, 585423,  T*
5, 11.9, 43929, 41622, 13874, 12640, 5752, 3154, 3177, 790, 67, 83, NA, 124938,  T*
6, 12.9, 291674, 77428, 2782, 20711, 4035, 13209, 2400, 2318, 100, 97, NA, 414557,  T*
7, 14.9, 9360, 46146, 2542, 8426, 6701, 8417, 3405, 960, 100, 75, NA, 85957,  T*
8, 17.9, 5416, 6652, 3426, 7487, 1730, 3239, 1639, 1342, 100, 80, NA, 30931,  2*
9, 19.9, 81543, 49866, 13039, 22078, 7268, 5421, 5019, 3664, 80, 100, NA, 187898,  2*
10, 20.9, 1217948, 40094, 11538, 10020, 6467, 9592, 3807, 1471, 87, 100, NA, 1300937,  2*
11, 22.9, 433261, 68657, 13260, 7784, 4764, 10443, 3804, 1738, 94, 81, NA, 543711,  2*
12, 23.9, 310999, 18080, 14589, 11379, 15870, 3730, 1509, 528, 93, 66, NA, 376684,  2*
13, 25.9, 44852, 8921, 7279, 2088, 8861, 4147, 5853, 2942, 97, 67, NA, 84943,  2*
14, 26.9, 27792, 25742, 24136, 3683, 9838, 4357, 10275, 2722, 81, 84, NA, 108545,  2*
15, 28.9, 15073, 20844, 3885, 11559, 3501, 4486, 4007, 3375, 87, 83, NA, 66730,  2*
16, 29.9, 23973, 7087, 14969, 1435, 6235, 4159, 2225, 2046, 93, 100, NA, 62129,  2*
17, 31.9, 6011, 16924, 10564, 2715, 4627, 3996, 1785, 1703, 100, 100, NA, 48325,  2*
18, 32.9, 5795, 8975, 6120, 578, 6200, 1896, 1073, 1510, 100, 75, NA, 32147,  2*
19, 34.8, 5144, 5489, 2671, 10636, 4520, 4381, 5097, 2470, 100, 74, NA, 40408,  2*
20, 37.8, 5027, 20229, 6382, 1483, 7771, 7548, 2486, 2585, 100, 80, NA, 53511,  2*
21, 39.8, 3109, 14055, 9739, 4009, 3791, 4090, 1737, 2945, 100, 83, NA, 43475,  2*
22, 40.9, 8435, 13577, 3593, 9456, 1540, 3119, 4012, 2781, 81, 83, NA, 46513,  2*
23, 42.9, 5336, 21542, 1130, 2690, 2867, 5371, 4777, 1707, 84, 57, NA, 45420,  2*
24, 43.8, 16640, 14449, 475, 4969, 3558, 4895, 1787, 5023, 100, 69, NA, 51796,  2*
25, 45.8, 38924, 44152, 31066, 15390, 8603, 3852, 1535, 2389, 97, 74, NA, 145911,  2*
26, 46.8, 37106, 34724, 8012, 6941, 11315, 8230, 2789, 2252, 93, 70, NA, 111369,  2*
27, 48.8, 21741, 15401, 7020, 4808, 4184, 4909, 3186, 2014, 90, 81, NA, 63263,  2*
28, 49.8, 17625, 13311, 4146, 8950, 2317, 4268, 2999, 7679, 96, 69, NA, 61295,  2*
29, 51.8, 10933, 25402, 1824, 8879, 3863, 3501, 1070, 1497, 90, 70, NA, 56969,  2*
30, 52.8, 100564, 12710, 1960, 1684, 1773, 758, 1241, 1176, 91, 83, NA, 121866,  2*
31, 54.8, 16204, 35191, 46487, 20161, 5946, 5877, 3386, 2025, 80, 91, NA, 135277,  2*
32, 57.8, 76442, 17980, 6289, 6322, 2104, 1055, 1188, 599, 69, 87, NA, 111979,  2*
33, 59.8, 48310, 40872, 2528, 21276, 16815, 4710, 1930, 2909, 91, 84, NA, 139350,  2*
34, 60.8, 13504, 21370, 2920, 6320, 2007, 3226, 3930, 2102, 84, 78, NA, 55379,  2
35, 62.7, 28043, 63505, 6388, 10959, 16646, 7396, 2925, 3622, 74, 61, NA, 139484,  2
36, 63.8, 9520, 3360, 6775, 1142, 2711, 4016, 2542, 5133, 93, 70, NA, 35199,  2
37, 65.7, 29890, 21330, 9707, 14756, 8211, 2287, 3242, 3102, 84, 78, NA, 92525,  2
38, 66.7, 5385, 9107, 5358, 4770, 5186, 4093, 10867, 1544, 100, 93, NA, 46310,  2
39, 68.7, 20514, 8090, 10119, 3777, 3020, 5419, 4096, 2069, 96, 93, NA, 57104,  2
40, 69.7, 4254, 29312, 3767, 2169, 8760, 4196, 2341, 1770, 100, 74, NA, 56569,  2
41, 71.7, 10107, 7944, 4156, 5734, 2288, 7251, 6135, 1914, 100, 74, NA, 45529,  2
42, 72.7, 8928, 48526, 11633, 4626, 2250, 3366, 6570, 3494, 80, 57, NA, 89393,  2
43, 74.7, 107360, 12727, 2424, 768, 2140, 1268, 600, 525, 74, 61, NA, 127812,  2
44, 77.7, 9590, 9795, 6693, 8133, 4434, 5081, 4006, 2109, 81, 66, NA, 49841,  2
45, 79.7, 10862, 14136, 285, 4824, 4528, 2699, 3173, 1359, 83, 94, NA, 41866,  2
46, 80.7, 116702, 20677, 3664, 1936, 1979, 1004, 840, 588, 83, 75, NA, 147390,  2
47, 82.7, 7323, 15629, 4464, 4707, 3504, 3399, 4367, 1010, 84, 66, NA, 44403,  2
48, 83.7, 15347, 36448, 14372, 17405, 12214, 4596, 3757, 1497, 51, 53, NA, 105636,  2
49, 85.7, 11915, 11513, 6530, 7243, 2763, 3611, 2533, 1357, 64, 67, NA, 47465,  2
50, 86.7, 12228, 25836, 5516, 4900, 1713, 10723, 3654, 1262, 100, 81, NA, 65832,  2
51, 88.7, 18665, 6033, 7205, 820, 1526, 7889, 4136, 2570, 100, 78, NA, 48844,  2
52, 89.7, 23534, 33214, 20635, 13652, 4186, 4326, 2264, 1712, 97, 81, NA, 103523,  2
53, 91.6, 28493, 12774, 9157, 18455, 6849, 2494, 2357, 2588, 81, 100, NA, 83167,  2
54, 92.6, 30517, 11782, 10974, 8233, 5743, 3858, 3432, 1439, 47, 97, NA, 75978,  2
55, 94.6, 201110, 47040, 1971, 3639, 1262, 1289, 473, 519, 40, 74, NA, 257303,  2
56, 97.6, 40297, 27164, 10524, 7859, 10402, 4799, 4398, 3890, 53, 78, NA, 109333,  2
57, 99.6, 1515, 18767, 8182, 6105, 2332, 5709, 2347, 1443, 77, 84, NA, 46400,  2
58, 100.6, 92302, 17624, 3677, 2191, 3804, 2037, 1023, 513, 83, 78, NA, 123171,  2
59, 102.6, 79079, 27637, 5315, 8855, 3517, 1686, 1110, 810, 75, 70, NA, 128009,  2
60, 103.6, 84760, 3210, 1492, 2583, 1214, 901, 1029, 351, 66, 63, NA, 95540,  2
61, 105.6, 32260, 41262, 11187, 6989, 4304, 6919, 4893, 3511, 67, 67, NA, 111325,  2
62, 106.6, 24252, 21963, 12561, 7994, 2836, 4827, 2733, 1047, 77, 83, NA, 78213,  2
63, 108.6, 17160, 13812, 16003, 7886, 2727, 5042, 2408, 1770, 77, 88, NA, 66808,  2
64, 109.6, 7920, 44487, 9620, 17084, 1043, 3329, 2300, 1580, 69, 96, NA, 87363,  2
65, 111.6, 16450, 27869, 18226, 14722, 8944, 8418, 2740, 1605, 74, 96, NA, 98974,  2
66, 112.6, 22464, 4388, 4658, 4834, 2879, 6808, 3617, 2897, 78, 93, NA, 52545,  2
67, 114.5, 24730, 20301, 4159, 6224, 3134, 6580, 2899, 1276, 91, 88, NA, 69303,  2
68, 117.5, 26384, 9870, 513, 4943, 5089, 4467, 4686, 2731, 97, 70, NA, 58683,  2
69, 119.5, 18662, 16165, 9952, 10903, 7023, 2607, 4007, 2298, 93, 77, NA, 71617,  2
70, 120.5, 28069, 13432, 11852, 6400, 4224, 5296, 6202, 2987, 88, 97, NA, 78462,  2
71, 122.5, 30458, 10430, 6463, 2352, 3704, 4903, 4497, 3131, 81, 94, NA, 65938,  2
72, 123.5, 5812, 22516, 5395, 3101, 2279, 3872, 1815, 3629, 83, 88, NA, 48419,  2
73, 125.5, 2740, 11553, 11667, 1390, 4891, 5964, 2400, 2172, 87, 84, NA, 42777,  2
74, 126.5, 17909, 17494, 21636, 8661, 6380, 3616, 4059, 1618, 87, 88, NA, 81373,  2
75, 128.5, 7771, 16174, 5061, 2636, 4987, 6041, 3769, 3879, 93, 87, NA, 50318,  2
76, 129.5, 11085, 16121, 15930, 8773, 18056, 2840, 1240, 1218, 78, 84, NA, 75263,  2
77, 131.5, 23581, 42410, 15900, 11595, 8554, 4665, 4296, 1096, 77, 77, NA, 112097,  2
78, 132.5, 10015, 10353, 1672, 4006, 2913, 7023, 4493, 3219, 87, 78, NA, 43694,  2
79, 134.5, 4437, 10719, 12612, 3407, 2996, 5605, 3535, 1002, 94, 83, NA, 44313,  2
