obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 81003, 21763, 22810, 22329, 15735, 4484, 4238, 6084, NA, NA, NA, 178446,  M*
2, 6.0, 572693, 23390, 21140, 13674, 15070, 18459, 8125, 1271, NA, NA, NA, 673822,  M*
3, 6.9, 163485, 135818, 10173, 21216, 14246, 5837, 3712, 1555, 30, 30, NA, 356042,  M*
4, 8.9, 49411, 364313, 4952, 29753, 11969, 50019, 22410, 6055, 35, 13, NA, 538882,  M*
5, 9.9, 69806, 41022, 5514, 2838, 3009, 2073, 757, 891, 27, 1, NA, 125910,  M*
6, 11.9, 50789, 52779, 15198, 4470, 8139, 3804, 2221, 1821, 30, 7, NA, 139221,  M*
7, 12.9, 796908, 93359, 23042, 13566, 10021, 7088, 6174, 1236, 37, 16, NA, 951394,  M*
8, 14.9, 245457, 107762, 10638, 1453, 3108, 6523, 2447, 543, 38, 7, NA, 377931,  M*
9, 17.9, 1881207, 1332726, 102972, 186026, 223636, 128056, 10110, 9947, 26, 1, NA, 3874680,  M*
10, 19.9, 950798, 52648, 2737, 10682, 4516, 27103, 17778, 2764, 37, 1, NA, 1069026,  M*
11, 20.9, 438604, 49790, 29613, 2990, 17579, 9239, 14376, 5375, 48, 26, NA, 567566,  M*
12, 22.9, 77422, 31070, 40987, 19332, 12662, 9365, 12514, 2478, 61, 60, NA, 205830,  M*
13, 23.9, 598739, 14870, 4167, 5433, 4380, 2030, 2507, 1000, 63, 57, NA, 633126,  M*
14, 25.9, 51142, 16234, 15147, 5280, 25794, 5474, 7317, 1798, 64, 57, NA, 128186,  M*
15, 26.9, 221582, 129621, 6037, 3572, 11889, 12027, 10505, 2411, 29, 16, NA, 397644,  M*
16, 28.9, 102979, 52191, 4256, 6897, 3434, 5440, 1328, 1796, 29, 4, NA, 178321,  M*
17, 29.9, 656212, 27273, 1360, 1117, 1818, 3274, 1054, 816, 41, 17, NA, 692924,  M*
18, 31.8, 317754, 40485, 4127, 9325, 3024, 7055, 3123, 688, 44, 35, NA, 385581,  M*
19, 32.9, 142609, 73542, 8108, 12074, 5563, 7578, 7480, 5537, 50, 27, NA, 262491,  M*
20, 34.8, 47427, 63786, 3505, 20479, 23857, 25085, 12376, 6895, 60, 40, NA, 203410,  M*
21, 37.8, 387790, 17775, 7399, 4572, 12082, 9110, 6484, 6980, 74, 44, NA, 452192,  M*
22, 39.8, 81976, 9033, 651, 5620, 6441, 4262, 5022, 859, 60, 35, NA, 113864,  M*
23, 40.8, 1364064, 354851, 74969, 18064, 36593, 21902, 5282, 8519, 56, 43, NA, 1884244,  M*
24, 42.8, 515613, 204929, 13123, 16558, 10102, 19694, 5588, 3045, 51, 21, NA, 788652,  M*
25, 43.8, 45011, 27234, 18511, 5220, 12267, 12433, 5503, 9636, 56, 41, NA, 135815,  M*
26, 45.8, 10384, 70639, 23693, 20189, 25727, 8084, 4964, 3961, 60, 48, NA, 167641,  M*
27, 46.8, 118991, 50163, 15697, 14690, 19523, 13622, 8560, 3795, 57, 50, NA, 245041,  M*
28, 48.8, 53950, 13900, 7497, 2212, 3071, 1253, 1991, 738, 44, 53, NA, 84612,  M*
29, 49.8, 34189, 23342, 19745, 14224, 5370, 3968, 5092, 3419, 44, 63, NA, 109349,  M*
30, 51.8, 224925, 48699, 24226, 29740, 21233, 10423, 5488, 1797, 40, 70, NA, 366531,  M*
31, 52.8, 9573, 21128, 6956, 12511, 8182, 8924, 2873, 5867, 48, 66, NA, 76014,  M*
32, 54.8, 149977, 50049, 912, 8048, 5374, 4924, 1603, 2334, 48, 43, NA, 223221,  M*
33, 57.7, 6022, 22195, 4766, 12104, 6177, 5655, 4525, 901, 67, 34, NA, 62345,  M*
34, 59.7, 33460, 15696, 18114, 19429, 2606, 13884, 2919, 2076, 63, 48, NA, 108184,  M*
35, 60.7, 6132, 47694, 14333, 15939, 7313, 14059, 6737, 3876, 56, 47, NA, 116083,  M
36, 62.7, 14195, 23242, 17588, 3913, 6362, 4731, 3048, 4703, 60, 74, NA, 77782,  M
37, 63.7, 149621, 68147, 23809, 9036, 15310, 6169, 10559, 2909, 63, 69, NA, 285560,  M
38, 65.7, 6377, 26285, 5191, 9513, 13953, 8493, 1094, 5027, 64, 67, NA, 75933,  M
39, 66.7, 45660, 16605, 6231, 22709, 6894, 6912, 6343, 1125, 53, 75, NA, 112479,  M
40, 68.7, 18480, 34697, 12287, 6243, 3285, 1560, 1337, 929, 47, 77, NA, 78818,  M
41, 69.7, 67512, 15284, 2221, 7054, 1461, 3752, 2705, 881, 50, 81, NA, 100870,  M
42, 71.7, 31955, 4935, 9136, 13733, 8076, 4854, 4796, 2441, 51, 84, NA, 79926,  M
43, 72.7, 1334152, 207136, 38591, 36491, 21664, 18873, 6565, 6960, 57, 78, NA, 1670432,  M
44, 74.7, 44203, 14514, 338, 12750, 17969, 28156, 6598, 8404, 75, 61, NA, 132932,  M
45, 77.7, 1843692, 398264, 52522, 27472, 27516, 25020, 24553, 7924, 61, 34, NA, 2406963,  M
46, 79.7, 160616, 109289, 15392, 6164, 20747, 5665, 11586, 3445, 20, 29, NA, 332904,  M
47, 80.7, 32376, 10686, 3118, 5479, 14932, 9756, 9748, 8206, 29, 23, NA, 94301,  M
48, 82.7, 397298, 209643, 94704, 73523, 55159, 43320, 7491, 7920, 47, 38, NA, 889058,  M
49, 83.7, 536035, 32983, 7687, 2948, 7254, 16326, 13586, 2130, 81, 47, NA, 618949,  M
50, 85.6, 58699, 19375, 4502, 4705, 5389, 2018, 1113, 1000, 63, 48, NA, 96801,  M
51, 86.7, 659114, 214287, 8648, 53703, 55712, 19952, 6624, 5626, 43, 38, NA, 1023666,  M
52, 88.6, 49542, 64174, 1503, 18370, 22330, 10499, 7374, 7174, 34, 38, NA, 180966,  M
53, 89.6, 186626, 51153, 32651, 23112, 10855, 11308, 4630, 9602, 40, 54, NA, 329937,  M
54, 91.6, 569258, 345657, 15060, 16895, 25792, 15467, 2936, 5965, 35, 44, NA, 997030,  M
55, 92.6, 11323, 42979, 14615, 9049, 4876, 10353, 6321, 6897, 48, 53, NA, 106413,  M
56, 94.6, 179201, 22202, 833, 13629, 4789, 8366, 10065, 2969, 54, 47, NA, 242054,  M
57, 97.6, 99325, 75792, 44775, 12832, 28860, 15972, 10878, 1234, 51, 51, NA, 289668,  M
58, 99.6, 382196, 75975, 14418, 6955, 18136, 13799, 5521, 4155, 61, 38, NA, 521155,  M
59, 100.6, 59467, 7221, 10801, 11675, 12412, 6073, 6350, 5925, 64, 48, NA, 119924,  M
60, 102.6, 22084, 7078, 22553, 10919, 2845, 13428, 5233, 975, 75, 75, NA, 85115,  M
61, 103.6, 212804, 12734, 2412, 6945, 5077, 1458, 2685, 727, 69, 84, NA, 244842,  M
62, 105.6, 1056120, 22480, 17922, 6688, 5313, 2361, 3659, 1389, 57, 84, NA, 1115932,  M
63, 106.6, 111672, 37909, 6220, 17087, 9480, 6340, 4100, 3163, 29, 51, NA, 195971,  M
64, 108.6, 70621, 96655, 12390, 11801, 2883, 13365, 7899, 2865, 35, 41, NA, 218479,  M
65, 109.6, 45544, 67040, 32510, 25359, 11701, 14532, 6103, 3451, 56, 51, NA, 206240,  M
66, 111.5, 28551, 28450, 12249, 19734, 21201, 16347, 18373, 4376, 64, 51, NA, 149281,  M
67, 112.5, 222809, 346302, 8310, 37724, 19779, 13255, 11976, 2976, 50, 56, NA, 663131,  M
68, 114.5, 256102, 9184, 2211, 2758, 4471, 3255, 4443, 879, 56, 47, NA, 283303,  M
69, 117.6, 684174, 374136, 25043, 22755, 23111, 20760, 15680, 3923, 41, 17, NA, 1169582,  M
70, 117.6, 1951703, 100158, 34084, 17835, 14978, 11172, 4817, 1795, 47, 44, NA, 2136542,  M
