obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 378316, 325407, 121779, 34857, 37565, 14249, 33963, 26599, NA, NA, NA, 972735,  A*
2, 6.0, 107993, 46591, 44387, 6570, 6799, 11224, 6737, 3789, NA, NA, NA, 234090,  A*
3, 7.0, 510983, 621032, 32879, 34512, 43955, 14636, 7611, 2465, 30, 30, NA, 1268073,  A*
4, 9.0, 59922, 55287, 18294, 5358, 8444, 24530, 7060, 1815, 54, 30, NA, 180710,  A*
5, 10.0, 917147, 105665, 4005, 31610, 8734, 5922, 7478, 5447, 50, 35, NA, 1086008,  A*
6, 12.0, 61758, 93168, 11190, 5325, 7753, 13123, 7274, 1371, 69, 40, NA, 200962,  A*
7, 12.9, 674455, 2309, 1468, 4879, 2883, 1075, 269, 38, 69, 50, NA, 687376,  A*
8, 14.9, 37848, 19757, 15343, 8164, 2903, 2191, 2381, 297, 74, 61, NA, 88884,  A*
9, 17.9, 808062, 30993, 20101, 16894, 9283, 15258, 8914, 5517, 81, 74, NA, 915022,  A*
10, 19.9, 2505, 2201, 695, 3367, 4614, 3949, 2364, 686, 100, 69, NA, 20381,  A*
11, 20.9, 579039, 32127, 16347, 15315, 18431, 24438, 5391, 2974, 100, 60, NA, 694062,  A*
12, 22.9, 319776, 261192, 57340, 15035, 29014, 19109, 6166, 3807, 100, 53, NA, 711439,  A*
13, 23.9, 14426, 24516, 8972, 14582, 18342, 9821, 5250, 2628, 78, 53, NA, 98537,  A*
14, 25.9, 139985, 32072, 3690, 3075, 1443, 2233, 3077, 712, 60, 47, NA, 186287,  A*
15, 26.9, 1169139, 135075, 101143, 123018, 98762, 41918, 7149, 14380, 69, 47, NA, 1690584,  A*
16, 28.9, 39691, 34759, 15825, 15889, 6623, 9384, 8127, 2999, 64, 50, NA, 133297,  A*
17, 29.9, 37492, 110692, 19750, 34944, 13283, 12295, 9531, 3766, 61, 64, NA, 241753,  A*
18, 31.9, 230591, 111035, 18909, 21755, 10351, 8573, 11438, 5365, 54, 56, NA, 418017,  A*
19, 32.9, 358410, 131679, 65836, 29011, 22844, 14677, 14564, 4377, 41, 47, NA, 641398,  A*
20, 34.9, 947695, 145215, 4096, 15868, 10801, 4428, 5649, 2919, 30, 35, NA, 1136671,  A*
21, 37.9, 493191, 294577, 17602, 64714, 30383, 12917, 18399, 7664, 30, 30, NA, 939447,  A*
22, 39.9, 96822, 19111, 10531, 5464, 14488, 11826, 6299, 1396, 35, 51, NA, 165937,  A*
23, 40.8, 160547, 158552, 12955, 36468, 16050, 11021, 8176, 3755, 38, 53, NA, 407524,  A*
24, 42.8, 13729, 26799, 55848, 28820, 16283, 33052, 10728, 4800, 56, 56, NA, 190059,  A*
25, 43.8, 322092, 75811, 6225, 4614, 19739, 14611, 18147, 5045, 60, 43, NA, 466284,  A*
26, 45.8, 22768, 5598, 17889, 4292, 11548, 8052, 5400, 5473, 77, 53, NA, 81020,  A*
27, 46.8, 124492, 75166, 8009, 13048, 4150, 2726, 2362, 1185, 57, 47, NA, 231138,  A*
28, 48.8, 25231, 93297, 22331, 8902, 18082, 13929, 19529, 9583, 53, 56, NA, 210884,  A*
29, 49.8, 65703, 109094, 8143, 26409, 8905, 9421, 6374, 11033, 44, 41, NA, 245082,  A*
30, 51.8, 123151, 10195, 10683, 5245, 6144, 4227, 1480, 1805, 63, 51, NA, 162930,  A*
31, 52.8, 81754, 11903, 16224, 10395, 11676, 7021, 7471, 2348, 60, 64, NA, 148792,  A*
32, 54.8, 19461, 18337, 11060, 26714, 13965, 10435, 6221, 3828, 69, 75, NA, 110021,  A*
33, 57.8, 41706, 57433, 12707, 5840, 5858, 17259, 5152, 1231, 78, 67, NA, 147186,  A*
34, 59.8, 1329036, 14519, 10866, 3051, 8772, 5821, 3832, 1543, 54, 43, NA, 1377440,  A*
35, 60.8, 286230, 105484, 28468, 23332, 14814, 21960, 14227, 4498, 44, 43, NA, 499013,  A
36, 62.8, 216378, 52211, 37105, 48727, 49306, 31138, 13676, 6738, 66, 53, NA, 455279,  A
37, 63.8, 116154, 11906, 2918, 1441, 5610, 1836, 1779, 469, 69, 60, NA, 142113,  A
38, 65.7, 7505, 7498, 5246, 1284, 6794, 7558, 7942, 1408, 83, 57, NA, 45235,  A
39, 66.7, 44054, 18910, 18895, 14628, 5962, 4835, 6251, 1251, 70, 66, NA, 114786,  A
40, 68.8, 72538, 35742, 10421, 5640, 17471, 13098, 7913, 7949, 78, 66, NA, 170772,  A
41, 69.7, 119022, 39792, 1970, 7738, 7737, 8929, 5628, 2157, 70, 47, NA, 192973,  A
42, 71.7, 24872, 26931, 15806, 25803, 14455, 8844, 5885, 1934, 75, 43, NA, 124530,  A
43, 72.7, 420204, 190007, 16252, 1342, 12793, 11629, 8651, 4078, 40, 34, NA, 664956,  A
44, 74.7, 165712, 83260, 54738, 41282, 18045, 11393, 6567, 11352, 30, 48, NA, 392349,  A
45, 77.7, 14081, 14710, 3097, 7105, 17698, 15308, 5999, 2796, 61, 40, NA, 80794,  A
46, 79.7, 27735, 17283, 6126, 4627, 4744, 8775, 3949, 1221, 100, 47, NA, 74460,  A
47, 80.7, 9680, 7957, 1739, 9857, 7789, 4817, 4114, 4173, 97, 47, NA, 50126,  A
48, 82.7, 28219, 8348, 9567, 7709, 8390, 22677, 4752, 6752, 100, 48, NA, 96414,  A
49, 83.7, 19138, 11199, 6284, 6483, 5442, 4253, 2105, 2546, 83, 60, NA, 57450,  A
50, 85.7, 21159, 10511, 14381, 6167, 11630, 10904, 6175, 3051, 83, 61, NA, 83978,  A
51, 86.7, 562101, 8255, 5205, 13440, 18038, 11858, 7579, 3247, 90, 64, NA, 629723,  A
52, 88.7, 12710, 47725, 41034, 5249, 18736, 10465, 15047, 2504, 84, 64, NA, 153470,  A
53, 89.7, 1199242, 368332, 47842, 17671, 27277, 15384, 14907, 6222, 53, 54, NA, 1696877,  A
54, 91.6, 905339, 116672, 5275, 25115, 16112, 4430, 2346, 2153, 29, 48, NA, 1077442,  A
55, 91.6, 806344, 395674, 20233, 37288, 16481, 22181, 6363, 3196, 13, 29, NA, 1307760,  A
