obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 37646, 60906, 82099, 17793, 12110, 7471, 6044, 7229, NA, NA, NA, 231298,  M*
2, 7.0, 443852, 101641, 8167, 5856, 25246, 6493, 13670, 4495, NA, NA, NA, 609420,  M*
3, 9.0, 107515, 12682, 11721, 2887, 2107, 4390, 2629, 2444, 50, 48, NA, 146375,  M*
4, 10.0, 33912, 18699, 2943, 11573, 6794, 13908, 11716, 6975, 54, 43, NA, 106520,  M*
5, 11.9, 309004, 43553, 13380, 7953, 14068, 7924, 12129, 2792, 61, 44, NA, 410803,  M*
6, 13.0, 42102, 22528, 13125, 17124, 12172, 12916, 3890, 5063, 83, 51, NA, 128920,  M*
7, 14.9, 1164364, 131469, 10757, 26474, 6604, 48634, 17875, 5948, 77, 47, NA, 1412125,  M*
8, 17.9, 326066, 272238, 26973, 22076, 38486, 18693, 25075, 26010, 69, 47, NA, 755617,  M*
9, 19.9, 146112, 92865, 14660, 9568, 9348, 10462, 12467, 6347, 57, 40, NA, 301829,  M*
10, 20.9, 664775, 237961, 37818, 9607, 4513, 23040, 32111, 10952, 51, 40, NA, 1020777,  M*
11, 22.9, 766626, 105882, 24115, 8602, 7155, 16559, 17584, 9212, 51, 37, NA, 955735,  M*
12, 23.9, 98221, 17964, 3655, 9131, 2816, 4957, 4477, 3227, 69, 43, NA, 144448,  M*
13, 25.9, 218689, 240159, 16035, 25636, 9823, 9423, 6087, 3970, 56, 43, NA, 529822,  M*
14, 26.9, 169911, 19561, 42496, 18790, 17045, 16769, 10580, 5473, 61, 57, NA, 300625,  M*
15, 28.9, 123960, 22786, 7920, 6388, 6804, 2400, 1092, 924, 48, 57, NA, 172274,  M*
16, 29.9, 41410, 49774, 273, 7089, 5290, 8318, 2364, 3106, 69, 56, NA, 117624,  M*
17, 31.9, 87585, 82887, 85297, 22309, 15163, 8768, 3491, 1455, 47, 56, NA, 306955,  M*
18, 32.9, 43097, 26815, 3505, 14916, 10168, 8247, 6982, 4677, 44, 40, NA, 118407,  M*
19, 34.9, 274037, 56828, 4266, 7774, 10412, 9235, 6092, 1635, 41, 43, NA, 370279,  M*
20, 37.8, 71600, 10615, 978, 34598, 33183, 4624, 3511, 3955, 63, 44, NA, 163064,  M*
21, 39.8, 89032, 33151, 7428, 16869, 2451, 6654, 4081, 1719, 66, 66, NA, 161385,  M*
22, 40.8, 31664, 56466, 13034, 10793, 5092, 6640, 6852, 2376, 69, 56, NA, 132917,  M*
23, 42.8, 25004, 29178, 36246, 8194, 8388, 6621, 7801, 6341, 64, 64, NA, 127773,  M*
24, 43.8, 435422, 228932, 182045, 113715, 30321, 51902, 80015, 6168, 27, 61, NA, 1128520,  M*
25, 45.8, 886401, 398899, 24346, 28183, 28530, 15772, 26412, 20084, 16, 53, NA, 1428627,  M*
26, 46.8, 20211, 59623, 6621, 4455, 10262, 11306, 6914, 2968, 21, 35, NA, 122360,  M*
27, 48.8, 2855474, 1080687, 137313, 78065, 20655, 75785, 27530, 36226, 20, 21, NA, 4311735,  M*
28, 49.8, 30050, 24610, 12599, 16774, 11557, 8140, 10370, 1858, 47, 38, NA, 115958,  M*
29, 51.8, 42151, 5691, 15115, 8158, 15882, 4822, 3194, 841, 47, 54, NA, 95854,  M*
30, 52.8, 55289, 33011, 23262, 10359, 12525, 4640, 6025, 3927, 51, 75, NA, 149038,  M*
